Designer,Name,Question,Topics,Unit,Range,About,Methodology,Snippet name,Snippet provider,Notes,Creator
PETA,Vegan Company,Does the company sell Vegan products?,Animal Welfare,,,Vegan products contain no animal-derived ingredients and have not been tested on animals.,PETA certifies companies as Vegan when they meet certain criteria.,Vegan Company,Peta,,Richard Mills
PETA,Animal Testing,Does the company test its products on animals?,Animal Welfare,,,,http://www.peta.org/about-peta/how-is-a-company-certified-as-cruelty-free/,Does Tests On Animals,Peta,,Richard Mills
Richard Mills,Annual Sales,,,,,Money earned through the sale of goods or services in a year.,,Sales,Forbes,,Richard Mills
Richard Mills,Annual Profits,,,,,"Annual profits earned by the company, total sales less the cost of sale.",,Profits,Forbes,,Richard Mills
Richard Mills,Assets,,,,,"Valuation of the company's assets, things which they own.",,Assets,Forbes,,Richard Mills
Richard Mills,Market Value,,,,,Market valuation of the company - the amount of money it would cost to buy all their shares at the current market value.,,Market Value,Forbes,,Richard Mills
Richard Mills,Employees,,,,,Number of employees working directly for the company.,,Employees,Forbes,,Richard Mills
Ethisphere,Most Ethical Companies,"Is the company listed by Ethisphere as one of the ""World's most ethical companies""?",,,,Each year the Ethisphere Institute publishes a list of the companies which it believes have put the most effort into improving their ethical impact of their business.,http://ethisphere.com/worlds-most-ethical/scoring-methodology/,in Ethisphere's List: World's Most Ethical Companies,Ethisphere,,Richard Mills
Newsweek,Sustainability Pay Link,Is the renumeration of senior executives linked to environmental performance targets?,Corporate Governance & Compliance,,,A mechanism to link the remuneration of any member of a company's senior executive team with the achievement of environmental performance targets. ,http://www.newsweek.com/2014-newsweek-green-rankings-243744,Pay Link,Newsweek,,Richard Mills
Newsweek,Sustainability Board Committee,"Does the company have a committee, at Board of Directors level, whose mandate is related to the sustainability of the company? ",Corporate Governance & Compliance,,,"The existence of a committee at the Board of Directors level whose mandate is related to the sustainability of the company, including but not limited to environmental matters. ",http://www.newsweek.com/2014-newsweek-green-rankings-243744,Sustainability Themed Comitte,Newsweek,,Richard Mills
Newsweek,Environmental figures audited,Does the company provide evidence that the environmental figures it publishes are audited by a third party?,Corporate Governance & Compliance,,,The company provides evidence that the latest reported environmental metrics are audited by a third party.,http://www.newsweek.com/2014-newsweek-green-rankings-243744,Audit,Newsweek,,Richard Mills
Newsweek,Newsweek Green Score,Overall green score awarded by Newsweek,,,,"This score is produced by Newsweek as a weighted average of scores for their 8 Key performance Indicators (e.g. Energy Productivity Score, Reputation Score, Sustainability Pay Link, etc.). Yes/No metrics like Sustainability Pay Gap are given scores of 100/0%",http://www.newsweek.com/2014-newsweek-green-rankings-243744,Newsweek Green Score,Newsweek,,Richard Mills
Newsweek,Newsweek Reputation Score,"A score related to the company's reputation, based on data from RepRisk",,,,"The Reputation score is made up of two components: (1) The RepRisk Index, which is a quantitative measure that captures criticism and quantifies a company exposure to ESG risks. It ranges from zero (lowest) to 100 (highest); the higher the value, the higher the ESG risks exposure. The RepRisk Index value is percent-ranked against all companies in the ranking and multiplied by 0.5. (2) The second component is based on the number of environmental issues that were identified by RepRisk for each company. The environmental issues are: global pollution and climate change, local pollution, impacts on ecosystems and landscapes, overuse and wasting of resources and waste issues; the total number of environmental issues for each company is percent-ranked against all Industry Group peers in the ranking and multiplied by 0.5. The Reputation Score is the sum of the scores from the two above components. Companies whose sub-industry group is _tobacco_ and which are deriving the majority of their revenue from weapons manufacturing and related products/services automatically get a zero for the Reputation Score.",http://www.newsweek.com/2014-newsweek-green-rankings-243744,Reputation,Newsweek,There are two methodology documents for different years of the newsweek ratings: http://www.newsweek.com/2014-newsweek-green-rankings-243744 and http://www.pmi.com/eng/media_center/media_kit/documents/2014%20newsweek%20green%20rankings_methodology.pdf,Richard Mills
Newsweek,Energy Productivity,A measure of the company's efficiency in energy use as compared to other companies in their industry,Climate Change; Natural Resource Use,%,1-100,"In the first step, each company's Energy Productivity is calculated for 2012, with Energy Productivity defined as Revenue ($US) / Total Energy Consumption (GJ). Each company_s Energy Productivity is then percent-ranked against that of all Industry Group peers in the CKC research universe and multiplied by 0.75. The Global Industry Classification Standard (GICS) definition of _Industry Group_ will be used. In the second step, the change in each company_s Energy Productivity from 2010-2012 is calculated and percent-ranked against that of all same-Industry Group peers within the CKC research universe. If the company_s percent-ranked 2012 Energy Productivity is top quartile, their percent-ranked change in Energy Productivity for 2010-2012 is multiplied by 1 and then by 0.25. If the company_s percent-ranked 2012 Energy Productivity is second quartile, their percent-ranked change in Energy Productivity for 2010-2012 is multiplied by 0.75 and then by 0.25. If the company_s percent-ranked 2012 Energy Productivity is third quartile, their percent-ranked change in Energy Productivity for 2010-2012 is multiplied by 0.5 and then by 0.25. If the company_s percent-ranked 2012 Energy Productivity is bottom quartile, their percent-ranked change in Energy Productivity for 2010-2012 is multiplied by 0.25 and then by 0.25. In the third step, the values from the first and second steps are totaled.",http://www.newsweek.com/2014-newsweek-green-rankings-243744,Energy Productivity,Newsweek,There should be values for all 500 companies - where a company has no value in the API output their score is actually 0%,Richard Mills
Newsweek,Greenhouse Gas Productivity,A measure of the company's productivity in relation to greenhouse gas emissions as compared to other companies in their industry,Climate Change; Natural Resource Use,%,1-100,"In the first step, each company's GHG Productivity is calculated for 2012, with GHG Productivity defined as Revenue ($US) / Total Greenhouse gas (GHG) Emissions (CO2e). Only Scope 1 and Scope 2 emissions are included according to the GHG Protocol. Each company_s GHG Productivity is then percent-ranked against that of all Industry Group peers in the CKC research universe and multiplied by 0.75. In the second step, the change in each company_s GHG Productivity from 2010-2012 is calculated and percent-ranked against that of all same-industry group peers within the CKC research universe. If the company_s percent-ranked 2012 GHG Productivity is top quartile, their percent-ranked change in GHG Productivity for 2010-2012 is multiplied by 1 and then by 0.25. If the company_s percent-ranked 2012 GHG Productivity is second quartile, their percent-ranked change in GHG Productivity for 2010-2012 is multiplied by 0.75 and then by 0.25. If the company_s percent-ranked 2012 GHG Productivity is third quartile, their percente ranked change in GHG Productivity for 2010-2012 is multiplied by 0.5 and then by 0.25. If the company_s percent-ranked 2012 GHG Productivity is bottom quartile, their percent-ranked change in GHG Productivity for 2010-2012 is multiplied by 0.25 and then by 0.25. In the third step, the values from the first and second steps are totaled and then multiplied by 0.9. In the fourth step, if the company disclosed Scope 3 GHG emissions in 2012, a score of 100% is attributed and then multiplied by 0.1. Otherwise, a score of 0% is given. In the final step, the scores from the third and fourth steps are added.",http://www.newsweek.com/2014-newsweek-green-rankings-243744,Carbon Productivity,Newsweek,There should be values for all 500 companies - where a company has no value in the API output their score is actually 0%,Richard Mills
