wikirate_id;wikirate_name;wikipedia_url
2626400;Johns Hopkins University;https://en.wikipedia.org/wiki/Johns_Hopkins_University
2608717;Zalando SE;https://en.wikipedia.org/wiki/Zalando_SE
58387;Syndicate Bank;https://en.wikipedia.org/wiki/Syndicate_bank
57260;Sime Darby;https://en.wikipedia.org/wiki/Sime_Darby
58219;Hankook Tire;https://en.wikipedia.org/wiki/Hankook_Tire
2607111;Amorepacific Corporation;https://en.wikipedia.org/wiki/Amorepacific_Corporation
2608684;KT Corporation;https://en.wikipedia.org/wiki/KT_Corporation
2718547;Kangwon Land;https://en.wikipedia.org/wiki/Kangwon_Land
2736627;Santee Cooper;https://en.wikipedia.org/wiki/Santee_Cooper
2736629;Basin Electric Power Cooperative;https://en.wikipedia.org/wiki/Basin_Electric_Power_Cooperative
2736630;Omaha Public Power District (OPPD);https://en.wikipedia.org/wiki/Omaha_Public_Power_District
2736632;Ares Management LP;https://en.wikipedia.org/wiki/Ares_Management
2736634;Great River Energy;https://en.wikipedia.org/wiki/Great_River_Energy
2736636;Nebraska Public Power District (NPPD);https://en.wikipedia.org/wiki/Nebraska_Public_Power_District
2736639;Conemaugh;https://en.wikipedia.org/wiki/Conemaugh
2736602;JEA (Jacksonville Electric Authority);https://en.wikipedia.org/wiki/JEA
2736606;ntermountain Power Agency;https://en.wikipedia.org/wiki/Intermountain_Power_Agency
2736608;Ohio Valley Electric Corporation;https://en.wikipedia.org/wiki/Ohio_Valley_Electric_Corporation
2736612;Lower Colorado River Authority (LCRA);https://en.wikipedia.org/wiki/Lower_Colorado_River_Authority
2736614;J.M. Stuart Station;https://en.wikipedia.org/wiki/J.M._Stuart_Station
2736616;Puerto Rico Electric Power Authority (PREPA);https://en.wikipedia.org/wiki/Puerto_Rico_Electric_Power_Authority
2736618;Salt River Project (SRP);https://en.wikipedia.org/wiki/Salt_River_Project
2736620;Tenaska;https://en.wikipedia.org/wiki/Tenaska
2736599;CPS Energy;https://en.wikipedia.org/wiki/CPS_Energy
2736600;Navajo Generating Station;https://en.wikipedia.org/wiki/Navajo_Generating_Station
2736591;Talen Energy Corporation;https://en.wikipedia.org/wiki/Talen_Energy
2736060;Koch Foods;https://en.wikipedia.org/wiki/Koch_Foods
2735521;Guardian Industries;https://en.wikipedia.org/wiki/Guardian_Industries
2735522;Flex-N-Gate;https://en.wikipedia.org/wiki/Flex-N-Gate
2735512;The Chemours Company;https://en.wikipedia.org/wiki/Chemours
2729578;AVEVA Group plc;https://en.wikipedia.org/wiki/AVEVA
2729580;Lighthouse Hotel;https://en.wikipedia.org/wiki/Lighthouse_Hotel
2729577;Mitsubishi Tanabe Pharma Corporation;https://en.wikipedia.org/wiki/Mitsubishi_Tanabe_Pharma_Corporation
2729439;FirstGroup plc;https://en.wikipedia.org/wiki/FirstGroup_plc
2729440;Dampskibsselskabet Norden AS;http://en.wikipedia.org/wiki/D/S_Norden
2729443;Royal Schiphol Group;https://en.wikipedia.org/wiki/Schiphol_Group
2729435;TransContainer;https://en.wikipedia.org/wiki/TransContainer
2728218;PSA;https://en.wikipedia.org/wiki/PSA
2725808;Cable & Wireless plc;https://en.wikipedia.org/wiki/Cable_%26_Wireless_plc
2723203;Mayr-Melnhof Karton;https://en.wikipedia.org/wiki/Mayr-Melnhof_Karton
2723033;Boral Limited;https://en.wikipedia.org/wiki/Boral
2723034;SAS Group;https://en.wikipedia.org/wiki/SAS_Group
2722939;Sectra AB;https://en.wikipedia.org/wiki/Sectra_AB
2722924;Mayr-Melnhof;https://en.wikipedia.org/wiki/Mayr-Melnhof
2722926;Speedy Hire plc;https://en.wikipedia.org/wiki/Speedy_Hire_plc
2722928;Home Retail Group plc;https://en.wikipedia.org/wiki/Home_Retail_Group_plc
2722929;Chugai Pharmaceutical Co;http://en.wikipedia.org/wiki/Chugai_Pharmaceutical_Co.
2722930;Xtep International Holdings Limited;https://en.wikipedia.org/wiki/Xtep_International_Holdings_Limited
2722931;Pacific Basin Shipping Limited;https://en.wikipedia.org/wiki/Pacific_Basin_Shipping_Limited
2722932;Innergex Renewable Energy;https://en.wikipedia.org/wiki/Innergex_Renewable_Energy
2722200;Wilfrid Laurier University;https://en.wikipedia.org/wiki/Wilfrid_Laurier_University
48092;Hana Financial Group;https://en.wikipedia.org/wiki/Hana_Financial_Group
48576;Industrial Bank of Korea;https://en.wikipedia.org/wiki/Industrial_Bank_of_Korea
2624139;Woori Bank;https://en.wikipedia.org/wiki/Woori_Bank
47959;KB Financial Group;https://en.wikipedia.org/wiki/KB_Financial_Group
48484;Hyundai Heavy Industries;https://en.wikipedia.org/wiki/Hyundai_Heavy_Industries
49525;Doosan Heavy Industries;https://en.wikipedia.org/wiki/Doosan_Heavy_Industries
2720917;Doosan Infracore;https://en.wikipedia.org/wiki/Doosan_Infracore
2718573;Ewha Womans University;https://en.wikipedia.org/wiki/Ewha_Womans_University
57203;Lotte Shopping;https://en.wikipedia.org/wiki/Lotte_Shopping
47736;Shinhan Financial Group;https://en.wikipedia.org/wiki/Shinhan_Financial_Group
2709460;Bavaria;https://en.wikipedia.org/wiki/Bavaria
975200;Vina Concha y Toro;https://en.wikipedia.org/wiki/Vina_Concha_y_Toro
2705812;Backus;https://en.wikipedia.org/wiki/Backus
2704083;Ledesma;https://en.wikipedia.org/wiki/Ledesma
61132;Grupo Argos;https://en.wikipedia.org/wiki/Cementos_Argos
2703907;Calidad Pascual;https://en.wikipedia.org/wiki/Calidad_Pascual
48153;ArcelorMittal;https://en.wikipedia.org/wiki/ArcelorMittal
974291;Bavaria S.A.;https://en.wikipedia.org/wiki/Bavaria_S.A.
50121;FCC SA;https://en.wikipedia.org/wiki/Fomento_de_Construcciones_y_Contratas
947058;Lavazza;https://en.wikipedia.org/wiki/Lavazza
2697950;Renault Argentina;https://en.wikipedia.org/wiki/Renault_Argentina
2691167;Surgutneftegaz;https://en.wikipedia.org/wiki/Surgutneftegaz
2691157;Casino Guichard-Perrachon;http://en.wikipedia.org/wiki/Groupe_Casino
2691159;Cooper Industries;https://en.wikipedia.org/wiki/Cooper_Industries
2679096;Cheung Kong Property Holdings Ltd;http://en.wikipedia.org/wiki/Cheung_Kong_Property_Holdings
2679097;Cheung Kong Infrastructure Holdings Ltd;https://en.wikipedia.org/wiki/Cheung_Kong_Infrastructure_Holdings_Ltd
2679086;Japan Post Insurance;https://en.wikipedia.org/wiki/Japan_Post_Insurance
2679078;LafargeHolcim;https://en.wikipedia.org/wiki/Lafarge
2679079;Banco Industrial de Venezuela;https://en.wikipedia.org/wiki/Banco_Industrial_de_Venezuela
2679080;Lending Club Corporation;http://en.wikipedia.org/wiki/Lending_Club
2679076;Greenland Holdings;https://en.wikipedia.org/wiki/Greenland_Holdings
2675864;Hang Seng Management College;https://en.wikipedia.org/wiki/Hang_Seng_Management_College
968843;Sinopec-China Petroleum & Chemical;https://en.wikipedia.org/wiki/Sinopec_Corp
2674488;China Minmetals Corporation;https://en.wikipedia.org/wiki/China_Minmetals_Corporation
2674483;EVN AG;https://en.wikipedia.org/wiki/EVN_AG
2598744;University of Worcester;https://en.wikipedia.org/wiki/University_of_Worcester
48858;Alfa;https://en.wikipedia.org/wiki/Alfa
57493;BRF Brasil Foods;https://en.wikipedia.org/wiki/Perdigao
917451;Axtel;https://en.wikipedia.org/wiki/Axtel
48117;Repsol;https://en.wikipedia.org/wiki/Repsol_YPF
2631012;BBVA Banco Continental;https://en.wikipedia.org/wiki/BBVA_Banco_Continental
2668051;Cuatrecasas;https://en.wikipedia.org/wiki/Cuatrecasas
2668048;Ferrocarrils de La Generalitat de Catalunya;http://en.wikipedia.org/wiki/Ferrocarrils_de_la_Generalitat_de_Catalunya
2668019;Sociedad Estatal Correos y Telegrafos;https://en.wikipedia.org/wiki/Sociedad_Estatal_Correos_y_Telegrafos
2668016;Tecnicas Reunidas;https://en.wikipedia.org/wiki/Tecnicas_Reunidas
2668001;Atento;https://en.wikipedia.org/wiki/Atento
2667181;Votorantim;https://en.wikipedia.org/wiki/Votorantim
2667175;Companhia Energetica de Minas Gerais;https://en.wikipedia.org/wiki/Companhia_Energetica_de_Minas_Gerais
2667165;Vesta;https://en.wikipedia.org/wiki/Vesta
2667143;Minera San Xavier S.A. de C.V.;http://en.wikipedia.org/wiki/Minera_San_Xavier
2666680;Endesa Chile;https://en.wikipedia.org/wiki/Endesa_Chile
2666678;Empresa Nacional del Petroleo;https://en.wikipedia.org/wiki/Empresa_Nacional_del_Petroleo
2666666;Compania Cervecera de Nicaragua;https://en.wikipedia.org/wiki/Compania_Cervecera_de_Nicaragua
2666663;CAP S.A.;https://en.wikipedia.org/wiki/CAP_S.A.
2660684;Chubb;https://en.wikipedia.org/wiki/Chubb
2660991;Sumitomo Group;https://en.wikipedia.org/wiki/Sumitomo_Group
2661076;Sumitomo Metal Industries;https://en.wikipedia.org/wiki/Sumitomo_Metal_Industries
2661065;GSF;https://en.wikipedia.org/wiki/GSF
10095;Barilla S.p.A.;https://en.wikipedia.org/wiki/Barilla_S.p.A.
2660990;Hang Lung Properties;https://en.wikipedia.org/wiki/Hang_Lung_Properties
2660682;Nikon Corporation;https://en.wikipedia.org/wiki/Nikon_Corporation
2660554;Sara Lee Corporation;https://en.wikipedia.org/wiki/Sara_Lee_Corporation
2660543;Progress Energy Inc;https://en.wikipedia.org/wiki/Progress_Energy_Inc
2660539;Swedish Match AB;https://en.wikipedia.org/wiki/Swedish_Match
2660540;Randgold Resources;https://en.wikipedia.org/wiki/Randgold_Resources
61180;CRH;https://en.wikipedia.org/wiki/CRH_plc
2659628;Grupo Santander;https://en.wikipedia.org/wiki/Grupo_Santander
2659614;Almacenes Exito;https://en.wikipedia.org/wiki/Almacenes_Exito
2659612;Anas;https://en.wikipedia.org/wiki/Anas
2659603;Promotora de Informaciones;http://en.wikipedia.org/wiki/PRISA
2659592;Grupo Lala;https://en.wikipedia.org/wiki/Grupo_Lala
2659589;Armor;https://en.wikipedia.org/wiki/Armor
2657584;American University;https://en.wikipedia.org/wiki/American_University
2657585;Carnegie Mellon University;https://en.wikipedia.org/wiki/Carnegie_Mellon_University
2657586;Colby College;https://en.wikipedia.org/wiki/Colby_College
2657587;Colorado State University;https://en.wikipedia.org/wiki/Colorado_State_University
2657588;Dartmouth College;https://en.wikipedia.org/wiki/Dartmouth_College
2657589;George Mason University;https://en.wikipedia.org/wiki/George_Mason_University
2657590;Gettysburg College;https://en.wikipedia.org/wiki/Gettysburg_College
2657591;Hobart and William Smith Colleges;https://en.wikipedia.org/wiki/Hobart_and_William_Smith_Colleges
2657592;Marywood University;https://en.wikipedia.org/wiki/Marywood_University
2657593;Northwestern University;https://en.wikipedia.org/wiki/Northwestern_University
2657594;St. Mary's College of Maryland;https://en.wikipedia.org/wiki/St._Mary%27s_College_of_Maryland
2657595;Syracuse University;https://en.wikipedia.org/wiki/Syracuse_University
2657596;Union College;https://en.wikipedia.org/wiki/Union_College
2657597;University of California Irvine;https://en.wikipedia.org/wiki/University_of_California_Irvine
2657598;University of California Merced;https://en.wikipedia.org/wiki/University_of_California_Merced
2657599;University of California San Diego;https://en.wikipedia.org/wiki/University_of_California_San_Diego
2657600;University of Illinois at Chicago;https://en.wikipedia.org/wiki/University_of_Illinois_at_Chicago
2657601;University of Illinois at Urbana-Champaign;https://en.wikipedia.org/wiki/University_of_Illinois_at_Urbana-Champaign
2657602;Iowa State University;https://en.wikipedia.org/wiki/Iowa_State_University
2657603;University of Southern Maine;https://en.wikipedia.org/wiki/University_of_Southern_Maine
2657604;University of Utah;https://en.wikipedia.org/wiki/University_of_Utah
2657605;University of Virginia;https://en.wikipedia.org/wiki/University_of_Virginia
2657606;University of Washington;https://en.wikipedia.org/wiki/University_of_Washington
2657607;University of Wisconsin-Milwaukee;https://en.wikipedia.org/wiki/University_of_Wisconsin-Milwaukee
2657608;Vanderbilt University;https://en.wikipedia.org/wiki/Vanderbilt_University
2657609;Wellesley College;https://en.wikipedia.org/wiki/Wellesley_College
2657610;Western Washington University;https://en.wikipedia.org/wiki/Western_Washington_University
2657556;University of Wisconsin Oshkosh;https://en.wikipedia.org/wiki/University_of_Wisconsin_Oshkosh
2657519;University of Pennsylvania;https://en.wikipedia.org/wiki/University_of_Pennsylvania
