company,wikirate_company,status,accept_status,aliases
ICBC,,none,,
China Construction Bank,,none,,"china construction bank,ccb"
Agricultural Bank of China,,none,,"agricultural bank of china,abchina"
JPMorgan Chase,,none,,"jpmorgan chase,j.p. morgan chase,jpmorganchase"
Berkshire Hathaway,,none,,"berkshire hathaway,berkshire hathaway inc.,berkshirehathaway,Russell (part of Berkshire Hathaway)"
PetroChina,PetroChina,exact,,
Royal Dutch Shell,shell,exact,,"royal dutch shell,royal dutch / shell,shell,Shell,Royal Dutch / Shell (see Shell)"
Bank of America,,none,,"bank of america,bank of america corp.,bank of america corporation,bankofamerica,LaSalle Bank ,MBNA"
Citigroup,,none,,
Volkswagen Group,,none,,"volkswagen group,volkswagen,volkswagenag"
Gazprom,Gazprom,exact,,
êShave,,none,,"êshave,eshave"
Genzyme Corporation,,none,,Genzyme
NEC Corporation of America,,none,,
Samsung Electronics,samsung,exact,,"samsung electronics,samsung"
Verizon Communications,verizon,exact,,"verizon communications,verizon"
Sinopec-China Petroleum,,none,,"sinopec-china petroleum,sinopec"
AXA Group,,none,,AXA
Rosneft,,none,,
Mitsubishi UFJ Financial,,none,,"mitsubishi ufj financial,mitsubishi ufj financial group,mitsubishi ufj financial group (mufg),mufg"
Eni,,none,,Eni S.p.A.
American International Group,,none,,"american international group,american international,aig"
Itaú Unibanco Holding,,none,,"itaú unibanco holding,itau unibanco holding,itau,Banco Itau"
Commonwealth Bank,,none,,"commonwealth bank,commonwealth bank of australia,commbank"
EDF,,none,,ED&F Man
Siemens,Siemens,exact,,
Royal Bank of Canada,,none,,"royal bank of canada,rbc"
Sumitomo Mitsui Financial,,none,,"sumitomo mitsui financial,sumitomo mitsui financial group,smfg,Sumitomo Mitsui Banking ,Mitsui Sumitomo Insurance"
Comcast,,none,,
Goldman Sachs Group,Enough Project,partial,0,"goldman sachs group,gs,Goldman Sachs"
Westpac Banking Group,,none,,"westpac banking group,westpac banking corporation,westpac banking,westpac"
Nippon Telegraph & Tel,,none,,"nippon telegraph & tel,nippon telegraph & telephone,ntt"
Ping An Insurance Group,,none,,"ping an insurance group,ping an insurance group co of china,pingan,China Pingan Insurance"
Anheuser-Busch InBev,,none,,"anheuser-busch inbev,ab-inbev,AB InBev,InBev,InBev ,Interbrew (now InBev, part of Anheuser-Busch InBev)"
Bank of Communications,,none,,"bank of communications,bankcomm"
China Life Insurance,,none,,"china life insurance,e-chinalife"
Enel,,none,,
BASF,,none,,
Softbank,,none,,
National Australia Bank,,none,,"national australia bank,nabgroup"
ConocoPhillips,,none,,
UBS,,none,,
UnitedHealth Group,,none,,"unitedhealth group,unitedhealthgroup"
Zurich Insurance Group,,none,,"zurich insurance group,zurich insurance group ltd.,zurich"
Credit Agricole,,none,,"credit agricole,credit-agricole-sa"
United Technologies,,none,,"united technologies,utc,United Technologies Corp. (UTC)"
Bank of Nova Scotia,,none,,"bank of nova scotia,scotiabank"
Saudi Basic Industries,,none,,"saudi basic industries,saudi basic industries corporation (sabic),sabic,Saudi Basic Industries (SABIC)"
Mizuho Financial,,none,,"mizuho financial,mizuho financial group,mizuho-fg,Mizuho Bank"
China Merchants Bank,,none,,"china merchants bank,cmbchina"
Société Générale,Sports Direct,partial,0,"société générale,ir"
American Express,,none,,"american express,american express company,american express company (amex),americanexpress"
Morgan Stanley,,none,,"morgan stanley,morganstanley,Smith Barney (now Morgan Stanley Wealth Management)"
Credit Suisse Group,,none,,"credit suisse group,credit-suisse,Credit Suisse"
E.ON,E.ON SE,partial,1,"e.on,eon"
BBVA-Banco Bilbao Vizcaya,,none,,"bbva-banco bilbao vizcaya,banco bilbao vizcaya argentaria,bbva"
Baptist Health South Florida,,none,,
Cleveland Clinic,,none,,
"Hasbro, Inc.",,none,,Hasbro
MSA Safety Incorporated,,none,,
Milliken & Company,,none,,Milliken
Avaya,,none,,
IKEA,IKEA,exact,,
Petro-Canada,,none,,
Dole Foods,,none,,
Fresenius Medical Care,,none,,
Kiplinger,,none,,
"Dunavant Enterprises, Inc.",,none,,Dunavant
GEICO,,none,,
Scottish & Southern Energy,,none,,
Skandinaviska Enskilda Banken,,none,,
Sprint,,none,,
Endesa,,none,,
Electricite de France,,none,,
Great-West Lifeco,,none,,
Societe Generale,,none,,
Industrial & Commercial Bank of China,,none,,
Cie de St-Gobain,,none,,
China Minsheng Banking,,none,,"china minsheng banking,cmbc"
Standard Chartered,,none,,"standard chartered,standard chartered bank (scb),standard chartered plc,standardchartered"
China Shenhua Energy,,none,,"china shenhua energy,csec,Shenhua Group"
Ecopetrol,,none,,
Shanghai Pudong Development,,none,,"shanghai pudong development,shanghai pudong development bank,spdb"
EADS,,none,,
Hutchison Whampoa,,none,,"hutchison whampoa,hutchison-whampoa"
Hon Hai Precision,Foxconn Technology Group,partial,1,"hon hai precision,hon hai precision industry,foxconn,Hon Hai,Foxconn"
Capital One Financial,,none,,"capital one financial,capitalone,Capital One,Capital & Credit Financial"
Aviva,,none,,
VINCI,,none,,
Mondelēz International,Mondel__z International,exact,,"mondelēz international,kraft"
Occidental Petroleum,,none,,"occidental petroleum,oxy,Occidental Chemical ,Occidental Petroleum Co."
"Twenty-First Century Fox, Inc.",,none,,"twenty-first century fox, inc.,twenty-first century fox,21cf"
Mitsui & Co,,none,,Mitsui
State Bank of India,,none,,"state bank of india,statebankofindia"
Philip Morris International,Philip Morris International,exact,,"philip morris international,pmi"
Express Scripts,,none,,"express scripts,express scripts holding,express scripts holding company,express-scripts"
Honeywell International,,none,,"honeywell international,honeywell international inc.,honeywell,Honeywell"
United Parcel Service,Lenovo Group Ltd.,partial,0,"UPS,United Parcel Service, Inc. (UPS)"
PNC Financial Services,,none,,"pnc financial services,pnc financial services group,pnc"
Amgen,,none,,
EI du Pont de Nemours,,none,,"E.I. du Pont de Nemours,DuPont"
British American Tobacco,,none,,"british american tobacco,bat"
Manulife Financial,,none,,"manulife financial,manulife"
Walgreen,,none,,Walgreens
KDDI,,none,,KDDI Corporation
Canadian Imperial Bank,,none,,"canadian imperial bank,canadian imperial bank of commerce,cibc,Canadian Imperial Bank of Commerce (CIBC)"
AstraZeneca,,none,,AstraZeneca PLC
WellPoint,,none,,
Tokio Marine Holdings,,none,,"tokio marine holdings,tokio marine holdings, inc.,tokiomarinehd,Tokio Marine & Nichido"
Legal & General Group,,none,,"legal & general group,legalandgeneral,Legal & General"
Schneider Electric,,none,,"schneider electric,schneider electric se,schneider electric sa,schneiderelectric"
DNB,,none,,
Lockheed Martin,,none,,"lockheed martin,lockheed martin corporation,lockheedmartin"
Surgutneftegas,,none,,
Nippon Steel & Sumitomo Metal,,none,,"nippon steel & sumitomo metal,nsc"
China Everbright Bank,,none,,"china everbright bank,cebbank"
Itochu,,none,,
Carrefour,Carrefour S.A.,partial,1,
Bank of New York Mellon,,none,,"bank of new york mellon,bny mellon,bnymellon,Bank of New York ,Mellon Financial"
EMC,EMC,exact,,"EMC Corporation,RSA"
Costco Wholesale,,none,,"costco wholesale,costco wholesale corporation,costco,Costco"
China State Construction,,none,,"china state construction,cscec"
Freeport-McMoRan Copper,,none,,"freeport-mcmoran copper,freeport-mcmoran copper & gold,freeport mcmoran inc.,fcx,Freeport-McMoRan,Phelps Dodge"
Telstra,,none,,
LyondellBasell Industries,,none,,"lyondellbasell industries,lyondellbasell,Lyondell ,LyondellBasell"
China Pacific Insurance,,none,,"china pacific insurance,china pacific insurance group,cpic"
Abbott Laboratories,,none,,"abbott laboratories,abbott"
