metric_designer,metric_title,question,about,methodology,topic,value_type,research_policy,metric_type,report_type
Fashion Revolution,1.1 Own Operations Policies (revised 2018),What are the company’s human rights and environmental policies?,"These policies evidence the company's strategic objectives and identify the minimum standards that must be implemented across the company's activities. Polices are a way for a company to communicate its stance and commitments to human rights, social impacts and environmental protection. If they have policies in place we know they are considering these topics within their business.","In this metric question you are being asked to identify the company's human rights and environmental policies. Start by searching through published documents which set out the company's human rights standards and environmental standards (as related to its own company operations in its head offices, stores, warehouses, and owned production facilities)

Where to look for this information:
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)

When going through the sources to find the information, good key words for your searches include:
Animal Welfare
Annual Leave & Public Holidays
Anti-bribery, & Corruption & Presentation of False Information
Biodiversity 
Child Labour 
Community Engagement
Contracts & Terms of Employment
Discrimination
Diversity & Inclusion 
Effluents
Energy & Carbon Emissions
Equal Pay 
Forced or Bonded Labour
Foreign & Migrant Labour 
Freedom of Association, Right to Organise & Collective Bargaining
Harassment & Abuse
Health & Safety
Living Conditions/Dormitories
Maternity Rights & Parental Leave 
Notice Period, Dismissal & Disciplinary Action
Overtime Pay
Restricted Substance List
Sub-contracting, Outsourcing & Homeworkers
Wages & Financial Benefits (e.g. bonuses, insurance, social security, pensions)
Waste & Recycling (Textiles) 
Waste & Recycling (Other) 
Water Effluents & Treatment
Water Usage & Footprint
Working Hours & Rest Breaks

Things to watch out for:
* Information should only be used from a parent company documents or website when the brand had linked to the parent company from their own website.","Animal Welfare, Bribery, Corruption, Biodiversity, Community Engagement, No Discrimination, Diversity, Inclusion, Emissions, Energy, Pay, Wages, Freedom of Association, Human rights, Right to Organise and Collective Bargain, Harassment, Abuse, Health and Safety, Maternity Leave, Parental Leave, Contracts, Dismissal, Disciplinary Action, Restricted Substances, Wages, Insurance, Social Protection, Waste, Recycling, Packaging, Textiles, Water, Working Hours, Environment, Human Rights, Policy, Policies, Effluent
","Multi-category (Animal Welfare;Annual Leave & Public Holidays;Anti-bribery, Corruption, & Presentation of False Information;Biodiversity;Community Engagement;Contracts & Terms of Employment;Discrimination;Diversity & Inclusion;Energy & Carbon Emissions;Equal Pay;Freedom of Association;Right to Organise & Collective Bargaining;Harassment & Abuse;Health & Safety;Maternity Rights & Parental Leave;Notice Period, Dismissal & Disciplinary Action;Restricted Substance List;Wages & Financial Benefits (e.g. bonuses, insurance, social security, pensions);Waste & Recycling (Packaging/Office/Retail);Waste & Recycling (Product/Textiles);Water Usage & Footprint;Working Hours & Rest Breaks;None)",community assessed,Researched,
Fashion Revolution,Supply Chain Policy Coverage (revised 2018),What are the company’s vendor/supplier policies covering human rights and environmental standards across the supply chain?,These policies evidence the company's strategic objectives and identifies the minimum standards that must be implemented across its supply chain. It is important for a company to have polices that apply to their suppliers as this shows their commitment to working with a supply chain that supports human rights and environmental protection. Having supplier polices in place shows that the company takes some responsibility for the practises that happen within its supply chain.,"In this metric question you are being asked to identify the company’s vendor/supplier policies covering human rights and environmental standards across the supply chain. Start by searching for published documents which set out the minimum human rights and environmental standards expected by the company for suppliers and/or vendors. Documents to look for include:

*Code of Conduct
*Terms of Engagement
*Supplier Guidebook
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)


When going through the sources to find the information, good key words for your searches include:
Animal Welfare
Annual Leave & Public Holidays
Anti-bribery, & Corruption & Presentation of False Information
Biodiversity 
Child Labour 
Community Engagement
Contracts & Terms of Employment
Discrimination
Diversity & Inclusion 
Effluents
Energy & Carbon Emissions
Equal Pay 
Forced or Bonded Labour
Foreign & Migrant Labour 
Freedom of Association, Right to Organise & Collective Bargaining
Harassment & Abuse
Health & Safety
Living Conditions/Dormitories
Maternity Rights & Parental Leave 
Notice Period, Dismissal & Disciplinary Action
Overtime Pay
Restricted Substance List
Sub-contracting, Outsourcing & Homeworkers
Wages & Financial Benefits (e.g. bonuses, insurance, social security, pensions)
Waste & Recycling (Textiles) 
Waste & Recycling (Other) 
Water Effluents & Treatment
Water Usage & Footprint
Working Hours & Rest Breaks


Things to watch out for:
*Business/Company code of conducts only apply if they explicitly state that they also apply to suppliers.
* Information should only be used from a parent company documents or website when the brand had linked to the parent company from their own website.
","Animal Welfare, Bribery, Corruption, Biodiversity, Community Engagement, Discrimination, Diversity, Inclusion, Emissions, Energy, Pay, Wages, Freedom, Association, Rights, Organise, Collective Bargaining, Harassment, Abuse, Health and Safety, Maternity Leave, Parental Leave, Contracts, Employment, Dismissal, Disciplinary Action, Restricted Substances, Wages, Insurance, Social Protection, Waste, Recycling, Packaging, Textiles, Water, Working Hours, Environment, Human Rights, Policy, Policies, Effluent, Operations, Recruitment, Equal Pay, Child Labour, Modern Slavery, Forced Labour, Bonded Labour, Subcontracting","Multi-category (Annual Leave & Public Holidays;Anti-bribery;Corruption & Presentation of False Information;Biodiversity;Child Labour;Community Engagement;Contracts & Terms of Employment;Discrimination;Energy & Carbon Emissions;Equal Pay;Forced or Bonded Labour;Foreign & Migrant Labour;Freedom of Association;Right to Organise & Collective Bargaining;Harassment & Abuse;Health & Safety;Living Conditions/Dormitories;Maternity Rights & Parental Leave;Notice Period, Dismissal & Disciplinary Action;Overtime Pay;Sub-contracting, Outsourcing & Homeworkers;Waste & Recycling (Product/Textiles);Water Effluents & Treatment;Water Usage & Footprint;Working Hours & Rest Breaks;None)",community assessed,Researched,
Fashion Revolution,Policies Align with International Standards,"Does the company state that its supplier/vendor policies are based on credible international standards such as the Ethical Trading Initiative Base Code, relevant UN and ILO Conventions, UN Global Compact?",These policies state the company's strategic objectives and identifies the minimum standards that must be implemented across its supply chain activities. Basing polices on credible international standards shows a company’s willingness to acknowledge international benchmarks and work collaboratively.,"In this metric question you are being asked to identify whether the company's supplier/vendor policies are based on credible international standards such as the Ethical Trading Initiative Base Code, relevant UN and ILO Conventions, UN Global Compact. Start by searching for published documents which set out the minimum human rights and environmental standards expected by the company for suppliers and/or vendors that states that they are based on international standards and benchmarks. Documents to look for include:

*Code of conduct 
*Terms of engagement 
*Supplier guidebook
*Vendor agreements
*Supplier terms of engagement 
*Modern Slavery Statement or California Transparency Act disclosure
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)

When going through the sources to find the information, good key words for your searches include:
*Policies 
*Vendors/Suppliers
*Code of Conduct 
*Supplier Guidebook
*Modern slavery statement
*Terms of engagement

Things to watch out for:
* That the benchmarks referred to are recognised and credible such as;
* The Ethical Trading Initiative Base Code
* United Nations frameworks and conventions
* International Labour Organisation’s conventions and recommendations

","Polices, International Standards, International Benchmarks, Terms of Engagement,",Category (Yes;No),community assessed,Researched,
Fashion Revolution,Policies Cascade Down Supply Chain,Does the supplier/vendor policy (or policies) state that it applies to sub-contractors or suppliers to the vendor?,"Communicating that the brands policies apply to sub-contracting and homeworkers shows that the brand acknowledges that it may have unknown sub-contracting or homeworkers within its supply chain and that it has a responsibility to ensure decent practises across all areas of its supply chain, whether known or not","In this metric question you are being asked to identify whether the company's supplier/vendor policy (or policies) state that it applies to sub-contractors or suppliers to the vendor. Start by looking for a statement that it’s document(s) which set out the minimum human rights and environmental standards expected by the company for suppliers and/or vendors apply also to any sub-contractors or home/domestic work. This statement may appear: 

*In the Code of conduct 
*In the supplier terms of engagement 
*In the supplier guidebook
*In the vendor agreements
*In Modern Slavery Statement or California Transparency Act disclosure
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)

When going through the sources to find the information, good key words for your searches include:
*Sub-contacting 
*Home/Domestic work
*Policies *Code of Conduct *Supplier Guidebook *Modern slavery statement *Terms of engagement

Things to watch out for:
* Information should only be used from a parent company documents or website when the brand has linked to the parent company from their own website.","Sub-Contracting,
Home Workers, 
Domestic Workers
",Category (Yes;No),community assessed,Researched,
Fashion Revolution,Zero Tolerance Policy,Does the supplier/vendor policy (or policies) identify the company’s zero tolerance issues?,A zero-tolerance policy identifies supply chain practises that the company does not authorise within its supply chain under any circumstances,"In this metric question you are being asked whether the company's supplier/vendor policy (or policies) identify the company’s zero tolerance issues. Start by searching for policies that state what practises the company has zero tolerance for within its supply chain, applicable to suppliers and vendors. This statement may appear in/on:
*The Code of conduct 
*The supplier terms of engagement 
*The supplier guidebook
*The vendor agreements
*A Modern Slavery Statement or California Transparency Act disclosure
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)


When going through the sources to find the information, good key words for your searches include:
*Zero tolerance

Things to watch out for:
* Information should only be used from a parent company documents or website when the brand has linked to the parent company from their own website","Zero Tolerance
Policies, Policy, Suppliers, Vendor, Supply Chain",Category (Yes;No),community assessed,Researched,
Fashion Revolution,Contractual Policies Commitment,Does the company publish whether the policy (or policies) is part of the purchase agreement or if a supplier signature is required?,Requiring a policy to be signed or having contractual agreements that include adherence to company policies with suppliers can support higher supplier commitment to the policies themselves. It can also safe guard the brand should a supplier not respect them.,"In this metric question you are being asked to identify if the company publishes whether the policy (or policies) is part of the purchase agreement or if a supplier signature is required. Start by searching for a statement that the policy (or policies) is part of a purchasing agreement or requires the suppliers/vendors signature. This statement may appear in/on:

*The Code of Conduct
*The supplier terms of engagement 
*The supplier guidebook
*The vendor agreements
*A Modern Slavery Statement or California Transparency 
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)
*Act disclosure

When going through the sources to find the information, good key words for your searches include:
*Signature
*Sign
*Contractual relationship
*Purchasing Agreement
*Contractually required

Things to watch out for:
* Information should only be used from a parent company documents or website when the brand has linked to the parent company from their own website
","Compulsory, Contractual Commitment, Obligatory, Binding, Signature, Agreement, Purchasing Agreements, Purchasing Conditions, Supplier Agreement
",Category (Yes;No),community assessed,Researched,
Fashion Revolution,Policy in Local Language,Does the company state that the supplier/vendor policy (or policies) is translated into local languages?,"Publishing translations of supplier policies/code of conduct in the local languages of the production/sourcing companies ensures suppliers are able to fully understand the brand's policies. If the policies are available the local language/s of workers in the brands supply chain, they may be able to better understand their rights. 
","In this metric question you are being asked to identify if the company states that the supplier/vendor policy (or policies) is translated into local languages. Start by searching for translations of the supplier/vendor policies/Code of Conduct in local languages of production/sourcing countries. This may appear in/on:

*The Code of Conduct
*The supplier terms of engagement 
*The supplier guidebook
*The vendor agreements
*In a Corporate Responsibility microsite
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)


When going through the sources to find the information, good key words for your searches include:
*Translations
*Languages
*Code of Conduct
*Policies

Things to watch out for:
*Brands must be publicly publishing the translated documents to receive the point","Translations, Sourcing Countries, Languages, Code of Conduct",Category (Yes;No),community assessed,Researched,
Fashion Revolution,1.3 Management Procedures (revised 2018),Which of the company’s human rights and environmental policies are reflected in their management procedures?,"These management procedures identify how the company is putting its policies into action. It is important for a company to have procedures that apply to their suppliers or own employees. This shows that they are working to uphold their commitments to human rights and environmental protection. Having procedures in place shows that the company takes some steps to improve practises across the company and/or the supply chain.

","In this metric question you are being asked to identify whether the company's human rights and environmental policies are reflected in their management procedures. Start by searching for published documents which detail the human rights standards and environmental procedures within their own operations and in their supply chains. 

Where to look for this information:

*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)

When going through the sources to find the information, good key words for your searches include:

Animal Welfare
Annual Leave & Public Holidays
Anti-bribery, & Corruption & Presentation of False Information
Biodiversity 
Child Labour 
Community Engagement
Contracts & Terms of Employment
Discrimination
Diversity & Inclusion 
Effluents
Emissions, Energy & Carbon Emissions
Equal Pay 
Forced or Bonded Labour
Foreign & Migrant Labour 
Freedom of Association, Right to Organise & Collective Bargaining
Harassment & Abuse
Health & Safety
Living Conditions/Dormitories
Maternity Rights & Parental Leave 
Notice Period, Dismissal & Disciplinary Action
Overtime Pay
Restricted Substance List
Sub-contracting, Outsourcing & Homeworkers
Wages & Financial Benefits (e.g. bonuses, insurance, social security, pensions)
Waste & Recycling (Textiles) 
Waste & Recycling (Other) 
Water Effluents & Treatment
Water Usage & Footprint
Working Hours & Rest Breaks

Things to watch out for:

* Information should only be used from a parent company documents or website when the brand has linked to the parent company from their own website.
* Simply auditing for compliance is not enough 
* Reports published after Jan 15","Procedures, Management Procedures, Supply chain, Animal Welfare, Bribery, Corruption, Biodiversity, Community Engagement, Discrimination, Diversity, Inclusion, Emissions, Energy, Pay, Wages, Freedom, Association, Right, Rights, Organise, Collective Bargaining, Harassment, Abuse, Health and Safety, Maternity, Parental Leave, Contracts, Dismissal, Disciplinary Action, Restricted Substances, Wages, Insurance, Social Protection, Waste, Recycling, Packaging, Textiles, Water, Working hours, Environment, Human Rights, Effluent, Operations, Recruitment, Equal Pay, Child Labour, Modern Slavery, Forced Labour, Bonded Labour, Subcontracting","Multi-category (Animal Welfare;Annual Leave & Public Holidays;Anti-bribery;Corruption & Presentation of False Information;Biodiversity;Child Labour;Community Engagement;Contracts & Terms of Employment;Discrimination;Diversity & Inclusion;Energy & Carbon Emissions;Equal Pay;Forced or Bonded Labour;Foreign & Migrant Labour;Freedom of Association, Right to Organise & Collective Bargaining;Harassment & Abuse;Health & Safety;Living Conditions/Dormitories;Maternity Rights & Parental Leave;Notice Period, Dismissal & Disciplinary Action;Overtime Pay;Restricted Substance List;Sub-contracting, Outsourcing & Homeworkers;Wages & Financial Benefits (e.g. bonuses, insurance, social security, pensions);Waste & Recycling;Water Effluents & Treatment;Water Usage & Footprint;Working Hours & Rest Breaks;None)",community assessed,Researched,
Fashion Revolution,1.4 Identification of Impacts (revised 2018),Does the company publicly disclose how it identifies its most material human rights and environmental impacts?,"It is important for a brand to disclose their key human rights and environmental priorities, typically in the form of a materiality assessment. A materiality shows that a brand has assessed it’s impacts and prioritised those it feels are most urgently in need of addressing. 
","In this metric question you are being asked to identify whether the company publicly discloses how it identifies its most material human rights and environmental impacts. Start by searching for public disclosures on the company's most material human rights and environmental impacts, typically a materiality matrix or a similar assessment. 
Where to look for this information:
*Corporate Social Responsibility report
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)

When going through the sources to find the information, good key words for your searches include:
*Materiality Assessment
*Materiality Matrix
*Priority issues/challenges
*Stakeholders

Things to watch out for:
*If found in the company's CSR/Sustainability report, it must be included in the current report even if the assessment was conducted in previous years.","Materiality, Materiality, Assessment, Matrix, Human rights, Environment, Key, Priorities","Multi-category (Description of process for identifying most material human rights and environmental impacts (typically materiality assessment);Discloses its most material human rights and environmental impacts (e.g. publishes materiality matrix);Discloses that the assessment process includes union representatives, worker representatives, or labour rights NGOs;No)",community assessed,Researched,
Fashion Revolution,1.5 Strategic Impacts Improvements Plan (revised 2018),Does the company publish a strategic plan towards progressively improving human rights and environmental impacts?,"It is important for a brand to publish a strategic plan or goals in order to drive improvements in their human rights and environmental impact. When brands publish their progress towards achieving human rights and environmental goals, it allows citizens to understand more about brands and how they can hold the brands to account to their goals. 
","In this metric question you are being asked to identify whether the company publishes a strategic plan towards progressively improving human rights and environmental impacts. Start by looking for a strategic plan published by the company, which could be a roadmap, vision, commitments or goals. 
Where to look for this information:
*Corporate Social Responsibility report
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)

When going through the sources to find the information, good key words for your searches include:
*Goals
*Commitments
*Strategy
*Strategic plan
*Roadmap
*Vision

Things to watch out for:
*Must cover dates in the future
*If the brand has a 5 year strategy and they are at the end of that 5 years and reporting on progress then that is still acceptable.","Strategy, Commitments, Goals, Human Rights, Environment, Strategic Plan, Roadmap, Vision, Future","Multi-category (Publishes measurable, time-bound long-term commitments or goals on improving human rights impacts;Publishes measurable, time-bound long-term commitments or goals on improving environmental impacts;Annual, up-to-date disclosure of progress towards achieving these commitments or goals;No)",community assessed,Researched,
