question,metric_type,metric_designer,metric_title,topic,about,methodology,value_type,value_options,report_type,research_policy
What are the company’s human rights and environmental policies? ,Research,Fashion Revolution,1.1 Own Operations Policies,"Animal Welfare, Bribery, Corruption, Biodiversity, Conservation, Community Engagement, No Discrimination, Diversity, Inclusion, Emissions, Energy, Pay, Wages, Freedom of Association, Human rights, Right to Organise and Collective Bargain, Harassment, Violence, Abuse, Health and Safety, Maternity Leave, Parental Leave, Contracts, Dismissal, Disciplinary Action, Restricted Substances, Wages, Insurance, Social Protection, Waste, Recycling, Packaging, Textiles, Water, Working Hours, Environment, Human Rights, Policy, Policies, Effluent, Governance, FTI 2020
","These policies evidence the company's operating guidelines and outline the standards that must be implemented across the company's activities. Policies are a way for a company to communicate its commitments to human rights, social impacts and environmental protection. If they have policies in place we know they are considering these topics within their business.



","In this question you are being asked to identify the company's human rights and environmental policies. Start by searching within published documents which set out the company's human rights standards and environmental standards (as related to its own company operations in its head offices, stores, warehouses, and owned production facilities)

Where to look for this information:
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)
- Employee Handbook (if publicly available)
- Careers section of the company website

Good key words for your searches include:
- Animal Welfare
- Annual Leave & Public Holidays
- Anti-bribery, & Corruption & Presentation of False Information
- Biodiversity & Conservation
- Child Labour 
- Community Engagement
- Contracts & Terms of Employment
- Discrimination
- Diversity & Inclusion 
- Effluents
- Energy & Carbon Emissions
- Equal Pay 
- Forced or Bonded Labour
- Foreign & Migrant Labour  
- Freedom of Association, Right to Organise & Collective Bargaining
- Harassment & Violence
- Health & Safety
- Living Conditions/Dormitories
- Maternity Rights & Parental Leave 
- Notice Period, Dismissal & Disciplinary Action
- Overtime Pay
- Restricted Substance List
- Sub-contracting, Outsourcing & Homeworkers
- Wages & Financial Benefits (e.g. bonuses, insurance, social security, pensions)
- Waste & Recycling (Textiles) 
- Waste & Recycling (Other) 
- Water Effluents & Treatment
- Water Usage & Footprint
- Working Hours & Rest Breaks

Things to watch out for:
- Supplier Code of Conducts do not count toward this metric question, unless they explicitly state that they apply to the company's own employees.
- Some of the policies in this section can be found in an Employee Handbook, if publicly available, or sometimes in the Careers section of the website.
- Environmental policies are often separate company policies, not included in an Employee Handbook.
- Restricted Substance List itself must be published, not sufficient if they just say that they have a RSL in place.
- For Waste & Recycling (Textiles), we are looking specific for policies on off-cuts and textile wastage or policy on waste resulting from defective stock or production samples. 
- Equal Pay policy can sometimes be found within a discrimination policy. The discrimination policy must explicitly state that it includes pay/remuneration and gender/sex
- Biodiversity and Conservation policy can include deforestation and forest-based fibre policies
- Banning the use of any animal derived fibre isn't sufficient for points for Animal Welfare. We are looking for a policy such as the Five Freedoms approach, which covers issues such as husbandry and use of animal derived materials.
",Multi-category,"Animal Welfare;
Annual Leave & Public Holidays;
Anti-bribery, Corruption, & Presentation of False Information;
Biodiversity & Conservation; 
Community Engagement;
Contracts & Terms of Employment;
Discrimination;
Diversity & Inclusion; 
Energy & Carbon Emissions;
Equal Pay; 
Freedom of Association, Right to Organise & Collective Bargaining;
Harassment & Violence;
Health & Safety;
Maternity Rights & Parental Leave;
Notice Period, Dismissal & Disciplinary Action;
Restricted Substance List;
Wages & Financial Benefits (e.g. bonuses, insurance, social security, pensions);
Waste & Recycling (Packaging/Office/Retail);
Waste & Recycling (Product/Textiles);
Water Usage & Footprint;
Working Hours & Rest Breaks;
None",,designer assessed
What are the company’s vendor/supplier policies covering human rights and environmental standards across the supply chain?,Research,Fashion Revolution,Supply Chain Policies,"Animal Welfare, Bribery, Corruption, Biodiversity, Conservation, Community Engagement, Discrimination, Diversity, Inclusion, Emissions, Energy, Pay, Wages, Freedom, Association, Rights, Organise, Collective Bargaining, Harassment, Violence, Abuse, Health and Safety, Maternity Leave, Parental Leave, Contracts, Employment, Dismissal, Disciplinary Action, Restricted Substances, Wages, Insurance, Social Protection, Waste, Recycling, Packaging, Textiles, Water, Working Hours, Environment, Human Rights, Policy, Policies, Effluent, Operations, Recruitment, Equal Pay, Child Labour, Modern Slavery, Forced Labour, Bonded Labour, Subcontracting, Supply Chain Transparency, FTI 2020","Policies outline the minimum human rights and environmental standards that companies require their vendors and partners to implement throughout the supply chain. Having supplier policies in place shows that the company takes some responsibility for the practises that happen within its supply chain.
","In this question you are being asked to identify the company’s vendor/supplier policies covering human rights and environmental standards across the supply chain. Start by searching for published documents which set out the minimum human rights and environmental standards expected by the company for suppliers and/or vendors. 

Documents to look for include:
- Code of Conduct
- Terms of Engagement
- Supplier Guidebook
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

NB: Code of Ethics that typically apply to the previous metric question (looking at policies that apply to the company's own operations) and do not count in this metric question, unless they explicitly state that the policies apply to suppliers. 

Good key words for your searches include:
- Animal Welfare
- Annual Leave & Public Holidays
- Anti-bribery, & Corruption & Presentation of False Information
- Biodiversity & Conservation
- Child Labour 
- Community Engagement
- Contracts & Terms of Employment
- Discrimination
- Diversity & Inclusion 
- Effluents
- Energy & Carbon Emissions
- Equal Pay 
- Forced or Bonded Labour
- Foreign & Migrant Labour  
- Freedom of Association, Right to Organise & Collective Bargaining
- Harassment & Violence
- Health & Safety
- Living Conditions/Dormitories
- Maternity Rights & Parental Leave 
- Notice Period, Dismissal & Disciplinary Action
- Overtime Pay
- Restricted Substance List
- Sub-contracting, Outsourcing & Homeworkers
- Wages & Financial Benefits (e.g. bonuses, insurance, social security, pensions)
- Waste & Recycling (Textiles) 
- Waste & Recycling (Other) 
- Water Effluents & Treatment
- Water Usage & Footprint
- Working Hours & Rest Breaks

Things to watch out for:
- All of these issues must be explicitly stated in any policies.
- Business/Company code of conducts only apply if they explicitly state that they also apply to suppliers.
- For Waste & Recycling (Textiles), we are looking specific for policies on off-cuts and textile wastage or policy on waste resulting from defective stock or production samples. 
- Equal Pay policy can sometimes be found within a discrimination policy. The discrimination policy must explicitly state that it includes pay/remuneration and gender/sex
- Biodiversity and Conservation policy can include deforestation and forest-based fibre policies
- Living Conditions/Dormitories policy can often be found within a health and safety policy",Multi-category,"Annual Leave & Public Holidays;
Anti-bribery, Corruption & Presentation of False Information;
Biodiversity & Conservation;
Child Labour;
Community Engagement;
Contracts & Terms of Employment;
Discrimination;
Energy & Carbon Emissions;
Equal Pay;
Forced & Bonded Labour;
Foreign & Migrant Labour;
Freedom of Association, Right to Organise & Collective Bargaining;
Harassment & Violence;
Health & Safety;
Living Conditions/Dormitories;
Maternity Rights & Parental Leave;
Notice Period, Dismissal & Disciplinary Action;
Overtime Pay;
Sub-contracting, Outsourcing & Homeworkers;
Wages & Financial Benefits (e.g. bonuses, insurance, social security, pensions);
Waste & Recycling (Packaging/Office/Facility);
Waste & Recycling (Product/Textiles);
Water Effluents & Treatment;
Water Usage & Footprint;
Working Hours & Rest Breaks;
None",,designer assessed
"Does the company state that its supplier/vendor policies are based on credible international standards such as the Ethical Trading Initiative Base Code, relevant UN and ILO Conventions, UN Global Compact? ",Research,Fashion Revolution,Supply Chain Policies Align with International Standards,"policies, International Standards, International Benchmarks, Terms of Engagement, Supply Chain Transparency, ILO, UN, Global Compact, Ethical Trading Initiative, ETI, Base Code, Conventions, OECD guidelines, FTI 2020",Basing policies on credible international standards shows a company’s willingness to acknowledge international benchmarks and work collaboratively.,"In this question you are being asked to identify whether the company's supplier/vendor policies are based on credible international standards such as the Ethical Trading Initiative Base Code, relevant UN and ILO Conventions, UN Global Compact. Start by searching for published documents which set out the minimum human rights and environmental standards expected by the company for suppliers and/or vendors that states that they are based on international standards and benchmarks. 

Documents to look for include:
- Code of conduct 
- Terms of engagement 
- Supplier guidebook
- Vendor agreements
- Supplier terms of engagement  
- Modern Slavery Statement or California Transparency Act disclosure
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Policies 
- Vendors/Suppliers
- Code of Conduct 
- Supplier Guidebook
- Modern slavery statement
- Terms of engagement
- International Labour Organisation (ILO)
- The Ethical Trading Initiative (ETI) Base Code
- UN Global Compact
- OECD guidelines 

Things to watch out for:
- That the benchmarks referred to are recognised and credible such as; The Ethical Trading Initiative Base Code, United Nations frameworks and conventions, International Labour Organisation’s conventions and recommendations",Category,Yes; No,,designer assessed
Does the company publish whether the policy (or policies) is part of the purchase agreement or if a supplier signature is required?,Research,Fashion Revolution,Supply Chain Policies Are Contractual,"Compulsory, Contractual Commitment, Obligatory, Binding, Signature, Agreement, Purchasing Agreements, Purchasing Conditions, Supplier Agreement, Supply Chain Transparency, FTI 2020","Requiring a policy to be signed or having contractual agreements that include adherence to company policies by suppliers shows that compliance with the company’s policies, and codes of conduct, are not optional and are a requirement of the business relationship. This reinforces the importance of compliance and shows how that the company is serious about working with suppliers that comply.  
","In this question you are being asked to identify if the company publishes whether the policy (or policies) is part of the purchase agreement or if a supplier signature is required. Start by searching for a statement that the policy (or policies) is part of a purchasing agreement or requires the suppliers/vendors signature. 

This statement may appear in/on:
- The Code of Conduct
- The supplier terms of engagement 
- The supplier guidebook
- The vendor agreements
- A Modern Slavery Statement or California Transparency 
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)
- Act disclosure

Good key words for your searches include:
- Signature
- Sign
- Contractual relationship
- Purchasing Agreement
- Contractually required

Things to watch out for:
- Information should only be used from a parent company documents or website when the brand has linked to the parent company from their own website",Category,Yes; No,,designer assessed
Does the company publish the supplier / vendor policy (or policies) / Code of Conduct translated into local languages of production and sourcing countries?,Research,Fashion Revolution,Supply Chain Policies in Local Language,"Translations, Sourcing Countries, Languages, Code of Conduct, Supply Chain Transparency, FTI 2020","Publishing translations of supplier policies/code of conduct in the local languages of the production/sourcing vendors ensures supplier teams and workers are able to fully understand the requirements and can allow workers to better understand their workplace rights. 

","In this question you are being asked to identify if the company states that the supplier/vendor policy (or policies) is translated into local languages. Start by searching for translations of the supplier/vendor policies/Code of Conduct in local languages of production/sourcing countries. 

This may appear in/on:
- The Code of Conduct
- The supplier terms of engagement 
- The supplier guidebook
- The vendor agreements
- In a Corporate Responsibility microsite
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Translations
- Languages
- Code of Conduct
- Policies

Things to watch out for:
- Brands must be publicly publishing the translated documents to receive the point not just stating that translations are available",Category,Yes; No,,designer assessed
Which of the company’s human rights and environmental policies are reflected in their management procedures? ,Research,Fashion Revolution,1.3 Management Procedures,"Procedures, Management Procedures, Supply chain, Animal Welfare, Bribery, Corruption, Biodiversity, Conservation, Community Engagement, Discrimination, Diversity, Inclusion, Emissions, Energy, Pay, Wages, Freedom, Association, Right, Rights, Organise, Collective Bargaining, Harassment, Violence, Abuse, Health and Safety, Maternity, Parental Leave, Contracts, Dismissal, Disciplinary Action, Restricted Substances, Wages, Insurance, Social Protection, Waste, Recycling, Packaging, Textiles, Water, Working hours, Environment, Human Rights, Effluent, Operations, Recruitment, Equal Pay, Child Labour, Modern Slavery, Forced Labour, Bonded Labour, Subcontracting, FTI 2020","These management procedures identify how the company is putting its policies into action. It is important for a company to have procedures that apply to their suppliers and own employees. This shows that they are working to uphold their commitments to human rights, social impacts and environmental protection and that the company takes some steps to improve practises across the company and/or the supply chain. 

","In this question you are being asked to identify whether the company's human rights and environmental policies are reflected in their management procedures. Start by searching for published documents which detail the human rights standards and environmental procedures within their own operations and in their supply chains. 

Where to look for this information:
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Animal Welfare
- Annual Leave & Public Holidays
- Anti-bribery, & Corruption & Presentation of False Information
- Biodiversity & Conservation
- Child Labour 
- Community Engagement
- Contracts & Terms of Employment
- Discrimination
- Diversity & Inclusion 
- Effluents
- Emissions, Energy & Carbon Emissions
- Equal Pay 
- Forced or Bonded Labour
- Foreign & Migrant Labour  
- Freedom of Association, Right to Organise & Collective Bargaining
- Harassment & Violence
- Health & Safety
- Living Conditions/Dormitories
- Maternity Rights & Parental Leave 
- Notice Period, Dismissal & Disciplinary Action
- Overtime Pay
- Restricted Substance List
- Sub-contracting, Outsourcing & Homeworkers
- Wages & Financial Benefits (e.g. bonuses, insurance, social security, pensions)
- Waste & Recycling (Textiles) 
- Waste & Recycling (Other) 
- Water Effluents & Treatment
- Water Usage & Footprint
- Working Hours & Rest Breaks

Things to watch out for:
- Information should only be used from a parent company documents or website when the brand has linked to the parent company from their own website.
- Simply auditing for compliance is not enough 
- Reports published after Jan 15
- Animal Welfare procedure could be participation in the Leather Working Group, Responsible Down Standard, Responsible Wool Standard, Peta certification, etc. 
- Annual Leave and Public holidays procedure could be evidence of a system in place that ensures employees actually receive annual leave. This could be a record system to track employees annual leave or an annual leave approval system. 
- Anti-bribery procedure could be something like dedicated training for employees/workers on bribery and corruption or a dedicated hotline for employees/workers to report bribery, corruption, fraud.
- Biodiversity & Conservation procedure could be working with FSC or Canopy to ensure sources of cellulose-based fibres are not contributing to biodiversity loss, by ensuring that exotic plants and leather adhere to the CITES convention or by restoring soil health and increasing biodiversity through regenerative agriculture.
- Child labour procedure could be evidence of due diligence, partnerships or programs that work to eliminate child labour.  
- Community engagement procedure could be evidence of partnerships and programs that support communities in the areas impacted by the company
- Contracts & Terms of Employment procedure could be ensuring all contracts are in the local language, are signed by both parties and that employees are given a copy of the contract. 
- Discrimination procedure could be evidence of partnerships and/or specific programs that seek to prevent, mitigate or remedy discrimination. 
- Diversity & Inclusion procedure could be evidence of partnerships and/or specific programs that fosters diversity and inclusion.
- Energy & Carbon Emissions procedure could be the implementation of any energy-saving and reduction initiatives or how they proactively work to reduce their carbon emissions. Brand could receive points for being a part of UN Fashion Charter for Climate Action or the G7 Pact.
- Equal Pay procedure could be evidence of work beyond a policy to ensure equal pay; could be evidence of training on this issue, partnerships or specific programs that address this topic explicitly.
- Forced and Bonded Labour procedure could be evidence of due diligence, partnerships or programs that work to eliminate forced and bonded labour - the type of procedural information which might be include in a UK Modern Slavery Act or California Transparency in Supply Chains Act statement.
- For Foreign & Migrant Labour procedure, we are looking for evidence of due diligence, partnerships or programs that work to support migrant workers within their supply chain such as the AAFA/FLA Apparel & Footwear Industry Commitment to Responsible Recruitment. 
- Freedom of Association, Right to Organise & Collective Bargaining procedure could be via a Global Framework Agreement or partnerships that proactively support freedom of association and CB such as ACT, Indonesia Protocol or partnerships with local unions.
- Harassment & Violence procedure could include initiatives such as training for factory managers and workers, dedicated hotline to anonymously report harassment/abuse/violence and other sensitisation type activities.
- For a Health & Safety procedure, we are looking for how health and safety policies are put into practice such as topical training for workers.
- For Living Conditions/Dormitories procedure, we are looking for programs in supplier facilities focused on improving conditions in hostels/dormitories where workers are living onsite. For example, supporting hostel registration or providing provisions to increase quality of life for workers living in hostels/dormitories.
- For Maternity Rights & Parental Leave, we are looking for procedures and programs that seek to protect maternity rights and ensure parental leave for employees. For example, schemes that allow employees to work remotely or part-time after returning from maternity leave.
- Notice Period, Dismissal & Disciplinary Action procedure could be any evidence of work beyond a policy to prevent unreasonable dismissals or disciplinary action. This could be a clear disciplinary procedure which is communicated to employees and accompanied by clear documentation.
- For Overtime Pay procedure, we are looking for initiatives or procedures that manage overtime pay for employees. This could be documentation of overtime hours and pay through an overtime management system.
- Restricted Substance List procedure could be evidence of testing, e.g. working with ZDHC programme (if link to ZDHC provided)
- For Sub-contracting, Outsourcing & Homeworkers procedure, we are looking for evidence of partnerships and specific programs that seek to address and support better homeworking practices or traceability of sub-contracting. 
- For Wages & Benefits (e.g. bonuses, insurance, social security, pensions), we are looking for evidence of partnerships and programs that proactively support improving wages and benefits. For example, ACT membership, Fair Wear Foundation’s Fair Wage Ladder, calculating and benchmarking wages using Anker or Asia Floor Wage. Or, it could be by providing detailed information about wage management systems.
- Waste & Recycling (Packaging/Office/Facility/Retail) procedure could include initiatives or procedures that are in action to reduce/reuse waste such as paper, plastic and glass, packaging, etc.
- Waste & Recycling (Product/Textiles) procedure could be initiatives or practices that reduce/reuse/repurpose off-cuts and textile wastage, defective stock, production samples and/or post-consumer waste.
- Water Effluents & Treatment procedure could be working with ZDHC  programme is sufficient (if link to ZDHC provided)
- Water Usage & Footprint could be initiatives or procedures that are in action to reduce/minimise the use of water in business or supplier activities.
- For Working Hours & Rest Breaks, we are looking for initiatives or procedures that ensure workers/employees receive an adequate number of paid rest breaks for a healthy person within normal working hours. Or, initiatives or procedures that ensure workers/employees are working normal, legal hours in a day. 
",Multi-category,"Animal Welfare;
Annual Leave & Public Holidays;
Anti-bribery, Corruption & Presentation of False Information;
Biodiversity & Conservation; 
Child Labour;
Community Engagement;
Contracts & Terms of Employment;
Discrimination;
Diversity & Inclusion;
Energy & Carbon Emissions;
Equal Pay;
Forced & Bonded Labour;
Foreign & Migrant Labour;
Freedom of Association, Right to Organise & Collective Bargaining;
Harassment & Violence;
Health & Safety;
Living Conditions/Dormitories;
Maternity Rights & Parental Leave;
Notice Period, Dismissal & Disciplinary Action;
Overtime Pay;
Restricted Substance List;
Sub-contracting, Outsourcing & Homeworkers;
Wages & Benefits (e.g. bonuses, insurance, social security, pensions);
Waste & Recycling (Packaging/Office/Facility/Retail);
Waste & Recycling (Product/Textiles);
Water Effluents & Treatment;
Water Usage & Footprint;
Working Hours & Rest Breaks;
None",,designer assessed
Does the company describe the process for identifying its most material human rights and environmental impacts?,Research,Fashion Revolution,Describes Process to Identify Impacts,"Materiality, Materiality, Assessment, Matrix, Human rights, Environment, Key, Priorities, FTI 2020","A materiality assessment discloses how the company identifies its most material human rights and environmental impacts. 
","In this question you are being asked to identify whether the company publicly discloses how it identifies its most material human rights and environmental impacts. Start by searching for public disclosures on the company's most material human rights and environmental impacts, typically a materiality matrix or a similar assessment. 

Where to look for this information:
- Corporate Social Responsibility report
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Materiality Assessment
- Materiality Matrix
- Priority issues/challenges

Things to watch out for:
- The availability of the CSR/sustainability report by itself is not sufficient for any points under this question.
- A description of the process to identify material impacts is typically a materiality assessment, whereas publishing the results of that materiality assessment would be considered disclosing what the most material impacts are (next question).
- If found in the company's CSR/Sustainability report, it must be included in the current report even if the assessment was conducted in previous years.
- Reports published after January 18",Category,Yes; No,,designer assessed
Does the company disclose what its most material or significant human rights and environmental impacts are?,Research,Fashion Revolution,Discloses Material Impacts,"Materiality, Materiality, Assessment, Matrix, Human rights, Environment, Key, Priorities, FTI 2020","A materiality assessment discloses how the company identifies its most material human rights and environmental impacts. 
","In this question you are being asked to identify whether the company publicly discloses its most material human rights and environmental impacts. Start by searching for public disclosures on the company's most material human rights and environmental impacts, typically a materiality matrix or a similar assessment. 

Where to look for this information:
- Corporate Social Responsibility report
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Materiality Assessment
- Materiality Matrix
- Priority issues/challenges

Things to watch out for:
- The availability of the CSR/sustainability report by itself is not sufficient for any points under this question.
- A description of the process to identify material impacts is typically a materiality assessment (previous question), whereas publishing the results of that materiality assessment would be considered disclosing what the most material impacts are.
- If found in the company's CSR/Sustainability report, it must be included in the current report even if the assessment was conducted in previous years.
- Reports published after January 18",Category,Yes; No,,designer assessed
"Does the company publish measurable, time-bound and long-term commitments, targets or goals for improving their environmental impacts?",Research,Fashion Revolution,Plan for Improving Environmental Impacts,"Strategy, Commitments, Goals, Environment, Strategic Plan, Roadmap, Vision, Future, Targets, FTI 2020","It is important for a brand to publish a strategic plan, targets or goals in order to drive improvements in their human rights and environmental impact. When brands publish their progress towards achieving human rights and environmental goals, it allows citizens to understand more about brands and how they can hold the brands to account to their goals. 
","In this question you are being asked to identify whether the company publishes a strategic plan towards progressively improving their environmental impacts. Start by looking for a strategic plan published by the company, which could be a roadmap, vision, commitments, targets or goals. 

Where to look for this information:
- Corporate Social Responsibility report
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Goals
- Targets
- Commitments
- Strategy
- Strategic plan
- Roadmap
- Vision

Things to watch out for:
- Must cover dates in the future
- If the brand has a 5 year strategy and they are at the end of that 5 years and reporting on progress then that is still acceptable.",Category,Yes; No,,designer assessed
"Does the company publish measurable, time-bound and long-term commitments, targets or goals for improving their human rights impacts?",Research,Fashion Revolution,Plan for Improving Human Rights Impacts,"Strategy, Commitments, Goals, Human Rights, Strategic Plan, Roadmap, Vision, Future, Targets, FTI 2020","It is important for a brand to publish a strategic plan, targets or goals in order to drive improvements in their human rights and environmental impact. When brands publish their progress towards achieving human rights and environmental goals, it allows citizens to understand more about brands and how they can hold the brands to account to their goals. 
","In this question you are being asked to identify whether the company publishes a strategic plan towards progressively improving their human rights impacts. Start by looking for a strategic plan published by the company, which could be a roadmap, vision, commitments, targets or goals. 

Where to look for this information:
- Corporate Social Responsibility report
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Goals
- Targets
- Commitments
- Strategy
- Strategic plan
- Roadmap
- Vision

Things to watch out for:
- Must cover dates in the future
- If the brand has a 5 year strategy and they are at the end of that 5 years and reporting on progress then that is still acceptable.",Category,Yes; No,,designer assessed
