Mandatory for:,Metric Designer,Metric Title,Question,About,Methodology,Topics,Value Type,Research Policy,Metric Type,Report Type
England,Higher Education Statistics Agency (HESA),Total income (£),What is the higher education providers total income?,"This field contains data about the total income. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: sector use and benchmarking.","This data will be provided by HESA.

Total consolidated income of the HEP from all sources (e.g. funding council grants, academic fees and support grants, research grants and contracts, other operating income, endowment income, and interest receivable) or as qualified by headings. Sum total of HESA supplied non-residential income total, HESA supplied catering income and HESA supplied residences income.",University Metrics,Money (£),Community,Researched,Corporate Social Responsibility Report
England,Higher Education Statistics Agency (HESA),Teaching income (£),What is the higher education providers teaching income?,"This field contains data about teaching income. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: sector use and benchmarking.","This data will be provided by HESA.

HEP income teaching total includes the income from the Finance record Table 7 UK 'Income analysed by source' Head 1 'Tuition fees and education contracts'. Plus the following from Table 7 England/Wales/Scotland/Northern Ireland depending on administration:

England
• Head 1a 'HEFCE teaching grant' plus,
• Head 1c 'HEFCE other grants' plus,
• Head 1d 'SFA funding' plus,
• Head 1e 'NCTL funding' plus,
• Head 1f 'Capital grants recognised in the year'

Wales
• Head 1a 'Teaching grant - full-time UG provision (including PGCE and premia and per capita funding)' plus,
• Head 1b 'Teaching grant - full-time PG provision (including premia and per capita funding)' plus,
• Head 1c 'Teaching grant - part-time UG provision (including premia and per capita funding)' plus,
• Head 1d 'Teaching grant - part-time PG provision (including premia and per capita funding)' plus,
• Head 1f 'Non formula funding grant' plus,
• Head 1g 'Capital grants recognised in the year - equipment' plus,
• Head 1h 'Capital grants recognised in the year - estates' plus,
• Head 1i 'DfES recurrent grants'

Scotland
• Head 1a 'General fund teaching' plus,
• Head 1c 'Ring-fenced grants' plus,
• Head 1d 'Strategic funds' plus,
• Head 1e 'SFC capital maintenance grant' plus,
• Head 1f 'Capital grants recognised in the year' plus,
• Head 1g 'Grants for FE provision'

Northern Ireland
• Head 1a 'Recurrent (teaching)' plus,
• Head 1c 'Recurrent - other (including non-recurrent special funding)' plus,
• Head 1d 'Capital grants recognised in the year'",University Metrics,Money (£),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Scotland Wales,Higher Education Statistics Agency (HESA),Research income (£),What is the higher education providers research income?,"This field contains data about research income. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reson required: sector use and benchmarking.
","This data will be provided by HESA.

HEP income research total includes all income from the Finance record Table 7 UK 'Income analysed by source' categorised as:
• Head 3aix 'Total BIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh' plus,
• Head 3b 'UK-based charities (open competitive process)' plus,
• Head 3c 'UK-based charities (other)' plus,
• Head 3d 'UK central government bodies/local authorities, health and hospital authorities' plus,
• Head 3e 'UK central government tax credits for research and development expenditure' plus,
• Head 3f 'UK industry, commerce and public corporations' plus,
• Head 3h 'EU government bodies' plus,
• Head 3i 'EU-based charities (open competitive process)' plus,
• Head 3j 'EU industry, commerce and public corporations' plus,
• Head 3k 'EU (excluding UK) other' plus,
• Head 3l 'Non-EU-based charities (open competitive process)' plus,
• Head 3m 'Non-EU industry, commerce and public corporations' plus,
• Head 3n 'Non-EU other' plus,
• Head 3g 'UK other sources

Plus the following from Table 7 England/Wales/Scotland/Northern Ireland depending on
administration:

England
• Head 1b 'HEFCE research grant'

Wales
• Head 1e 'QR and PGR funding'

Scotland
• Head 1b 'General fund research and knowledge exchange'
Northern Ireland
• Head 1b 'Recurrent (research)'",University Metrics,Money (£),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Other non-residential income (£),What is the higher education providers other non-residential income?,"This field contains data about other non-residential income. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: sector use and benchmarking.","This data will be provided by HESA.

HEP income other non-residential includes all income from the Finance record Table 7
UK 'Income analysed by source' categorised as:

• Head 4ai 'BIS Research Councils, UK central government/local authorities, health and hospital authorities, EU government bodies' plus,
• Head 4aii 'Other' plus,
• Head 4c 'Grants from local authorities' plus,
• Head 4d 'Income from health and hospital authorities (excluding teaching contracts for student provision)' plus,
• Head 4e 'Other grant income' plus,
• Head 4f 'Capital grants recognised in the year' plus,
• Head 4g 'Income from intellectual property rights' plus,
• Head 4h 'Other operating income' plus,
• Head 5 'Investment income'",University Metrics,Money (£),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Non-residential income total (£),What is the higher education providers total non-residential income?,"This field contains data about total non-residential income. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: sector use and benchmarking. ","This data will be provided by HESA.

Sum total of HESA supplied teaching income, HESA supplied research income, and HESA supplied other non-residential income.",University Metrics,Money (£),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Total expenditure (£),What is the higher education providers total expenditure?,"This field contains data about total expenditure. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: sector use and benchmarking. ","This data will be provided by HESA.

Total consolidated revenue expenditure of the HEP including staff costs, other operating expenditure, depreciation and interest payable. Sum total of HESA supplied non-residential expenditure, HESA supplied catering expenditure and HESA supplied residences expenditure.",University Metrics,Money (£),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Teaching student headcount,What is the headcount of students on higher education taught courses?,"This field contains the headcount of students on higher education taught courses. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: sector use and benchmarking. ","This data will be provided by HESA.

The headcount of students on higher education (HE) taught courses as defined for the Student record where Course.COURSEAIM begins E, M, H, I, J or C.",University Metrics,Number (student),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Research student headcount,What is the headcount of higher education research students,"This field contains the headcount of higher education research students. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: sector use and benchmarking. ","This data will be provided by HESA.

The headcount of higher education (HE) research students as defined for the Student record where Course.COURSEAIM begins D or L.",University Metrics,Number (student),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Teaching student FTE,What is the full-time equivalent data for students on higher education taught courses?,"This field contains full-time equivalent data for students on higher education taught courses. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: sector use and benchmarking. ","This data will be provided by HESA.

The full-time equivalence (FTE) of students on higher education (HE) taught courses as defined for the Student record where Course.COURSEAIM begins E, M, H, I, J or C.",University Metrics,Number (FTE),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Research student FTE,What is the full-time equivalent data for higher education research students?,"This field contains full-time equivalent data for higher education research students. The value can be recorded to three decimal places. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: sector use and benchmarking.","This data will be provided by HESA.

The full-time equivalence (FTE) of higher education research students as defined for the Student record where Course.COURSEAIM begins D or L.",University Metrics,Number (FTE),Community,Researched,Corporate Social Responsibility Report
