wikirate_number,oc_jurisdiction_code
3308627,us_in
3307229,us_mo
3306209,us_mn
3305119,us_oh
3304244,us_ga
3304216,us_ny
3304167,us_fl
3300204,us_mn
3298189,us_il
3296882,tr
3296812,tr
3295760,es
3295753,es
3294627,pl
3289696,jp
3288489,jp
3287447,jp
3288454,jp
3286908,jp
3280369,hn
3278064,de
3277623,fr
3276944,fr
3275491,cn
3275255,cn
3275038,cn
3274800,cn
3274737,cn_44
3274723,cn_44
3270980,cn_36
3270398,cn_44
3270372,cn_44
3270193,cn
3270095,cn
3269878,cn
3269661,cn_12
3269409,cn_32
3269395,cn
3269353,cn_11
3269332,cn
3269269,cn_11
3268961,cn_44
3268919,cn_44
3268548,cn_44
3268415,cn_44
3268338,cn_33
3268261,cn_44
3268135,cn_44
3268011,cn_44
3267808,cn_44
3267703,cn_44
3267600,cn
3267390,cn_33
3267210,cn_32
3267182,cn_44
3267126,cn_44
3266549,cn_35
3266332,cn_44
3266157,cn
3266059,cn_44
3265704,cn_44
3261618,cn_32
3261612,br
3261563,cn
3261521,cn_32
3260965,cn
3260867,cn_44
3260491,cn_44
3260292,cn_44
3260119,cn_44
3260077,cn
3260035,cn_32
3260007,cn_44
3259846,cn_44
3259853,cn_33
3259608,cn
3259395,cn_44
3258985,cn_44
3258978,cn_44
3258209,cn_44
3258139,cn_44
3258132,cn_44
3258006,cn_33
3257681,cn_32
3257627,cn_33
3257592,cn_44
3257482,cn_44
3256328,br
3256307,br
3256202,br
3254372,cn
3254270,vn
3253858,vn
3253745,vn
3253590,vn
3253245,vn
3252976,vn
3252630,cn
3252616,cn
3252609,vn
3252555,vn
3252548,vn
3250766,tr
3248102,cn
3247952,tw
3245206,tr
3244471,bd
3244070,vn
3244021,us_tn
3243797,tr
3243734,tw
3243270,jo
3242873,in
3242644,eg
3242575,cn_44
3242533,cn_44
3242355,cn
3242213,cn_32
3242171,cn_32
3242045,cn_44
3242031,cn_32
3242038,cn_44
3241947,cn_44
3241940,cn_44
3241919,cn_44
3241647,br
3241633,br
3241584,bd
3233858,cn_33
3231700,cn_33
3230951,cn_44
3230773,cn_33
3229530,tr
3229453,tr
3229355,cn_32
3229278,al
3229271,al
3228906,tr
3228710,cn_44
3225064,ni
3224405,eg
3224242,cn
3223204,cn
3222270,tr
3222254,tr
3222248,tr
3222237,tr
3222194,tr
3222167,tr
3222173,tr
3222150,tr
3222112,in
3222100,in
3222088,cn_32
3222058,cn_33
3222064,cn_44
3222046,cn
3222052,cn
3222028,cn_33
3222034,cn
3222016,cn_32
3221986,cn_32
3220975,tr
3220963,tr
3220757,tr
3220743,tr
3220708,tr
3220694,tr
3220687,tr
3220673,tr
3220652,tr
3220568,tr
3220547,tr
3220540,tr
3220197,cn
3220050,cn_33
3128908,us_pa
3078222,us_va
3075664,us_mo
3070424,us_ny
3220603,tr
3258557,bg
3255836,at
3066225,us_il
3063800,us_nj
3059693,us_ny
3056567,us_tx
3056553,us_ny
3056414,us_ca
3037509,us_ca
3036784,us_wa
3027423,us_al
2274989,us_fl
48139,jp
49614,us_il
49364,us_ia
47919,us_il
3129090,us_ny
3128967,us_ny
3128924,us_ca
3128874,us_ma
3128538,us_ma
3128548,us_fl
3128510,us_tx
3128513,us_tx
3128274,us_il
3037583,us_sc
3107741,us_co
3106911,us_nv
3100107,us_mo
3092593,us_pa
3092457,us_il
3091750,us_pa
