oc_jurisdiction_code;oc_company_number;inc_jurisdiction_code;wikirate_number;company_name
se;556563-4861;se;47758;SEB
au;169448220;au;56294;ANZ
ca_qc;1161018453;ca_qc;51677;Arganat Inc.
sg;199904785Z;sg;16297;Wilmar International
es;08055741;es;47963;Mapfre
au;106168129;au;55056;Sasy n Savy
fr;542107651;fr;1182742;Engie
fi;2534127-4;fi;2729579;Caverion Corporation
ch;916528;ch;2638068;Chubb Corp
sg;201505572G;sg;856255;Broadcom Corporation
ie;466385;ie;48150;Covidien
mx;2450654;mx;57147;Grupo Mexico
th;0107536000315;th;48385;Kasikornbank
fr;442646808;fr;48610;Scor
th;0105487000122;th;57445;Bangkok Bank
gb;06722436;gb;48654;Resolution
hk;0002119;hk;57465;Wheelock & Co
th;0105509000804;th;57545;Krung Thai Bank
fr;531485522;fr;48825;Valeo
hk;1024905;hk;57589;SJM Holdings
fr;709802094;fr;48894;Eiffage
ch;1048331;ch;49100;Pentair
in;CNRB;in;57734;Canara Bank
gb;03841811;gb;49153;Antofagasta
gb;03909886;gb;49175;Schroders
ch;301383;ch;49248;SGS
au;007550923;au;2603983;Santos Limited
ch;892722;ch;57994;Noble
us_tx;0802119636;us_de;49607;Crown Castle International
th;0105488000061;th;58147;Bank of Ayudhya
fr;433064474;fr;50028;Gecina
in;SYNB;in;58387;Syndicate Bank
au;125709953;au;58399;Crown Resorts
ca;9297804;ca;58568;Fortis (Canada)
gb;SC187227;gb;58580;Weir Group
za;1985-002935-06;za;50422;Aspen Pharmacare Holdings
hk;0000445;hk;50697;Chinese Estates
gb;03919249;gb;58838;Tullow Oil
ie;79313;ie;50763;DCC
in;CORP;in;58866;Corporation Bank
za;1987-005115-06;za;58882;RMB Holdings
hk;0005929;hk;58906;Wing Hang Bank
ch;219753;ch;58982;Luzerner Kantonalbank
ca_qc;1142508317;ca_qc;50543;Atco
fr;800416653;fr;51085;Icade
gb;07248698;gb;59010;Dixons Retail
hk;1602655;hk;49625;ZTE Corporation
au;136740102;au;61119;Zuii Organic
gb;04610745;gb;55407;Studio 10
ch;905160;ch;51020;Aryzta
us_ma;043299869;us_ma;54914;Recycline
us_ca;C3348002;us_ca;55843;Waxelene
us_tx;0800047907;us_tx;52374;Clientele
us_al;887-613;us_de;863841;ADTRAN
us_fl;P09000090111;us_fl;55503;Swipes
ch;405151;ch;59070;Valiant Holding
es;58781402;es;2806009;Torraspapel S.A.
es;22100358;es;2667979;Javierre, S.L.
fr;423745371;fr;2153193;Air France
gb;00604574;gb;2631102;Barratt Developments
gb;02231246;gb;2618111;The Sage Group PLC
fr;318610623;fr;2615908;Mazars
au;074120148;au;2611980;Natio Pty Ltd
gb;05139966;gb;56165;Visa
hk;0024096;hk;48332;Cheung Kong Holdings
ca;10256161;ca;52682;DRUIDE
au;169397184;au;51429;Aesop
au;063371068;au;53052;Fudge
lu;B135296;lu;2631006;Altice
nl;24075969;nl;51119;Vopak
fi;0114162-2;fi;170611;Stockmann Oyj Abp
nz;380357;nz;170741;Auckland International Airport
au;128993135;au;53793;Little Innoscents
gb;01283512;gb;2804088;BancTec Ltd
pk;0024247;pk;2804122;Seri Sugar Mills Ltd
bd;C-32279;bd;2624222;GMG Airlines
fr;062501275;fr;2624225;Amer Sports Corporation
