Designer,Title,Company 1,Company 2,Year,Value,Source
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,ASIAN FABRICX PRIVATE LIMITED; M&#47;S,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,DAKOTA IND. CO. LTD.,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,ZHEJIANG ZHONGDA NEWTEX CO LTD,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Suzhou Licheng Silk Co.Ltd,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,KunShan Newwide,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,C SITE TRADING CO . LTD,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Siris- Huashen Textile Co. Ltd.,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Foshan sanshui Takhingshing Textile Co.Ltd,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,SHANGHAI DONGLONG FEATHER MANUFACTURE CO.LTD.,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,BALMID ASIA LTD,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,FIRST STEPS BABYWEAR PVT LTD,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Fuzhou Spring Investment Corp. Limited,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Zhongshan DongCheng hardware and plastic industry Co. Ltd,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Seet Kamal International,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
