company,year,report_type,source,title
DAI Global LLC,2017,Modern Slavery Statement,https://www.dai.com/uploads/Modern%20Day%20Slavery%20and%20Anti-Human%20Trafficking%20Statement.pdf,DAI Global - MSA statement 2017,
AB Agri Ltd,2016,Modern Slavery Statement,https://www.abagri.com/ABAgriCorporate/files/70/7083f618-7c4e-4521-b98c-e34a66bafec3.pdf,AB Agri  Modern Slavery Statement 2016,
America Fujikura Ltd (AFL),2016,Modern Slavery Statement,https://www.aflglobal.com/productionFiles/resources/EHS/AFL-Slavery-and-Human-Trafficking-Statement-FY2016.aspx,America Fujikura - MSA statement 2016,
AO World,2017,Modern Slavery Statement,http://ao.com/corporate/responsibility/modern-slavery-statement/,AO World - MSA statement 2017,
Arval UK Group Ltd,2017,Modern Slavery Statement,https://www.arval.co.uk/sites/uk/files/media/documents/legal/arval-modern-slavery-statement.pdf,Arval UK Group - MSA statement 2017,
Axalta UK,2016,Modern Slavery Statement,https://www.axaltacs.com/corporate/en_US/about-axalta/the-modern-slavery-act-disclosure-statement.print.pdf,Axalta - MSA statement 2016,
"Bain & Company, Inc.",2017,Modern Slavery Statement,http://www.bain.com/anti-slavery-statement.aspx,Bain & Company Inc - MSA statement 2017,
Berkeley Group Holdings,2016,Modern Slavery Statement,https://www.berkeleygroup.co.uk/modern-slavery-statement,Berkeley Group - MSA statement 2016,
BNP Paribas Group,2017,Modern Slavery Statement,https://group.bnpparibas/uploads/file/msa_statement_2016_20170523.pdf,BNP Paribas Group - MSA statement 2017,
Bose Limited,2017,Modern Slavery Statement,https://www.bose.co.uk/en_gb/support/tisc_statement.html.html,Bose Limited - MSA statement 2017,
Bridge of Weir Leather Company,2016,Modern Slavery Statement,http://www.bowleather.com/Heritage/Governance.aspx,Bridge of Weir Leather - MSA statement 2016,
BrightHouse,2016,Modern Slavery Statement,https://www.brighthousegroup.co.uk/our-responsibilities/corporate-social-responsibility/modern-day-slavery-statement/,BrightHouse - MSA statement 2016,
Brookfield Multiplex Pty Ltd,2017,Modern Slavery Statement,https://www.multiplex.global/wp-content/uploads/2017/06/Multiplex-Modern-Slavery-and-Human-Trafficking-Statement-2016.pdf,Brookfield Multiplex Pty - MSA statement 2017,
Crest Nicholson PLC,2017,Modern Slavery Statement,https://www.crestnicholson.com/~/media/about%20us/new%20about%20us/policies/modern%20slavery%20statement_final.pdf?la=en,Crest Nicholson - MSA statement 2017,
Daikin Chemical Europe GmbH,2016,Modern Slavery Statement,https://www.daikinchem.de/downloads/20160922-dce_slavery_and_human_trafficking_statement.pdf,Daikin Chemical Europe - MSA statement 2016,
ED&F Man Group,2017,Modern Slavery Statement,http://www.edfman.com/corporate-social-responsibility/modern-slavery-act,ED & F Man Group - MSA statement 2017,
Edmundson Electrical Limited,2016,Modern Slavery Statement,http://www.edmundson-electrical.co.uk/files/Modern%20Day%20Slavery%20and%20Human%20Trafficking%20Policy%20Statement.pdf,Edmundson Electrical Ltd - MSA statement 2016,
Elliott Group Limited,2016,Modern Slavery Statement,https://www.elliottuk.com/2016/12/elliott-issues-modern-slavery-compliance-statement/,Elliott Group - MSA statement 2016,
EMC Corp,2016,Modern Slavery Statement,https://uk.emc.com/corporate/sustainability/supply-chain/slavery-and-human-trafficking.htm,EMC - MSA statement 2016,
Estee Lauder Cosmetics Limited,2017,Modern Slavery Statement,http://www.esteelauder.co.uk/corporate-statements,Estee Lauder Cosmetics Ltd - MSA statement 2017,
Export-Import Bank of India,2016,Modern Slavery Statement,https://www.eximbankindia.in/assets/pdf/public-declarations/anti-slavery-act-2017.pdf,Export - Import Bank of India - MSA statement 2016,
Ferrero UK Limited,2017,Modern Slavery Statement,https://s3-eu-west-1.amazonaws.com/ferrero-static/globalcms/documenti/2658.pdf,Ferrero UK Ltd - MSA statement 2017,
Florette UK & Ireland Ltd,2017,Modern Slavery Statement,https://www.florettesalad.co.uk/modern-slavery-statement,Florette UK & Ireland Ltd - MSA statement 2017,
Fred Perry Ltd,2016,Modern Slavery Statement,https://d1yk18ot3qjyqd.cloudfront.net/skin/frontend/fredperry-rwd/default/pdf/FP_statement_modern_slavery_statement.pdf,Fred Perry - MSA statement 2016,
Freeman,2017,Modern Slavery Statement,http://www.freeman-emea.com/modern-slavery-act,Freeman - MSA statement 2017,
"FUJIFILM DIMATIX, INC",2016,Modern Slavery Statement,https://www.fujifilmusa.com/products/industrial_inkjet_printheads/pdf/FDMX_MSA_Statement.pdf,Fujifilm Dimatix - MSA statement 2016,
"FUJIFILM SonoSite, Inc.",2016,Modern Slavery Statement,http://www.sonosite.com/modern-slavery-act-statement,Fujifilm SonoSite - MSA statement 2016,
Futures Housing Group,2016,Modern Slavery Statement,http://futureshg.co.uk/wp-content/uploads/2016/04/Modern-Slavery-Statement.pdf,Future Housing Group - MSA statement 2016,
GAME Digital,2016,Modern Slavery Statement,http://www.gamedigitalplc.com/investor-relations/modern-slavery-act-statement.aspx,Game Digital - MSA statement 2016,
Globus Group,2016,Modern Slavery Statement,http://www.riley-eyewear.com/assets/files/Globus%20Group_Slavey%20and%20Human%20Trafficking%20Statement-201609.pdf,Globus Group - MSA statement 2016,
Hackett Limited,2017,Modern Slavery Statement,https://www.hackett.com/gb/legal-cookies?uk-modern-slavery-act/,Hackett Ltd - MSA statement 2017,
Harley-Davidson Europe Ltd.,2017,Modern Slavery Statement,https://www.harley-davidson.com/content/dam/h-d/documents/company/hd-modern-slavery-statement-16-uk.pdf,Harley Davidson Europe Ltd - MSA statement 2017,
Harvey Nichols Group,2017,Modern Slavery Statement,http://www.harveynichols.com/about/corporate-responsibility/modern-slavery-statement/,Harvey Nichols Group - MSA statement 2017,
Heart of England Co-operative Society Ltd,2017,Modern Slavery Statement,http://www.heartofengland.coop/wp-content/uploads/2017/03/Statement-under-the-Modern-Slavery-Act-2015.pdf,Heart of England Cooperative Society - MSA statement 2017,
Heineken UK Limited,2016,Modern Slavery Statement,https://www.heineken.co.uk/uploads/legal-notices/Slavery%20and%20Human%20Trafficking%20Statement%20-%20Financial%20Year%20Ending%202016.pdf,Heineken UK - MSA statement 2016,
Henry Boot,2016,Modern Slavery Statement,https://www.henrybootdevelopments.co.uk/new-joint-venture-partnership-undertake-knowsley-mixed-use-development/,Henry Boot - MSA statement 2016,
Hitachi High-Technologies Europe GmbH,2016,Modern Slavery Statement,http://www.hitachi-hightech.com/file/eu/pdf/about/statement/modern_slavery_act.pdf,Hitachi High-Technologies Europe - MSA statement 2016,
Honda Motor Europe Limited,2016,Modern Slavery Statement,http://www.honda.co.uk/content/dam/local/uk/hosted-files/modern-slavery-signed-statement.pdf,Honda Motor Europe - MSA statement 2016,
Ideal Boilers,2016,Modern Slavery Statement,https://idealboilers.com/installer/wp-content/uploads/sites/3/2016/10/Modern_Slavery_Statement_07-2016.pdf,Ideal Boilers - MSA statement 2016,
Ideal Industries Inc,2016,Modern Slavery Statement,https://www.idealind.com/content/pdfs/policies/slavery-and-human-trafficking-statement-modern-slavery-act-of-2015.pdf,Ideal Industries - MSA statement 2016,
Imperial Brands plc,2016,Modern Slavery Statement,http://www.imperialbrandsplc.com/content/dam/imperial-brands/corporate/responsibility/human-rights/Modern%20Slavery%20Act%20Transparency%20Statement.pdf,Imperial Brands - MSA statement 2016,
J O Sims Ltd,2016,Modern Slavery Statement,http://www.josims.com/downloads/slavery&humantraffickingpolicy.pdf,J O Sims - MSA statement 2016,
James Finlay Limited,2017,Modern Slavery Statement,http://www.finlays.net/statement-on-slavery-and-human-trafficking/,James Finlay Ltd - MSA statement 2017,
K+S Aktiengesellschaft,2017,Modern Slavery Statement,https://www.k-plus-s.com/en/pdf/2017/modern-slavery-act.pdf,K+S Aktiengesellschaft - MSA statement 2017,
Konica Minolta Business Solutions Europe GmbH,2016,Modern Slavery Statement,https://www.konicaminolta.eu/fileadmin/content/eu/Business_Solutions/Company/CSR/UK_Modern_Slavery_Act_California_Supply_Chain_Act_FY2015_16.pdf,Konica Minolta Business Solutions - MSA statement 2016,
Kroll Inc,2017,Modern Slavery Statement,http://www.kroll.com/en-us/modern-slavery-statement,Kroll Inc - MSA statement 2017,
Luxottica Retail UK Limited,2017,Modern Slavery Statement,https://www.davidclulow.com/modern-slavery-act-statement/,Luxottica Retail UK - MSA statement 2017,
Machine Mart Ltd,2017,Modern Slavery Statement,https://www.machinemart.co.uk/media/1680/modernslaveryactstatement_final2016.pdf,Machine Mart - MSA statement 2017,
Mercedes Benz UK Ltd,2016,Modern Slavery Statement,https://www.mercedes-benz.co.uk/content/unitedkingdom/mpc/mpc_unitedkingdom_website/en/home_mpc/slavery-act.ngrb.html,Mercedes Benz UK Ltd - MSA statement 2016,
Michael Kors (UK) Ltd,2016,Modern Slavery Statement,http://investors.michaelkors.com/resources/supply-chain-disclosure/default.aspx,Michael Kors UK - MSA statement 2016,
Midland Foods Ltd,2017,Modern Slavery Statement,https://www.midlandfoods.co.uk/slavery-and-human-trafficking.html,Midland Foods - MSA statement 2017,
Miller Homes Group (UK) Limited (The),2017,Modern Slavery Statement,https://www.millerhomes.co.uk/corporate/about-us/modern-slavery-statement-2017.aspx,Miller Homes Group UK - MSA statement 2017,
"Minor, Weir & Willis Ltd",2016,Modern Slavery Statement,http://www.mww.co.uk/Slavery-and-Human-Trafficking-Statement.html,"Minor, Weir & Willis Ltd - MSA statement 2016",
Noble Foods Ltd,2017,Modern Slavery Statement,https://noblefoods.co.uk/assets/PDFs/modern-slavery-statement.pdf,Noble Foods - MSA statement 2017,
Nomura Asset Management UK Limited,2017,Modern Slavery Statement,http://www.nomuraholdings.com/company/group/europe/pdf/nam.pdf,Nomura Asset Management UK - MSA statement 2017,
OFFICE Holdings Ltd,2017,Modern Slavery Statement,http://www.office.co.uk/view/content/ModernSlaveryAct,Office Holdings - MSA statement 2017,
Omega plc,2016,Modern Slavery Statement,http://www.omegaplc.co.uk/modern-slavery,Omega plc - MSA statement 2016,
OP Chocolate Ltd,2017,Modern Slavery Statement,http://www.opchocolate.com/modern-slavery-statement/,OP Chocolate - MSA statement 2017,
Oracle Corporation UK Limited,2016,Modern Slavery Statement,https://www.oracle.com/assets/modernslaverypolicystatementuk-3115011.pdf,Oracle Corp UK - MSA statement 2016,
Pentland Brands Ltd,2017,Modern Slavery Statement,http://www.pentland.com/downloads/modern-slavery/Pentland-Modern-Slavery-Report.pdf,Pentland Brands - MSA statement 2017,
Peoples Cars Ltd,2017,Modern Slavery Statement,http://www.peoplescars.co.uk/about-us/peoples-modern-slavery-statement/,Peoples Cars - MSA statement 2017,
Perry Ellis Europe Limited,2017,Modern Slavery Statement,https://www.originalpenguin.co.uk/modern-slavery-act.html,Perry Ellis Europe - MSA statement 2017,
Pioneer Europe NV,2016,Modern Slavery Statement,http://www.pioneer-car.eu/uk/modern-slavery-act,Pioneer Europe - MSA statement 2016,
Primark,2017,Modern Slavery Statement,https://www.primark.com/~/media/ourethics/modern-slavery-act/primark-msa-statement.ashx?la=en,Primark Stores - MSA statement 2017,
Quantum Clothing Group LtdÂ ,2017,Modern Slavery Statement,http://www.quantumclothing.com/modern-slavery/,Quantum Clothing Group - MSA statement 2017,
R&H Hall Ltd,2017,Modern Slavery Statement,https://www.rhhall.ie/wp-content/uploads/2017/02/Modern-Slavery-Human-Trafficking-Statement.pdf,R&H Hall - MSA statement 2017,
Renault UK Limited,2017,Modern Slavery Statement,https://www.renault.co.uk/modern-slavery-act.html,Renault UK - MSA statement 2017,
Reynolds Catering Supplies Ltd,2016,Modern Slavery Statement,https://www.reynolds-cs.com/modern-slavery-act-transparency-statement,Reynolds Catering Supplies - MSA statement 2016,
Roper Rhodes Ltd,2017,Modern Slavery Statement,http://www.roperrhodes.co.uk/wp-content/uploads/2017/03/130317-al-RR-modern-slavery-statement-march-2017-v01.pdf,Roper Rhodes - MSA statement 2017,
Rothschild & Co Group,2017,Modern Slavery Statement,https://www.rothschild.com/,Rothschild & Co Group - MSA statement 2017,
Scottish Midland Co-operative Society Ltd,2017,Modern Slavery Statement,https://www.scotmid.coop/about-us/values-and-principles/modern-slavery-statement/,Scottish Midland Cooperative Society - MSA statement 2017,
Seafood Holdings Limited,2017,Modern Slavery Statement,http://www.directseafoods.co.uk/about/slavery,Seafood Holdings Ltd - MSA statement 2017,
Shepherd Neame Limited,2016,Modern Slavery Statement,https://www.shepherdneame.co.uk/slavery-statement,Shepherd Neame Ltd - MSA statement 2016,
Southern Co-operative Limited (The),2017,Modern Slavery Statement,http://www.thesouthernco-operative.co.uk/wp-content/uploads/2017/05/Southern-Co-op-Modern-Slavery-Statement-2017.pdf,Southern Cooperative Ltd - MSA statement 2017,
"Square Enix Holdings Co, Ltd",2017,Modern Slavery Statement,http://www.hd.square-enix.com/eng/company/pdf/philosophy_20170501en.pdf,Square Enix Holdings - MSA statement 2017,
State Oil Limited,2017,Modern Slavery Statement,http://www.harvestenergy.co.uk/slavery-human-trafficking-statement/,State Oil Ltd - MSA statement 2017,
Sumitomo Corporation Europe Limited,2017,Modern Slavery Statement,http://www.sumitomocorpeurope.com/file/SCEU%20MSA%20Statement.pdf,Sumitomo Corp Europe - MSA statement 2017,
Sutherland Global Services Inc.,2017,Modern Slavery Statement,https://www.sutherlandglobal.com/-/media/sutherland/files/modern-slavery-act-statement.pdf?la=en&hash=B27F108198D44D44ED0ECBE510265F8B6A91D930,Sutherland Global Services - MSA statement 2017,
