company,year,report_type,source,title
Gardner Denver,2017,Modern Slavery Statement,http://www.gardnerdenver.com/company/corporate_responsibility/transparency_in_supply_chains_anti_slavery_and_human_trafficking_statement/,Gardner Denver Inc - MSA statement 2017,
IC Group AS,2017,Modern Slavery Statement,http://1ij5r73z81m72a9uqy1agofi.wpengine.netdna-cdn.com/wp-content/uploads/Transparency_in_Supply_Chains_Statement_2016.pdf,IC Group - MSA statement 2017,
Idemitsu Kosan,2017,Modern Slavery Statement,http://www.idemitsu.com/content/100797498.pdf,Idemitsu Kosan - MSA statement 2017,
Illinois Tool Works,2017,Modern Slavery Statement,http://investor.itw.com/~/media/Files/I/ITW-IR/documents/anti-human-trafficking-disclosures.pdf,Illinois Tool Works Inc - MSA statement 2017,
Inchcape,2017,Modern Slavery Statement,http://www.inchcape.com/en/responsibility/modern-slavery-statement.html,Inchcape - MSA statement 2017,
Infineon Technologies,2017,Modern Slavery Statement,https://www.infineon.com/dgdl/Infineon+Technologies+Slavery+and+Human+Trafficking+Statement.pdf?fileId=5546d4615affca26015b1acdcb060464,Infineon Technologies - MSA statement 2017,
Ingram Micro,2016,Modern Slavery Statement,http://www.ingramuk.com/Files/pdfs/IMUK_Modern_Slavery_Act_Statement_Public.pdf,Ingram Micro UK - MSA statement 2016,
Interpublic Group,2017,Modern Slavery Statement,http://www.mullenloweprofero.com/media/482594/modern%20slavery%20act%20-%20mlp.pdf,Interpublic Group of Companies - MSA statement 2017,
John Bean Technologies CORP,2017,Modern Slavery Statement,http://www.jbtcorporation.com/en/Misc/CA%20Supply%20Chain%20Act%20and%20UK%20Modern%20Slavery%20Act,John Bean Technologies Corp - MSA statement 2017,
Johnson Matthey,2016,Modern Slavery Statement,http://www.matthey.com/file.axd?pointerid=56338f7d8b0c1e0d0cab9c7a,Johnson Matthey North America - MSA statement 2016,
Jones Lang LaSalle Incorporated,2017,Modern Slavery Statement,https://www.jll.com/InvestorPDFs/JLL-Modern-Slavery-Statement.pdf,Jones Lang LaSalle Inc - MSA statement 2017,
Lazare Kaplan International Inc.,2016,Modern Slavery Statement,https://www.kaplanpathways.com/modern-slavery-statement/,Kaplan International Inc - MSA statement 2016,
Kimball Electronics Inc.,2016,Modern Slavery Statement,https://www.kimballelectronics.com/docs/default-source/careers/uk-modern-slavery-act-transparency-statement.pdf,Kimball Electronics Group - MSA statement 2016,
Kimberly-Clark Corporation,2016,Modern Slavery Statement,http://www.kimberly-clark.com/sustainability1/reporting/policies/UK-CA-TraffickingStatement.aspx,Kimberly-Clark Corp - MSA statement 2016,
Koch Industries,2016,Modern Slavery Statement,http://www.kochagronomicservices.com/downloads/d1359.aspx?type=view,Koch Ag & Energy Solutions - MSA statement 2016,
Kraft Heinz Company,2016,Modern Slavery Statement,http://www.heinz.co.uk/Modern_Slavery_Statement,Kraft Heinz Foods Company - MSA statement 2016,
Kraton Corp,2017,Modern Slavery Statement,http://www.kraton.com/about/pdf/Slavery%20and%20Human%20Trafficking%20Statement.pdf,Kraton Corp - MSA statement 2017,
Krones AG,2017,Modern Slavery Statement,https://www.krones.com/en/uk-modern-slavery-act.php,Krones Group - MSA statement 2017,
Kuwait Petroleum Corp.,2016,Modern Slavery Statement,https://www.q8aviation.com/assets/files/m/modernslaverystatement_1192.pdf,Kuwait Petroleum International - MSA statement 2016,
Lam Research,2017,Modern Slavery Statement,http://www.lamresearch.com/Portals/0/PDF/LRI_Sarl_FY2016_Slavery_and_Human_Trafficking_Statement.pdf,Lam Research Institute - MSA statement 2017,
Lidl Stiftung & Co. KG,2017,Modern Slavery Statement,https://www.lidl.ie/en/Modern-Slavery-4892.htm?rdeLocaleAttr=en,Lidl Ltd - MSA statement 2017,
Lubrizol Corporation,2017,Modern Slavery Statement,https://www.lubrizol.com/en/Our-Company/About-Lubrizol/Ethics/Transparency-in-Supply-Chain,The Lubrizol Corp - MSA statement 2017,
Marubeni,2016,Modern Slavery Statement,http://www.marubeni.com/news/2016/release/data/20160930e.pdf,Marubeni Corp - MSA statement 2016,
MasterCard,2017,Modern Slavery Statement,https://www.mastercard.us/en-us/about-mastercard/corp-responsibility/social-sustainability/mastercard-modern-slavery-and-human-trafficking-statement.html,Mastercard Inc - MSA statement 2017,
Maxim Integrated Products,2017,Modern Slavery Statement,https://www.maximintegrated.com/content/dam/files/aboutus/company/california-transparency-in-supply-chains-act.pdf,Maxim Integrated - MSA statement 2017,
MAXLINEAR INC,2017,Modern Slavery Statement,http://www.maxlinear.com/corporate-social-responsibility/,Maxlinear Inc - MSA statement 2017,
Microchip Technology,2017,Modern Slavery Statement,http://ww1.microchip.com/downloads/en/DeviceDoc/Microchip%20Slavery%20and%20Human%20Trafficking%20Statement.pdf,Microchip Technology Inc - MSA statement 2017,
Micron Technology,2017,Modern Slavery Statement,https://www.micron.com/about/our-commitment/supply-chain/slavery-and-human-trafficking,Micron Technology Inc - MSA statement 2017,
Mitsubishi UFJ Financial,2017,Modern Slavery Statement,http://www.tr.mufg.jp/english/pressreleases/pdf/20160930_1.pdf,Mitsubishi UFJ Trust and Banking Corp - MSA statement 2017,
Mothercare plc,2016,Modern Slavery Statement,http://www.mothercareplc.com/~/media/Files/M/Mother-Care/documents/msa-statement-fy16-final-8-July-002.pdf,Mothercare Group - MSA statement 2016,
Motorola Solutions,2017,Modern Slavery Statement,https://www.motorolasolutions.com/content/dam/msi/docs/about-us/cr/2016_ahts_signed.pdf,Motorola Solutions - MSA statement 2017,
MS&AD Insurance,2017,Modern Slavery Statement,http://www.ms-ad-hd.com/en/csr/employee/pdf/FY2015SHTStatement_En.pdf,MS&AD Insurance Group Holdings - MSA statement 2017,
Mylan,2017,Modern Slavery Statement,https://www.mylan.com/-/media/mylancom/files/company/corporate%20governance/california-supply-chains-and-uk-slavery-acts-statement-rev-122216.pdf,Mylan NV - MSA statement 2017,
Nexen,2016,Modern Slavery Statement,http://www.nexencnoocltd.com/en/Governance/SupplierPolicies.aspx,Nexen Energy - MSA statement 2016,
Nissan Motor,2017,Modern Slavery Statement,https://www.nissan.co.uk/content/dam/Nissan/gb/services/Modern-Slavery-Statement-NMGB-FY15-16.pdf,Nissan Motor - MSA statement 2017,
Nomura Holdings,2017,Modern Slavery Statement,http://www.nomuraholdings.com/company/group/europe/pdf/nehs_nip_nbi.pdf,Nomura Europe Holdings - MSA statement 2017,
Northern Trust,2017,Modern Slavery Statement,https://www.northerntrust.com/documents/legal/uk-modern-slavery-act-2015.pdf?bc=24918605,The Northern Trust Company - MSA statement 2017,
ON Semiconductor,2017,Modern Slavery Statement,http://www.onsemi.com/site/pdf/Slavery-Human-Trafficking-Policy.pdf,ON Semiconductor Corp - MSA statement 2017,
Pernod Ricard,2016,Modern Slavery Statement,http://www.pernod-ricard-uk.com/PRUK-Anti-Slavery%20Statement.pdf,Pernod Ricard UK - MSA statement 2016,
QBE Insurance Group,2017,Modern Slavery Statement,https://qbeeurope.com/document-library/about-us/modern-slavery/modern-slavery-and-human-trafficking-statement/,QBE Insurance Group - MSA statement 2017,
Rohm,2017,Modern Slavery Statement,http://www.rohm.de/documents/4479901/a7e68f07-da92-4791-9420-cc2b2e75b6be,ROHM Semiconductor GmbH - MSA statement 2017,
Rowan Companies Inc,2017,Modern Slavery Statement,http://www.rowan.com/our-company/UK-Modern-Slavery-Statement/default.aspx,Rowan Companies - MSA statement 2017,
Royal Caribbean Cruises,2017,Modern Slavery Statement,http://www.rclcorporate.com/content/uploads/Modern-Slavery-Act-Statement-2016-FINAL-4-18-17.pdf,Royal Caribbean Cruises - MSA statement 2017,
RWE Group,2017,Modern Slavery Statement,https://www.rwe.com/web/cms/mediablob/en/3717968/data/158406/2/rwe-supply-trading/Modern-Slavery-Act-Statement.pdf,RWE Supply & Trading - MSA statement 2017,
Samsung,2017,Modern Slavery Statement,https://images.samsung.com/is/content/samsung/p5/uk/pdf/ModernSlaveryStatement.pdf,Samsung Electronics UK - MSA statement 2017,
Scottish Leather Group,2016,Modern Slavery Statement,http://www.scottishleathergroup.com/ScottishLeatherGroup/Governance.aspx,Scottisch Leather Group - MSA statement 2016,
Scottish Sea Farms,2016,Modern Slavery Statement,http://www.scottishseafarms.com/about/principles-and-approach/,Scottish Sea Farms - MSA statement 2016,
Seasalt,2016,Modern Slavery Statement,https://www.seasaltcornwall.co.uk/customer/pages/about/our-responsibilities#policies,Seasalt Ltd - MSA statement 2016,
Shop Direct Limited,2017,Modern Slavery Statement,https://www.shopdirect.com/modern-slavery-and-human-trafficking/,Shop Direct Group - MSA statement 2017,
Sports Direct,2017,Modern Slavery Statement,http://www.sportsdirectplc.com/~/media/Files/S/Sports-Direct/documents/modern-slavery-statement.pdf,Sports Direct International - MSA statement 2017,
Sumitomo Group,2017,Modern Slavery Statement,http://www.sumitomocorpeurope.com/file/SC%20Group%20Statement%20FY2015%20for%20UK%20Modern%20Slavery%20Act.pdf,Sumitomo Corp Group - MSA statement 2017,
Suntory Beverage & Food,2017,Modern Slavery Statement,https://www.lrsuntory.com/dyn/_assets/_pdfs/modern-slavery-statement.pdf,Suntory Beverage and Food Europe - MSA statement 2017,
