wikirate_company_name,wikirate_id,wikipedia_company_page
Telecom Argentina,917493,https://en.wikipedia.org/wiki/Telecom_Argentina
Grupo Arcor,974342,https://en.wikipedia.org/wiki/Grupo_Arcor
Molinos RΓ­o de la Plata,975127,https://en.wikipedia.org/wiki/Molinos_R%C3%ADo_de_la_Plata
Lend Lease Group,57902,https://en.wikipedia.org/wiki/Lend_Lease_Group
CSL,49052,https://en.wikipedia.org/wiki/CSL_Limited
Macquarie Group,57017,https://en.wikipedia.org/wiki/Macquarie_Group
Commonwealth Bank,47359,https://en.wikipedia.org/wiki/Commonwealth_Bank
Qantas Airways,58271,https://en.wikipedia.org/wiki/Qantas
Lion,975112,https://en.wikipedia.org/wiki/Lion_(Australasian_company)
AGL Energy,58263,https://en.wikipedia.org/wiki/AGL_Energy
Fortescue Metals Group,48317,https://en.wikipedia.org/wiki/Fortescue_Metals_Group
Insurance Australia Group,48562,https://en.wikipedia.org/wiki/Insurance_Australia_Group
Woodside Petroleum,48425,https://en.wikipedia.org/wiki/Woodside_Petroleum
Bank of Queensland,50811,https://en.wikipedia.org/wiki/Bank_of_Queensland
Rio Tinto,56380,https://en.wikipedia.org/wiki/Rio_Tinto_Group
Australia & New Zealand Banking Group,48271,https://en.wikipedia.org/wiki/Australia_and_New_Zealand_Banking_Group
Wesfarmers Limited,61108,https://en.wikipedia.org/wiki/Wesfarmers
Newcrest Mining,59058,https://en.wikipedia.org/wiki/Newcrest_Mining
WorleyParsons,968861,https://en.wikipedia.org/wiki/WorleyParsons
Origin Energy,48901,https://en.wikipedia.org/wiki/Origin_Energy
Coca-Cola Amatil,974309,https://en.wikipedia.org/wiki/Coca-Cola_Amatil
Telstra Corporation Limited,47687,https://en.wikipedia.org/wiki/Telstra
Brambles,49215,https://en.wikipedia.org/wiki/Brambles_Industries
Amcor,49212,https://en.wikipedia.org/wiki/Amcor
Cbus Super Fund,965776,https://en.wikipedia.org/wiki/Cbus
National Australia Bank,47409,https://en.wikipedia.org/wiki/National_Australia_Bank
Mirvac Group,170586,https://en.wikipedia.org/wiki/Mirvac_Group
Telekom Austria AG,170608,https://en.wikipedia.org/wiki/Telekom_Austria
AGRANA Group,974277,https://en.wikipedia.org/wiki/Agrana
OMV Group,56900,https://en.wikipedia.org/wiki/OMV
Erste Group Bank,57417,https://en.wikipedia.org/wiki/Erste_Group
Verbund,49463,https://en.wikipedia.org/wiki/Verbund
Vienna Insurance Group,48828,https://en.wikipedia.org/wiki/Vienna_Insurance_Group
Voestalpine,48884,https://en.wikipedia.org/wiki/Voestalpine
RZB Raiffeisen Zentralbank,967754,https://en.wikipedia.org/wiki/Raiffeisen_Zentralbank
STRABAG,50034,https://en.wikipedia.org/wiki/Strabag
Prime Bank Limited,967748,https://en.wikipedia.org/wiki/Prime_Bank_Limited
Robi Axiata Limited,917485,https://en.wikipedia.org/wiki/Robi
Colruyt,57990,https://en.wikipedia.org/wiki/Colruyt
