wikirate_id;wikirate_name;wikipedia_url
2608717;Zalando SE;http://en.wikipedia.org/wiki/Zalando
57260;Sime Darby;http://en.wikipedia.org/wiki/Sime_Darby
2608684;KT Corporation;http://en.wikipedia.org/wiki/KT_Corporation
2718547;Kangwon Land;http://en.wikipedia.org/wiki/Kangwon_Land
2736627;Santee Cooper;http://en.wikipedia.org/wiki/Santee_Cooper
2736634;Great River Energy;https://en.wikipedia.org/wiki/Great_River_Energy
2736636;Nebraska Public Power District (NPPD);https://en.wikipedia.org/wiki/Nebraska_Public_Power_District
2736612;Lower Colorado River Authority (LCRA);https://en.wikipedia.org/wiki/Lower_Colorado_River_Authority
2736616;Puerto Rico Electric Power Authority (PREPA);https://en.wikipedia.org/wiki/Puerto_Rico_Electric_Power_Authority
2736599;CPS Energy;http://en.wikipedia.org/wiki/CPS_Energy
2736060;Koch Foods;http://en.wikipedia.org/wiki/Koch_Foods
2735521;Guardian Industries;http://en.wikipedia.org/wiki/Guardian_Industries
2735512;The Chemours Company;http://en.wikipedia.org/wiki/Chemours
2729578;AVEVA Group plc;http://en.wikipedia.org/wiki/Aveva
2729577;Mitsubishi Tanabe Pharma Corporation;https://en.wikipedia.org/wiki/Mitsubishi_Tanabe_Pharma_Corporation
2729439;FirstGroup plc;https://en.wikipedia.org/wiki/FirstGroup_plc
2728218;PSA;http://en.wikipedia.org/wiki/PSA_International
2723033;Boral Limited;http://en.wikipedia.org/wiki/Boral
2723034;SAS Group;http://en.wikipedia.org/wiki/SAS_Group
2722939;Sectra AB;https://en.wikipedia.org/wiki/Sectra_AB
2722924;Mayr-Melnhof;http://en.wikipedia.org/wiki/Mayr-Melnhof
2722926;Speedy Hire plc;http://en.wikipedia.org/wiki/Speedy_Hire
2624139;Woori Bank;http://en.wikipedia.org/wiki/Woori_Bank
2720917;Doosan Infracore;https://en.wikipedia.org/wiki/Doosan_Infracore
47736;Shinhan Financial Group;https://en.wikipedia.org/wiki/Shinhan_Financial_Group
2709460;Bavaria;http://en.wikipedia.org/wiki/Bavaria_Fluggesellschaft
2703907;Calidad Pascual;http://en.wikipedia.org/wiki/Calidad_Pascual
48153;ArcelorMittal;http://en.wikipedia.org/wiki/ArcelorMittal
974291;Bavaria S.A.;http://en.wikipedia.org/wiki/Bavaria_Fluggesellschaft
50121;FCC SA;http://en.wikipedia.org/wiki/Fomento_de_Construcciones_y_Contratas
947058;Lavazza;http://en.wikipedia.org/wiki/Lavazza
2697950;Renault Argentina;http://en.wikipedia.org/wiki/Renault_Argentina
2691159;Cooper Industries;http://en.wikipedia.org/wiki/Cooper_Industries
2679086;Japan Post Insurance;http://en.wikipedia.org/wiki/Japan_Post_Insurance
968843;Sinopec-China Petroleum & Chemical;http://en.wikipedia.org/wiki/Sinopec
2674483;EVN AG;http://en.wikipedia.org/wiki/EVN_Group
48858;Alfa;http://en.wikipedia.org/wiki/ALFA_(Mexico)
917451;Axtel;http://en.wikipedia.org/wiki/Axtel
48117;Repsol;http://en.wikipedia.org/wiki/Repsol
2631012;BBVA Banco Continental;http://en.wikipedia.org/wiki/BBVA_Continental
2668019;Sociedad Estatal Correos y Telegrafos;https://en.wikipedia.org/wiki/Sociedad_Estatal_Correos_y_Telegrafos
2668001;Atento;http://en.wikipedia.org/wiki/Atento
2667181;Votorantim;http://en.wikipedia.org/wiki/Votorantim_Group
2666680;Endesa Chile;http://en.wikipedia.org/wiki/Endesa_(Chile)
2666663;CAP S.A.;https://en.wikipedia.org/wiki/CAP_S.A.
2660684;Chubb;http://en.wikipedia.org/wiki/Chubb_Limited
2660991;Sumitomo Group;http://en.wikipedia.org/wiki/Sumitomo_Corporation
10095;Barilla S.p.A.;http://en.wikipedia.org/wiki/Barilla_Group
2660990;Hang Lung Properties;http://en.wikipedia.org/wiki/Hang_Lung_Properties
2660682;Nikon Corporation;http://en.wikipedia.org/wiki/Nikon
2660554;Sara Lee Corporation;http://en.wikipedia.org/wiki/Sara_Lee_Corporation
2660539;Swedish Match AB;http://en.wikipedia.org/wiki/Swedish_Match
2659628;Grupo Santander;https://en.wikipedia.org/wiki/Grupo_Santander
2659612;Anas;http://en.wikipedia.org/wiki/ANAS
2659592;Grupo Lala;http://en.wikipedia.org/wiki/Grupo_Lala
2659589;Armor;http://en.wikipedia.org/wiki/Armor_Games
2657584;American University;https://en.wikipedia.org/wiki/American_University
2657586;Colby College;https://en.wikipedia.org/wiki/Colby_College
2657588;Dartmouth College;https://en.wikipedia.org/wiki/Dartmouth_College
2657590;Gettysburg College;https://en.wikipedia.org/wiki/Gettysburg_College
2657592;Marywood University;https://en.wikipedia.org/wiki/Marywood_University
2657595;Syracuse University;http://en.wikipedia.org/wiki/Syracuse_University_Press
2657596;Union College;https://en.wikipedia.org/wiki/Union_College
2657602;Iowa State University;https://en.wikipedia.org/wiki/Iowa_State_University
2657604;University of Utah;http://en.wikipedia.org/wiki/University_of_Utah_Press
2657608;Vanderbilt University;https://en.wikipedia.org/wiki/Vanderbilt_University
2657609;Wellesley College;https://en.wikipedia.org/wiki/Wellesley_College
2651464;US Foods;http://en.wikipedia.org/wiki/US_Foods
2604017;BE Aerospace;https://en.wikipedia.org/wiki/BE_Aerospace
2648725;Erie Insurance Group;http://en.wikipedia.org/wiki/Erie_Insurance_Group
2647822;Mutual of Omaha;http://en.wikipedia.org/wiki/Mutual_of_Omaha
2647826;Dynegy Inc;http://en.wikipedia.org/wiki/Dynegy
2647813;Xoom Corporation;http://en.wikipedia.org/wiki/Xoom_Corporation
2647814;SunEdison Inc;http://en.wikipedia.org/wiki/SunEdison
2647796;United Services Automobile Association (USAA);http://en.wikipedia.org/wiki/USAA
2647791;Kraft Heinz Company;http://en.wikipedia.org/wiki/Kraft_Heinz
2647794;True Value Company;http://en.wikipedia.org/wiki/True_Value
2647778;Seaboard Corporation;http://en.wikipedia.org/wiki/Seaboard_Corporation
2647783;State Farm Mutual Automobile Insurance Company;https://en.wikipedia.org/wiki/State_Farm_Mutual_Automobile_Insurance_Company
2647753;Penn Mutual Life Insurance Company;http://en.wikipedia.org/wiki/Penn_Mutual
2647736;MACOM Technology Solutions;https://en.wikipedia.org/wiki/MACOM_Technology_Solutions
2647741;Navient Corporation;http://en.wikipedia.org/wiki/Navient_Corporation
2647744;New York Life Insurance Company (NYLIC);http://en.wikipedia.org/wiki/New_York_Life_Insurance_Company
2647723;Icahn Enterprises;http://en.wikipedia.org/wiki/Icahn_Enterprises
2647731;Kemper Corporation;http://en.wikipedia.org/wiki/Kemper_Corporation
2647732;Land O'Lakes Inc;http://en.wikipedia.org/wiki/Land_O'Lakes
2647261;Expedia Inc;http://en.wikipedia.org/wiki/Expedia,_Inc.
2647268;FM Global;https://en.wikipedia.org/wiki/FM_Global
2647271;Eastern Bank;http://en.wikipedia.org/wiki/Eastern_Bank
2647256;Entravision Communications Corporation;http://en.wikipedia.org/wiki/Entravision_Communications
2642694;Garmin Ltd;http://en.wikipedia.org/wiki/Garmin
2638336;CITIC Limited;http://en.wikipedia.org/wiki/CITIC_Group
2638323;Hyundai Corporation;http://en.wikipedia.org/wiki/Hyundai
2638314;Yahoo Japan Corp;http://en.wikipedia.org/wiki/Yahoo!_Japan
2624287;HP Inc;http://en.wikipedia.org/wiki/HP_Inc.
2638069;Valeant Pharmaceuticals International Inc (US);http://en.wikipedia.org/wiki/Valeant_Pharmaceuticals
2638068;Chubb Corp;https://en.wikipedia.org/wiki/Chubb_Corp
2637951;RioCan Real Estate Investment Trust;http://en.wikipedia.org/wiki/RioCan_Real_Estate_Investment_Trust
2637940;BTG Pactual;http://en.wikipedia.org/wiki/BTG_Pactual
2637748;Hon Hai Precision Industry Co;http://en.wikipedia.org/wiki/Foxconn
2637752;HP Autonomy;http://en.wikipedia.org/wiki/HP_Autonomy
2637744;Jardine Cycle and Carriage Limited;http://en.wikipedia.org/wiki/Jardine_Cycle_&_Carriage
2637746;Skype Technologies;http://en.wikipedia.org/wiki/Skype_Technologies
2637601;Housing Development Finance Corporation;http://en.wikipedia.org/wiki/Housing_Development_Finance_Corporation
2637595;Inbursa;http://en.wikipedia.org/wiki/Inbursa
2637528;JS Group;http://en.wikipedia.org/wiki/JS_Group
2637514;Jardine Strategic Holdings Limited;https://en.wikipedia.org/wiki/Jardine_Strategic_Holdings_Limited
2637367;Straumann;http://en.wikipedia.org/wiki/Straumann
2637360;Halma plc;http://en.wikipedia.org/wiki/Halma_plc
2637344;Hays plc;http://en.wikipedia.org/wiki/Hays_plc
2637323;X5 Retail (Netherlands);https://en.wikipedia.org/wiki/X5_Retail
2632997;Bumi Armada Berhad;http://en.wikipedia.org/wiki/Bumi_Armada
2632956;GlaxoSmithKline Pharmaceuticals Ltd;http://en.wikipedia.org/wiki/GlaxoSmithKline_Pharmaceuticals_Ltd
2632414;Veritiv Corporation;https://en.wikipedia.org/wiki/Veritiv_Corporation
2632418;Cepheid Inc;http://en.wikipedia.org/wiki/Cepheid_Inc
2632429;Jefferies Group LLC;http://en.wikipedia.org/wiki/Jefferies_Group
2632308;Tailored Brands Inc;http://en.wikipedia.org/wiki/MW_Tux
2632314;Sentry Insurance Group;http://en.wikipedia.org/wiki/Sentry_Insurance
2632335;Orbital ATK Inc;http://en.wikipedia.org/wiki/Orbital_ATK
2632338;Core-Mark Holding Company Inc;http://en.wikipedia.org/wiki/Core-Mark
2632340;8x8 Inc;http://en.wikipedia.org/wiki/8x8
2632360;IAC/InterActiveCorp;http://en.wikipedia.org/wiki/IAC_(company)
2632370;Lazard Ltd;http://en.wikipedia.org/wiki/Lazard
2632375;AAR Corporation;https://en.wikipedia.org/wiki/AAR_Corporation
2632382;Biota Pharmaceuticals;https://en.wikipedia.org/wiki/Biota_Pharmaceuticals
2632392;Dentsply Sirona Inc;http://en.wikipedia.org/wiki/Dentsply
2632231;Spire;http://en.wikipedia.org/wiki/Spire_(social_networking_service)
2632271;Change Healthcare Holdings Inc;http://en.wikipedia.org/wiki/Emdeon
2632281;National Life Group;http://en.wikipedia.org/wiki/National_Life_Group
2632282;Air Lease Corporation;http://en.wikipedia.org/wiki/Air_Lease_Corporation
2632160;The Guardian Life Insurance Company of America;http://en.wikipedia.org/wiki/Guardian_Life_Insurance_Company_of_America
1831803;Walk Free Foundation;https://en.wikipedia.org/wiki/Walk_Free_Foundation
2631023;Banca MPS;https://en.wikipedia.org/wiki/Banca_MPS
2631034;Grupo Pao de Acucar;https://en.wikipedia.org/wiki/Grupo_Pao_de_Acucar
2631038;NetDragon Websoft;http://en.wikipedia.org/wiki/Netdragon
2631043;Goodman Group;http://en.wikipedia.org/wiki/Goodman_Group
2631045;Heilan Home;http://en.wikipedia.org/wiki/Heilan_Home
2631048;WH Group;https://en.wikipedia.org/wiki/WH_Group
2631052;Joint Stock Commercial Bank for Foreign Trade of Vietnam;http://en.wikipedia.org/wiki/Joint_Stock_Commercial_Bank_for_Foreign_Trade_of_Vietnam
2631053;Everbright Securities;http://en.wikipedia.org/wiki/Everbright_Securities
2631055;St James's Place;http://en.wikipedia.org/wiki/St._James's_Place_plc
2631056;Kerry Properties;http://en.wikipedia.org/wiki/Kerry_Properties
2631062;Manila Electric;https://en.wikipedia.org/wiki/Manila_Electric
2631068;Banco BPI;https://en.wikipedia.org/wiki/Banco_BPI
2631073;Lens Technology;https://en.wikipedia.org/wiki/Lens_Technology
2631077;Persimmon;http://en.wikipedia.org/wiki/Persimmon_plc
2631080;Scentre Group;http://en.wikipedia.org/wiki/Scentre_Group
2631081;Moscow Exchange;https://en.wikipedia.org/wiki/Moscow_Exchange
2631083;Changjiang Securities;http://en.wikipedia.org/wiki/Changjiang_Securities
2631084;Cheil Industries;http://en.wikipedia.org/wiki/Cheil_Industries
2631086;BAIC Motor;http://en.wikipedia.org/wiki/BAIC_Group
2631092;Daewoo Securities;https://en.wikipedia.org/wiki/Daewoo_Securities
2631095;Deutsche Wohnen;https://en.wikipedia.org/wiki/Deutsche_Wohnen
2631097;Dixons Carphone;http://en.wikipedia.org/wiki/Dixons_Carphone
2631099;Nippon Paint;http://en.wikipedia.org/wiki/Nippon_Paint
2631101;Ashtead Group;http://en.wikipedia.org/wiki/Ashtead_Group
2631102;Barratt Developments;http://en.wikipedia.org/wiki/Barratt_Developments
2631103;APA Group;https://en.wikipedia.org/wiki/APA_Group
2631001;Oceanwide Holdings;https://en.wikipedia.org/wiki/Oceanwide_Holdings
2631005;Shengjing Bank;http://en.wikipedia.org/wiki/Shengjing_Bank
2631006;Altice;http://en.wikipedia.org/wiki/Altice_(company)
2631007;3i Group;http://en.wikipedia.org/wiki/3i
2631010;Nippon Meat Packers;http://en.wikipedia.org/wiki/Nippon_Ham
2631011;Copel;http://en.wikipedia.org/wiki/Copel
2631014;Saudi Electricity;http://en.wikipedia.org/wiki/Saudi_Electricity_Company
2630521;Orient Securities;https://en.wikipedia.org/wiki/Orient_Securities
2630514;Derwent London;http://en.wikipedia.org/wiki/Derwent_London
2630508;NOK Corporation;http://en.wikipedia.org/wiki/Nok_Nok_Labs
2632359;DTS Inc;http://en.wikipedia.org/wiki/DTS_(sound_system)
2630507;Petronas Dagangan;https://en.wikipedia.org/wiki/Petronas_Dagangan
2626527;University of Dayton;https://en.wikipedia.org/wiki/University_of_Dayton
2626528;College of Charleston;https://en.wikipedia.org/wiki/College_of_Charleston
2626530;Colgate University;https://en.wikipedia.org/wiki/Colgate_University
2626543;Denison University;https://en.wikipedia.org/wiki/Denison_University
2626544;Duke University;http://en.wikipedia.org/wiki/Duke_University_Press
2626547;Phillips Academy;https://en.wikipedia.org/wiki/Phillips_Academy
2626553;Elon University;https://en.wikipedia.org/wiki/Elon_University
2626554;Emory University;https://en.wikipedia.org/wiki/Emory_University
2626440;SUNY Albany;https://en.wikipedia.org/wiki/SUNY_Albany
2626442;Bowdoin College;https://en.wikipedia.org/wiki/Bowdoin_College
2626447;Boston University;https://en.wikipedia.org/wiki/Boston_University
2626449;Brown University;https://en.wikipedia.org/wiki/Brown_University
2626450;Baylor University;https://en.wikipedia.org/wiki/Baylor_University
2626457;Boston College;https://en.wikipedia.org/wiki/Boston_College
2626458;Xavier University;https://en.wikipedia.org/wiki/Xavier_University
2626460;Yale University;http://en.wikipedia.org/wiki/Yale_University_Press
2626464;York University;https://en.wikipedia.org/wiki/York_University
2626466;Mount Holyoke College;https://en.wikipedia.org/wiki/Mount_Holyoke_College
2626467;University of Vermont;https://en.wikipedia.org/wiki/University_of_Vermont
2626469;Villanova University;https://en.wikipedia.org/wiki/Villanova_University
2626471;Vassar College;https://en.wikipedia.org/wiki/Vassar_College
2626472;St Michael's College;https://en.wikipedia.org/wiki/St_Michael%27s_College
2626475;Utah State University;https://en.wikipedia.org/wiki/Utah_State_University
2626478;University of Wyoming;https://en.wikipedia.org/wiki/University_of_Wyoming
2626485;Keene State College;https://en.wikipedia.org/wiki/Keene_State_College
2626489;Neumann University;https://en.wikipedia.org/wiki/Neumann_University
2626490;Tufts University;https://en.wikipedia.org/wiki/Tufts_University
2626493;Seton Hall University;https://en.wikipedia.org/wiki/Seton_Hall_University
2626494;Rutgers University;http://en.wikipedia.org/wiki/Rutgers_University_Press
2626498;St John's University;https://en.wikipedia.org/wiki/St_John%27s_University
2626502;NYU Stern Center for Business and Human Rights;https://en.wikipedia.org/wiki/NYU_Stern_Center_for_Business_and_Human_Rights
2626507;Seattle University;https://en.wikipedia.org/wiki/Seattle_University
2626514;Fairfield University;https://en.wikipedia.org/wiki/Fairfield_University
2626515;Creighton University;https://en.wikipedia.org/wiki/Creighton_University
2626517;Cornell University;http://en.wikipedia.org/wiki/Cornell_University_Press
2626519;Concordia University;https://en.wikipedia.org/wiki/Concordia_University
2626520;Ryerson University;https://en.wikipedia.org/wiki/Ryerson_University
2626521;University of Georgia;https://en.wikipedia.org/wiki/University_of_Georgia
2626522;University of Guelph;https://en.wikipedia.org/wiki/University_of_Guelph
2626524;Columbia University;http://en.wikipedia.org/wiki/Columbia_University_Press
2626406;Grinnell College;https://en.wikipedia.org/wiki/Grinnell_College
2626408;Stanford University;http://en.wikipedia.org/wiki/Stanford_University_Press
2626410;Marymount University;https://en.wikipedia.org/wiki/Marymount_University
2626412;Temple University;http://en.wikipedia.org/wiki/Temple_University_Press
2626415;Mercyhurst College;https://en.wikipedia.org/wiki/Mercyhurst_College
2626420;Davidson College;https://en.wikipedia.org/wiki/Davidson_College
2626421;SUNY Cortland;https://en.wikipedia.org/wiki/SUNY_Cortland
2626422;Purdue University;http://en.wikipedia.org/wiki/Purdue_University_Press
2626435;University of Alabama;https://en.wikipedia.org/wiki/University_of_Alabama
2626436;University of Alberta;https://en.wikipedia.org/wiki/University_of_Alberta
