"China Construction Bank","china construction bank|ccb"
"Agricultural Bank of China","agricultural bank of china|abchina"
"JPMorgan Chase","jpmorgan chase|j.p. morgan chase|jpmorganchase"
"Berkshire Hathaway","berkshire hathaway|berkshire hathaway inc.|berkshirehathaway|Russell (part of Berkshire Hathaway)"
"Royal Dutch Shell","royal dutch shell|royal dutch / shell|shell|Shell|Royal Dutch / Shell (see Shell)"
"Bank of America","bank of america|bank of america corp.|bank of america corporation|bankofamerica|LaSalle Bank |MBNA "
"Citigroup","Citi"
"Volkswagen Group","volkswagen group|volkswagen|volkswagenag|Volkswagen AG"
"Gazprom",""
"êShave","êshave|eshave"
"Genzyme Corporation","Genzyme"
"NEC Corporation of America",""
"Boden",""
"Arista Networks",""
"Samsung Electronics","samsung electronics|samsung|Samsung Electronics Co. Ltd."
"BP Australia",""
"Toys"R"Us",""
"Strauss",""
"Talal Abu-Ghazaleh","Talal Abu-Ghazaleh & Co International"
"Crane Co.",""
"Coldec Holding b.v.",""
"Nihon Unisys, Ltd.",""
"PT Kaltim Prima Coal (KPC)",""
"Verizon Communications","verizon communications|verizon"
"Sinopec-China Petroleum","sinopec-china petroleum|sinopec|China Petroleum and Chemical Corporation - Sinopec"
"AXA Group","AXA"
"Rosneft",""
"Mitsubishi UFJ Financial","mitsubishi ufj financial|mitsubishi ufj financial group|mitsubishi ufj financial group (mufg)|mufg"
"Eni","Eni S.p.A."
"American International Group","american international group|american international|aig"
"Itaú Unibanco Holding","itaú unibanco holding|itau unibanco holding|itau|Banco Itau|Itau Unibanco SA"
"Commonwealth Bank","commonwealth bank|commonwealth bank of australia|commbank"
"EDF","ED&F Man"
"Siemens",""
"Royal Bank of Canada","royal bank of canada|rbc"
"Sumitomo Mitsui Financial","sumitomo mitsui financial|sumitomo mitsui financial group|smfg|Sumitomo Mitsui Banking |Mitsui Sumitomo Insurance |Sumitomo Mitsui Financial Group, Inc."
"Comcast",""
"Goldman Sachs Group","goldman sachs group|gs|Goldman Sachs"
"Westpac Banking Group","westpac banking group|westpac banking corporation|westpac banking|westpac"
"Nippon Telegraph & Tel","nippon telegraph & tel|nippon telegraph & telephone|ntt"
"Ping An Insurance Group","ping an insurance group|ping an insurance group co of china|pingan|China Pingan Insurance"
"Anheuser-Busch InBev","anheuser-busch inbev|ab-inbev|AB InBev|InBev|InBev |Interbrew (now InBev, part of Anheuser-Busch InBev)|Anheuser-Busch InBev NV"
"Bank of Communications","bank of communications|bankcomm"
