Designer,Name,Question,Topics,Unit,Range,About,Methodology,Snippet name,Snippet provider,Notes,Creator,value_type
PETA,Vegan Company,Does the company sell Vegan products?,Animal Welfare,,,Vegan products contain no animal-derived ingredients and have not been tested on animals.,PETA certifies companies as Vegan when they meet certain criteria.,Vegan Company,Peta,,Richard Mills,string
PETA,Animal Testing,Does the company test its products on animals?,Animal Welfare,,,,http://www.peta.org/about-peta/how-is-a-company-certified-as-cruelty-free/,Does Tests On Animals,Peta,,Richard Mills,string
Richard Mills,Annual Sales,,,,,Money earned through the sale of goods or services in a year.,,Sales,Forbes,,Richard Mills,real
Richard Mills,Annual Profits,,,,,"Annual profits earned by the company, total sales less the cost of sale.",,Profits,Forbes,,Richard Mills,real
Richard Mills,Assets,,,,,"Valuation of the company's assets, things which they own.",,Assets,Forbes,,Richard Mills,real
Richard Mills,Market Value,,,,,Market valuation of the company - the amount of money it would cost to buy all their shares at the current market value.,,Market Value,Forbes,,Richard Mills,real
Richard Mills,Employees,,,,,Number of employees working directly for the company.,,Employees,Forbes,,Richard Mills,real
Ethisphere,Most Ethical Companies,"Is the company listed by Ethisphere as one of the ""World's most ethical companies""?",,,,Each year the Ethisphere Institute publishes a list of the companies which it believes have put the most effort into improving their ethical impact of their business.,http://ethisphere.com/worlds-most-ethical/scoring-methodology/,in Ethisphere's List: World's Most Ethical Companies,Ethisphere,,Richard Mills,string
Newsweek,Sustainability Pay Link,Is the renumeration of senior executives linked to environmental performance targets?,Corporate Governance & Compliance,,,A mechanism to link the remuneration of any member of a company's senior executive team with the achievement of environmental performance targets. ,http://www.newsweek.com/2014-newsweek-green-rankings-243744,Pay Link,Newsweek,,Richard Mills,string
Newsweek,Sustainability Board Committee,"Does the company have a committee, at Board of Directors level, whose mandate is related to the sustainability of the company? ",Corporate Governance & Compliance,,,"The existence of a committee at the Board of Directors level whose mandate is related to the sustainability of the company, including but not limited to environmental matters. ",http://www.newsweek.com/2014-newsweek-green-rankings-243744,Sustainability Themed Comitte,Newsweek,,Richard Mills,string
Newsweek,Environmental figures audited,Does the company provide evidence that the environmental figures it publishes are audited by a third party?,Corporate Governance & Compliance,,,The company provides evidence that the latest reported environmental metrics are audited by a third party.,http://www.newsweek.com/2014-newsweek-green-rankings-243744,Audit,Newsweek,,Richard Mills,string
Newsweek,Newsweek Green Score,Overall green score awarded by Newsweek,,,,"This score is produced by Newsweek as a weighted average of scores for their 8 Key performance Indicators (e.g. Energy Productivity Score, Reputation Score, Sustainability Pay Link, etc.). Yes/No metrics like Sustainability Pay Gap are given scores of 100/0%",http://www.newsweek.com/2014-newsweek-green-rankings-243744,Newsweek Green Score,Newsweek,,Richard Mills,real
Newsweek,Newsweek Reputation Score,"A score related to the company's reputation, based on data from RepRisk",,,,"The Reputation score is made up of two components: (1) The RepRisk Index, which is a quantitative measure that captures criticism and quantifies a company exposure to ESG risks. It ranges from zero (lowest) to 100 (highest); the higher the value, the higher the ESG risks exposure. The RepRisk Index value is percent-ranked against all companies in the ranking and multiplied by 0.5. (2) The second component is based on the number of environmental issues that were identified by RepRisk for each company. The environmental issues are: global pollution and climate change, local pollution, impacts on ecosystems and landscapes, overuse and wasting of resources and waste issues; the total number of environmental issues for each company is percent-ranked against all Industry Group peers in the ranking and multiplied by 0.5. The Reputation Score is the sum of the scores from the two above components. Companies whose sub-industry group is _tobacco_ and which are deriving the majority of their revenue from weapons manufacturing and related products/services automatically get a zero for the Reputation Score.",http://www.newsweek.com/2014-newsweek-green-rankings-243744,Reputation,Newsweek,There are two methodology documents for different years of the newsweek ratings: http://www.newsweek.com/2014-newsweek-green-rankings-243744 and http://www.pmi.com/eng/media_center/media_kit/documents/2014%20newsweek%20green%20rankings_methodology.pdf,Richard Mills,real
Newsweek,Energy Productivity,A measure of the company's efficiency in energy use as compared to other companies in their industry,Climate Change; Natural Resource Use,%,1-100,"In the first step, each company's Energy Productivity is calculated for 2012, with Energy Productivity defined as Revenue ($US) / Total Energy Consumption (GJ). Each company_s Energy Productivity is then percent-ranked against that of all Industry Group peers in the CKC research universe and multiplied by 0.75. The Global Industry Classification Standard (GICS) definition of _Industry Group_ will be used. In the second step, the change in each company_s Energy Productivity from 2010-2012 is calculated and percent-ranked against that of all same-Industry Group peers within the CKC research universe. If the company_s percent-ranked 2012 Energy Productivity is top quartile, their percent-ranked change in Energy Productivity for 2010-2012 is multiplied by 1 and then by 0.25. If the company_s percent-ranked 2012 Energy Productivity is second quartile, their percent-ranked change in Energy Productivity for 2010-2012 is multiplied by 0.75 and then by 0.25. If the company_s percent-ranked 2012 Energy Productivity is third quartile, their percent-ranked change in Energy Productivity for 2010-2012 is multiplied by 0.5 and then by 0.25. If the company_s percent-ranked 2012 Energy Productivity is bottom quartile, their percent-ranked change in Energy Productivity for 2010-2012 is multiplied by 0.25 and then by 0.25. In the third step, the values from the first and second steps are totaled.",http://www.newsweek.com/2014-newsweek-green-rankings-243744,Energy Productivity,Newsweek,There should be values for all 500 companies - where a company has no value in the API output their score is actually 0%,Richard Mills,real
Newsweek,Greenhouse Gas Productivity,A measure of the company's productivity in relation to greenhouse gas emissions as compared to other companies in their industry,Climate Change; Natural Resource Use,%,1-100,"In the first step, each company's GHG Productivity is calculated for 2012, with GHG Productivity defined as Revenue ($US) / Total Greenhouse gas (GHG) Emissions (CO2e). Only Scope 1 and Scope 2 emissions are included according to the GHG Protocol. Each company_s GHG Productivity is then percent-ranked against that of all Industry Group peers in the CKC research universe and multiplied by 0.75. In the second step, the change in each company_s GHG Productivity from 2010-2012 is calculated and percent-ranked against that of all same-industry group peers within the CKC research universe. If the company_s percent-ranked 2012 GHG Productivity is top quartile, their percent-ranked change in GHG Productivity for 2010-2012 is multiplied by 1 and then by 0.25. If the company_s percent-ranked 2012 GHG Productivity is second quartile, their percent-ranked change in GHG Productivity for 2010-2012 is multiplied by 0.75 and then by 0.25. If the company_s percent-ranked 2012 GHG Productivity is third quartile, their percente ranked change in GHG Productivity for 2010-2012 is multiplied by 0.5 and then by 0.25. If the company_s percent-ranked 2012 GHG Productivity is bottom quartile, their percent-ranked change in GHG Productivity for 2010-2012 is multiplied by 0.25 and then by 0.25. In the third step, the values from the first and second steps are totaled and then multiplied by 0.9. In the fourth step, if the company disclosed Scope 3 GHG emissions in 2012, a score of 100% is attributed and then multiplied by 0.1. Otherwise, a score of 0% is given. In the final step, the scores from the third and fourth steps are added.",http://www.newsweek.com/2014-newsweek-green-rankings-243744,Carbon Productivity,Newsweek,There should be values for all 500 companies - where a company has no value in the API output their score is actually 0%,Richard Mills,real
Newsweek,Water Productivity,A measure of the company's productivity in relation to water usage as compared to other companies in their industry,Natural Resource Use,%,1-100,"In the first step, each company's Water Productivity is calculated for 2012. Water Productivity is defined as Revenue ($US) / Total water use (m3). Each company_s Water Productivity is then percent-ranked against that of all Industry Group peers in the CKC research universe and multiplied by 0.75. In the second step, the change in each company_s Water Productivity from 2010-2012 is calculated and percent-ranked against that of all same-industry group peers within the CKC research universe. If the company_s percent-ranked 2012 Water Productivity is top quartile, their percent-ranked change in Water Productivity for 2010-2012 is multiplied by 1 and then by 0.25. If the company_s percent-ranked 2012 Water Productivity is second quartile, their percent-ranked change in Water Productivity for 2010-2012 is multiplied by 0.75 and then by 0.25. If the company_s percent-ranked 2012 WaterProductivity is third quartile, their percent-ranked change in Water Productivity for 2010-2012 is multiplied by 0.5 and then by 0.25. If the company_s percent-ranked 2012 Water Productivity is bottom quartile, their percent-ranked change in Water Productivity for 2010-2012 is multiplied by 0.25 and then by 0.25. In the third step, the values from the first and second steps are totaled.",http://www.newsweek.com/2014-newsweek-green-rankings-243744,Water Productivity,Newsweek,There should be values for all 500 companies - where a company has no value in the API output their score is actually 0%,Richard Mills,real
Newsweek,Waste Productivity,"A measure of the company's productivity in relation to resulting waste, as compared to other companies in their industry",Natural Resource Use; Waste Management,%,1-100,"In the first step, each company's Waste Productivity is calculated for 2012. Waste Productivity is defined as Revenue ($US) / [Total waste generated (metric tonnes) _ waste recycled/reused (metric tonnes)]. Each company_s Waste Productivity is then percent-ranked against that of all Industry Group peers in the CKC research universe and multiplied by 0.75. In the second step, the change in each company_s Waste Productivity from 2010-2012 is calculated and percent-ranked against that of all same-industry group peers within the CKC research universe. If the company_s percent-ranked 2012 Waste Productivity is top quartile, their percent-ranked change in Waste Productivity for 2010-2012 is multiplied by 1 and then by 0.25. If the company_s percent-ranked 2012 Waste Productivity is second quartile, their percent-ranked change in Waste Productivity for 2010-2012 is multiplied by 0.75 and then by 0.25. If the company_s percent-ranked 2012 Waste Productivity is third quartile, their percent-ranked change in Waste Productivity for 2010-2012 is multiplied by 0.5 and then by 0.25. If the company_s percent-ranked 2012 Waste Productivity is bottom quartile, their percent-ranked change in Waste Productivity for 2010-2012 is multiplied by 0.25 and then by 0.25. In the third step, the values from the first and second steps are totaled.",http://www.newsweek.com/2014-newsweek-green-rankings-243744,Waste Productivity,Newsweek,There should be values for all 500 companies - where a company has no value in the API output their score is actually 0%,Richard Mills,real
Good Company Index,Good Company Grade,Overall grade awarded by the Good Company Index,,,,,http://www.goodcompanyindex.com/pdfs/GoodCompanyIndex-2014-Methodology.pdf,Good Company Grade,Good Company Index,,Richard Mills,string
Good Company Index,Good Employer Score,Good Company Index score for treatment of employees (range from -2 to +2),Working Conditions and Benefits,,,"Based on company's rating on Glassdoor and whether or not they were listed in the Fortune 100 ""Best Companies to Work for"" list",http://www.goodcompanyindex.com/pdfs/GoodCompanyIndex-2014-Methodology.pdf,Good Employer Score,Good Company Index,,Richard Mills,real
Good Company Index,Good Steward Score,Good Company Index score for environmental impact,Climate Change,,,Based on a number of sources (see methodology),http://www.goodcompanyindex.com/pdfs/GoodCompanyIndex-2014-Methodology.pdf,Good Steward Score,Good Company Index,,Richard Mills,real
BSR,BSR Member,Is the company a member of BSR (Business for Social Responsibility)?,,,,BSR is a global nonprofit business network and consultancy dedicated to sustainability.,,BSR member,BSR,,Richard Mills,string
EIC,EICC member,Is the company a member of the EICC (Electronic Industry Citizenship Coalition)?,,,,The EICC is the world_s largest industry coalition dedicated to electronics supply chain responsibility.,,EICC member,EICC,,Richard Mills,string
PERI at University of Massachusetts Amherst,Toxic 100 Air Polluters Rank,"Is the company was named by PERI as one of the ""Toxic 100"" Air Polluters, this is their rank.",Pollution & Toxics,,1-100,,http://www.peri.umass.edu/tech_notes/,rank,Peri,,Richard Mills,real
PERI at University of Massachusetts Amherst,Toxic Score,A measure of toxic releases in the United States which takes their toxicity and the exposure of the population into account,Pollution & Toxics,,,Pounds of toxic material released in the United States X Toxicity X Population Exposure,http://www.peri.umass.edu/tech_notes/,toxic_score,Peri,,Richard Mills,real
PERI at University of Massachusetts Amherst,Toxic Incineration Transfers,How much toxic material did the company send for incineration in the United States?,Pollution & Toxics,Million Pounds,,,http://www.peri.umass.edu/tech_notes/,toxic_incineration,Peri,,Richard Mills,real
PERI at University of Massachusetts Amherst,Toxic Air Releases,How much toxic material did the company release into the air in the United States?,Pollution & Toxics,Million Pounds,,The company's release of toxic materials into the air in the United States (measured in millions of pounds),http://www.peri.umass.edu/tech_notes/,toxic_air,Peri,,Richard Mills,real
Green Electronics Council,EPEAT Participant,Does the company participate in EPEAT (a global environmental rating system for electronic products)?,,,,"EPEAT is a resource for purchasers, manufacturers, resellers and others to identify environmentally preferable devices. The EPEAT system combines strict, comprehensive criteria for design, production, energy use and recycling with ongoing independent verification of manufacturer claims. EPEAT was developed through a stakeholder consensus process and is managed by the Green Electronics Council, a non-profit organization based in Portland, Oregon, USA.",,EPEAT_member,EPEAT,,Richard Mills,string
Measure UP,Living Wage,Does the company have evidence that suppliers are paid enough for workers to be given a living wage?,Working Conditions and Benefits,,,"Company's position is classified as ""Yes"", ""No"" or ""Making Progress""",http://www.measureup.org.uk/indicators/,living_wages,Measure UP,,Richard Mills,string
Measure UP,Confidential Audit Interviews,"Do audits include confidential interviews with workers selected by the auditor (not, for example, management)?",Working Conditions and Benefits,,,"Companies position is classified as ""Yes"", ""No"" or ""Making Progress""",http://www.measureup.org.uk/indicators/,audit_interviews,Measure UP,,Richard Mills,string
Measure UP,Unannounced Factory Checks,Are unannounced checks or audits routinely carried out at factories?,Working Conditions and Benefits,,,"Company's position is classified as ""Yes"", ""No"" or ""Making Progress""",http://www.measureup.org.uk/indicators/,checks,Measure UP,,Richard Mills,string
Measure UP,Factory Address List,Is a full list of the locations of the company_s supplier factories publicly available?,Working Conditions and Benefits,,,"Companies position is classified as ""Yes"", ""No"" or ""Making Progress""",http://www.measureup.org.uk/indicators/,address_list,Measure UP,,Richard Mills,string
Measure UP,Worker Complaint Procedure,Has the company put in place a mechanism by which factory workers can confidentially get in contact to raise issues of concern?,Working Conditions and Benefits,,,"Companies position is classified as ""Yes"", ""No"" or ""Making Progress""",http://www.measureup.org.uk/indicators/,complaint,Measure UP,,Richard Mills,string
Measure UP,Code of conduct applies to supply chain,Is the full supply chain governed by the company_s code of conduct?,Working Conditions and Benefits,,,"Companies position is classified as ""Yes"", ""No"" or ""Making Progress""",http://www.measureup.org.uk/indicators/,supply_chain,Measure UP,,Richard Mills,string
Measure UP,Ethical Code of Conduct,Does this company have an ethical code of conduct based on International Labour Organisation (ILO) standards?,Working Conditions and Benefits,,,"Companies position is classified as ""Yes"", ""No"" or ""Making Progress""",http://www.measureup.org.uk/indicators/,ethical_code,Measure UP,,Richard Mills,string
Measure UP,Published Audit Results,Are the company_s social audit results publicly available?,Working Conditions and Benefits,,,"Companies position is classified as ""Yes"", ""No"" or ""Making Progress""",http://www.measureup.org.uk/indicators/,audit_results,Measure UP,,Richard Mills,string
Measure UP,Factory Social Audits,Does the company ensure that each of its supplier factories receives a social audit at least every two years?,Working Conditions and Benefits,,,"Companies position is classified as ""Yes"", ""No"" or ""Making Progress""",http://www.measureup.org.uk/indicators/,audited,Measure UP,,Richard Mills,string
