metric,company_name,year,value,source
"2020WoB+Women on Board","Berkshire Hathaway","2015","23","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Bank of America","2015","27","http://www.2020wob.com/company-directory"
"Green Electronics Council+EPEAT Participant","Samsung","2015","true","http://ww2.epeat.net/CompanyList.aspx"
"2020WoB+Women on Board","Verizon Communications Inc.","2015","36","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","United Technologies","2015","25","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","American Express","2015","23","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Morgan Stanley","2015","13","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Capital One Financial","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Occidental Petroleum","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Twenty-First Century Fox, Inc.","2015","8","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Philip Morris International","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Express Scripts","2015","9","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","PNC Financial Services","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","EI du Pont de Nemours","2015","25","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Lockheed Martin","2015","33","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Costco Wholesale","2015","14","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Abbott Laboratories","2015","36","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","General Dynamics","2015","25","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Marathon Petroleum","2015","8","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","NextEra Energy","2015","17","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Johnson Controls","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Emerson Electric Company","2015","15","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Dominion Resources","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","American Electric","2015","25","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Northrop Grumman","2015","9","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Kraft Foods Group Inc.","2015","27","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Discover Financial Services","2015","25","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Las Vegas Sands","2015","10","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Baxter International","2015","23","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Anadarko Petroleum","2015","11","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Ameriprise Financial","2015","30","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Kimberly-Clark Corporation","2015","25","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Norfolk Southern","2015","15","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Illinois Tool Works","2015","15","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","The Colgate-Palmolive Company","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Prudential Financial","2015","25","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Edison International","2015","27","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Fifth Third Bancorp","2015","17","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","United Continental Holdings","2015","15","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Chesapeake Energy","2015","0","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Mondelez International","2015","25","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Precision Castparts","2015","0","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Marsh & McLennan","2015","17","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Franklin Resources","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Simon Property Group","2015","10","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Regions Financial","2015","23","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Southwest Airlines","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Western Digital","2015","15","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Air Products & Chemicals","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Reynolds American","2015","17","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Spectra Energy","2015","10","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Dollar General","2015","38","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Genworth Financial","2015","30","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Annaly Capital Management","2015","22","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","CR Bard","2015","9","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Markel","2015","8","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Liberty Interactive","2015","11","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Hilton Worldwide Holdings","2015","22","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Northern Trust","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Thomson Reuters","2015","15","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Motorola Solutions","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Cognizant Technology","2015","11","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","L-3 Communications","2015","9","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Leucadia National","2015","9","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Eastman Chemical","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Cameron International","2015","0","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Discovery Communications","2015","0","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Republic Services","2015","9","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Stanley Black & Decker","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Bed Bath & Beyond","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","American Capital Agency","2015","11","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Hertz Global Holdings","2015","33","http://www.2020wob.com/company-directory"
