metric,company_name,year,value,source
Richard Mills+Annual Sales,ICBC,2014,$148.66 B,http://www.forbes.com/companies/icbc/
Richard Mills+Annual Profits,ICBC,2014,$42.7 B,http://www.forbes.com/companies/icbc/
Richard Mills+Assets,ICBC,2014,"$3,124.9 B",http://www.forbes.com/companies/icbc/
Richard Mills+Market Value,ICBC,2014,$215.6 B,http://www.forbes.com/companies/icbc/
Richard Mills+Employees,ICBC,2014,"441,902",http://www.forbes.com/companies/icbc/
Newsweek+Energy Productivity,China Construction Bank,2014,13.30%,http://www.newsweek.com//green/worlds-greenest-companies-2014/
Newsweek+Water Productivity,China Construction Bank,2014,6.90%,http://www.newsweek.com//green/worlds-greenest-companies-2014/
Newsweek+Newsweek Reputation Score,China Construction Bank,2014,25.90%,http://www.newsweek.com//green/worlds-greenest-companies-2014/
Newsweek+Sustainability Pay Link,China Construction Bank,2014,No,http://www.newsweek.com//green/worlds-greenest-companies-2014/
Newsweek+Sustainability Board Committee,China Construction Bank,2014,Yes,http://www.newsweek.com//green/worlds-greenest-companies-2014/
Newsweek+Environmental figures audited,China Construction Bank,2014,Yes,http://www.newsweek.com//green/worlds-greenest-companies-2014/
Newsweek+Newsweek Green Score,China Construction Bank,2014,18.20%,http://www.newsweek.com//green/worlds-greenest-companies-2014/
Richard Mills+Annual Sales,China Construction Bank,2014,$121.28 B,http://www.forbes.com/companies/china-construction-bank/
Richard Mills+Annual Profits,China Construction Bank,2014,$34.2 B,http://www.forbes.com/companies/china-construction-bank/
Richard Mills+Assets,China Construction Bank,2014,"$2,449.5 B",http://www.forbes.com/companies/china-construction-bank/
Richard Mills+Market Value,China Construction Bank,2014,$174.4 B,http://www.forbes.com/companies/china-construction-bank/
Richard Mills+Employees,China Construction Bank,2014,"348,955",http://www.forbes.com/companies/china-construction-bank/
Newsweek+Newsweek Reputation Score,Agricultural Bank of China,2014,69.90%,http://www.newsweek.com//green/worlds-greenest-companies-2014/
Newsweek+Sustainability Pay Link,Agricultural Bank of China,2014,No,http://www.newsweek.com//green/worlds-greenest-companies-2014/
Newsweek+Sustainability Board Committee,Agricultural Bank of China,2014,No,http://www.newsweek.com//green/worlds-greenest-companies-2014/
Newsweek+Environmental figures audited,Agricultural Bank of China,2014,No,http://www.newsweek.com//green/worlds-greenest-companies-2014/
Newsweek+Newsweek Green Score,Agricultural Bank of China,2014,14.00%,http://www.newsweek.com//green/worlds-greenest-companies-2014/
Richard Mills+Annual Sales,Agricultural Bank of China,2014,$136.45 B,http://www.forbes.com/companies/agricultural-bank-of-china/
Richard Mills+Annual Profits,Agricultural Bank of China,2014,$27 B,http://www.forbes.com/companies/agricultural-bank-of-china/
Richard Mills+Assets,Agricultural Bank of China,2014,"$2,405.4 B",http://www.forbes.com/companies/agricultural-bank-of-china/
Richard Mills+Market Value,Agricultural Bank of China,2014,$141.1 B,http://www.forbes.com/companies/agricultural-bank-of-china/
