snippet_company,source_url,company_from_source_url,remark
Aareal Bank,https://www.unglobalcompact.org/COPs/active/109191,Aareal Bank AG,
Aareal Bank,https://www.unglobalcompact.org/COPs/active/44171,Aareal Bank AG,
ABB,https://www.unglobalcompact.org/COPs/active/15101,ABB Ltd.,
ABB,https://www.unglobalcompact.org/COPs/active/10712,ABB Ltd.,
ABB,https://www.unglobalcompact.org/COPs/active/124621,ABB Ltd.,
ABB,https://www.unglobalcompact.org/COPs/active/56961,ABB Ltd.,
ABB,https://www.unglobalcompact.org/COPs/active/20642,ABB Ltd.,
Aberdeen Asset Management,https://www.unglobalcompact.org/COPs/active/122841,Aberdeen Asset Management PLC,
Aberdeen Asset Management,https://www.unglobalcompact.org/COPs/active/55091,Aberdeen Asset Management PLC,
Accenture,https://www.unglobalcompact.org/COPs/active/11197,Accenture,
Accenture,https://www.unglobalcompact.org/COPs/advanced/137141,Accenture,
Accenture,https://www.unglobalcompact.org/COPs/advanced/15791,Accenture,
Accenture,https://www.unglobalcompact.org/COPs/advanced/21564,Accenture,
Accenture,https://www.unglobalcompact.org/COPs/advanced/66911,Accenture,
Airbus Group,https://www.unglobalcompact.org/COPs/advanced/12263,AIRBUS GROUP,
Airbus Group,https://www.unglobalcompact.org/COPs/advanced/149631,AIRBUS GROUP,
Airbus Group,https://www.unglobalcompact.org/COPs/advanced/17045,AIRBUS GROUP,
Airbus Group,https://www.unglobalcompact.org/COPs/advanced/22646,AIRBUS GROUP,
Airbus Group,https://www.unglobalcompact.org/COPs/advanced/79131,AIRBUS GROUP,
Ajinomoto,https://www.unglobalcompact.org/COPs/active/14415,"Ajinomoto Co., Inc.",
Ajinomoto,https://www.unglobalcompact.org/COPs/active/64911,"Ajinomoto Co., Inc.",
Ajinomoto,https://www.unglobalcompact.org/COPs/active/21613,"Ajinomoto Co., Inc.",
Ajinomoto,https://www.unglobalcompact.org/COPs/advanced/132231,"Ajinomoto Co., Inc.",
Akzo Nobel,https://www.unglobalcompact.org/COPs/active/15622,Akzo Nobel N.V.,
Akzo Nobel,https://www.unglobalcompact.org/COPs/active/11134,Akzo Nobel N.V.,
Akzo Nobel,https://www.unglobalcompact.org/COPs/active/131531,Akzo Nobel N.V.,
Akzo Nobel,https://www.unglobalcompact.org/COPs/active/64471,Akzo Nobel N.V.,
Akzo Nobel,https://www.unglobalcompact.org/COPs/active/21402,Akzo Nobel N.V.,
Alcatel-Lucent,https://www.unglobalcompact.org/COPs/active/11962,Alcatel-Lucent,
Alcatel-Lucent,https://www.unglobalcompact.org/COPs/advanced/150721,Alcatel-Lucent,
Alcatel-Lucent,https://www.unglobalcompact.org/COPs/advanced/16668,Alcatel-Lucent,
Alcatel-Lucent,https://www.unglobalcompact.org/COPs/advanced/22636,Alcatel-Lucent,
Alcatel-Lucent,https://www.unglobalcompact.org/COPs/advanced/78611,Alcatel-Lucent,
ALFA,https://www.unglobalcompact.org/COPs/active/14605,"Alfa, S.A.",
ALFA,https://www.unglobalcompact.org/COPs/active/80301,"Alfa, S.A.",
ALFA,https://www.unglobalcompact.org/COPs/active/23190,"Alfa, S.A.",
ALFA,https://www.unglobalcompact.org/COPs/active/19939,"Alfa, S.A.",
Alfa Laval,https://www.unglobalcompact.org/COPs/active/17871,Alfa Laval Group,
Alfa Laval,https://www.unglobalcompact.org/COPs/active/137451,Alfa Laval Group,
Alfa Laval,https://www.unglobalcompact.org/COPs/active/68331,Alfa Laval Group,
Alfa Laval,https://www.unglobalcompact.org/COPs/active/22423,Alfa Laval Group,
Allianz,https://www.unglobalcompact.org/COPs/active/18230,Allianz SE,
Allianz,https://www.unglobalcompact.org/COPs/active/13599,Allianz SE,
Allianz,https://www.unglobalcompact.org/COPs/active/98591,Allianz SE,
Allianz,https://www.unglobalcompact.org/COPs/active/32111,Allianz SE,
Aluminum Corp of China,https://www.unglobalcompact.org/COPs/active/16641,Aluminum Corporation of China,
Aluminum Corp of China,https://www.unglobalcompact.org/COPs/active/149521,Aluminum Corporation of China,
Aluminum Corp of China,https://www.unglobalcompact.org/COPs/active/11933,Aluminum Corporation of China,
Aluminum Corp of China,https://www.unglobalcompact.org/COPs/active/78511,Aluminum Corporation of China,
Aluminum Corp of China,https://www.unglobalcompact.org/COPs/active/22620,Aluminum Corporation of China,
Anadolu Efes,https://www.unglobalcompact.org/COPs/active/21565,Anadolu Efes Biracilik ve Malt Sanayii A.S,
Anadolu Efes,https://www.unglobalcompact.org/COPs/active/94801,Anadolu Efes Biracilik ve Malt Sanayii A.S,
Anheuser-Busch InBev,https://www.unglobalcompact.org/COPs/active/16181,Anheuser-Busch InBev NV,
Anheuser-Busch InBev,https://www.unglobalcompact.org/COPs/active/143991,Anheuser-Busch InBev NV,
Anheuser-Busch InBev,https://www.unglobalcompact.org/COPs/active/11823,Anheuser-Busch InBev NV,
Anheuser-Busch InBev,https://www.unglobalcompact.org/COPs/active/73091,Anheuser-Busch InBev NV,
Anheuser-Busch InBev,https://www.unglobalcompact.org/COPs/active/22078,Anheuser-Busch InBev NV,
ANZ,https://www.unglobalcompact.org/COPs/active/16639,Australia and New Zealand Banking Group Limited,
ANZ,https://www.unglobalcompact.org/COPs/active/148351,Australia and New Zealand Banking Group Limited,
ANZ,https://www.unglobalcompact.org/COPs/active/11988,Australia and New Zealand Banking Group Limited,
ANZ,https://www.unglobalcompact.org/COPs/active/77381,Australia and New Zealand Banking Group Limited,
ANZ,https://www.unglobalcompact.org/COPs/active/22622,Australia and New Zealand Banking Group Limited,
Arrow Electronics,https://www.unglobalcompact.org/COPs/active/118851,"Arrow Electronics, Inc.",
Arrow Electronics,https://www.unglobalcompact.org/COPs/active/51331,"Arrow Electronics, Inc.",
Arrow Electronics,https://www.unglobalcompact.org/COPs/active/19899,"Arrow Electronics, Inc.",
Asahi Kasei,https://www.unglobalcompact.org/COPs/active/13729,Asahi Kasei Corporation,
Asahi Kasei,https://www.unglobalcompact.org/COPs/active/80111,Asahi Kasei Corporation,
Asahi Kasei,https://www.unglobalcompact.org/COPs/active/22745,Asahi Kasei Corporation,
Asahi Kasei,https://www.unglobalcompact.org/COPs/learner/13728,Asahi Kasei Corporation,
Assa Abloy,https://www.unglobalcompact.org/COPs/active/16258,Assa Abloy,
Assa Abloy,https://www.unglobalcompact.org/COPs/active/137551,Assa Abloy,
Assa Abloy,https://www.unglobalcompact.org/COPs/active/11657,Assa Abloy,
Assa Abloy,https://www.unglobalcompact.org/COPs/active/68041,Assa Abloy,
Assa Abloy,https://www.unglobalcompact.org/COPs/active/22052,Assa Abloy,
Astellas Pharma,https://www.unglobalcompact.org/COPs/active/18780,Astellas Pharma Inc.,
Astellas Pharma,https://www.unglobalcompact.org/COPs/active/105451,Astellas Pharma Inc.,
Astellas Pharma,https://www.unglobalcompact.org/COPs/active/105451,Astellas Pharma Inc.,
Astellas Pharma,https://www.unglobalcompact.org/COPs/active/38851,Astellas Pharma Inc.,
AstraZeneca,https://www.unglobalcompact.org/COPs/learner/152381,AstraZeneca,
AstraZeneca,https://www.unglobalcompact.org/COPs/advanced/11278,AstraZeneca,
AstraZeneca,https://www.unglobalcompact.org/COPs/advanced/15737,AstraZeneca,
AstraZeneca,https://www.unglobalcompact.org/COPs/advanced/21543,AstraZeneca,
AstraZeneca,https://www.unglobalcompact.org/COPs/advanced/66851,AstraZeneca,
Atlas Copco,https://www.unglobalcompact.org/COPs/active/11588,Atlas Copco AB,
