Level 1,Level 2,Level 3
Environment,Biodiversity,Biodiversity Agreements
Environment,Biodiversity,Conservation
Environment,Biodiversity,Deforestation
Environment,Biodiversity,Sustainable Forestry
Environment,Biodiversity,Land Use
Environment,Biodiversity,Habitat Protection
Environment,Biodiversity,Biodiversity Impact Assessment
Environment,Biodiversity,Nature-based Solutions
Environment,Circular Economy,Recycled Materials
Environment,Circular Economy,Recycled Products
Environment,Circular Economy,Circular Economy Strategies
Environment,Circular Economy,Product Lifecycle Management
Environment,Circular Economy,Material Recovery & Reuse
Environment,Circular Economy,Circular Supply Chains
Environment,Climate Change,Climate Change Policy
Environment,Climate Change,Greenhouse Gas (GHG) Emissions
Environment,Climate Change,Carbon Footprint of Supply Chain
Environment,Climate Change,Use of Carbon Offsets
Environment,Climate Change,Climate Targets & Transition Plans
Environment,Energy,Clean and Renewable Energy
Environment,Energy,Energy Intensity
Environment,Energy,Energy Management & Efficiency
Environment,Energy,Energy Sourcing
Environment,Energy,Fuel Consumption
Environment,Sustainable Agriculture,Genetically Modified Organisms (GMO)
Environment,Sustainable Agriculture,Food Waste
Environment,Sustainable Agriculture,Monoculture
Environment,Sustainable Agriculture,Organic and Sustainable Products
Environment,Sustainable Supply Chains,Sustainable Materials
Environment,Sustainable Supply Chains,Local Sourcing
Environment,Sustainable Supply Chains,Supplier Code of Conduct
Environment,Sustainable Supply Chains,Supplier Audits & Monitoring
Environment,Waste,General Waste
Environment,Waste,Hazardous Waste
Environment,Waste,Electronic Waste (E-Waste)
Environment,Waste,Waste Management & Disposal Practices
Environment,Water,Water Conservation
Environment,Water,Water Management
Environment,Water,Water Pollution & Effluents
Environment,Water,Water Usage
Environment,Water,Water Risk & Scarcity Exposure
Environment,Pollution,Air Pollution
Environment,Pollution,Soil Contamination
Environment,Pollution,Noise Pollution
Environment,Water,Wastewater Discharge
Environment,Pollution,Industrial Emissions
Environment,Land Use & Degradation,Land Degradation
Environment,Land Use & Degradation,Desertification
Environment,Land Use & Degradation,Land Conversion for Agriculture
Environment,Land Use & Degradation,Mining Impacts on Land
Environment,Land Use & Degradation,Land Rehabilitation & Restoration
Environment,Land Use & Degradation,Urban Development Impact
Governance,Corporate Governance,Corporate Governance Structure
Governance,Corporate Governance,Board Composition & Independence
Governance,Corporate Governance,Stakeholder Accountability
Governance,Corporate Governance,Code of Ethics
Governance,Business Ethics,Bribery & Corruption Prevention
Governance,Business Ethics,Compliance and Corrective Action
