Root,Level 1,Level 2,Description
ESRS Standards,E1 - Climate Change,E1.1 - Transition plan for climate change mitigation,"Description of the company’s transition plan: how its strategy and business-model align with a 1.5 °C pathway, the decarbonisation levers and key actions planned, investments and funding for implementation, assessment of locked-in GHG emissions from key assets/products, and how the plan is embedded in strategy, approved by management and being progressed."
ESRS Standards,E1 - Climate Change,E1.2 - Climate-related risks and scenario analysis,"Disclosure of how the company’s strategy and business model are resilient to climate-related risks: the scope and methodology of resilience or scenario analysis (including physical & transition risks), how scenario analysis is used to inform risk identification/assessment, and the results of that analysis"
ESRS Standards,E1 - Climate Change,E1.3 - Resilience in relation to climate change,"How the company is able to adapt or respond over short/medium/long term to climate-related changes, how assets may be upgraded/decommissioned/reallocated, how investments in mitigation/adaptation enhance its resilience."
ESRS Standards,E1 - Climate Change,E1.4 - Policies related to climate change,"Description of the policies adopted by the company to manage material impacts, risks and opportunities from climate change, in mitigation, adaptation, energy efficiency, renewable energy deployment and other relevant areas."
ESRS Standards,E1 - Climate Change,E1.5 - Actions and resources in relation to climate change,"Disclosure of the key actions taken and planned in the reporting period to implement the climate-change policies, grouped by decarbonisation lever (including nature-based solutions), description of outcomes (achieved or expected GHG reductions) and the resources (CapEx, OpEx) allocated or planned for these actions."
ESRS Standards,E1 - Climate Change,E1.6 - Targets related to climate change,"Disclosure of the climate-change targets set by the company (e.g., GHG emission reduction targets for Scope 1/2/3, intensity or absolute, renewable energy deployment, energy efficiency, adaptation) and whether/how they are aligned with a 1.5 °C pathway or science-based methodology."
ESRS Standards,E1 - Climate Change,E1.7 - Energy consumption and mix,"Disclosure of the company’s energy consumption (total and by type) and the energy mix (i.e., share from renewable sources, fossil sources, other) to provide insight into its energy profile and transition potential."
ESRS Standards,E1 - Climate Change,"E1.8 - Gross Scopes 1, 2, 3 GHG emissions","Disclosure of the company's gross GHG emissions (in t CO₂eq) for Scope 1 (direct emissions), Scope 2 (indirect from purchased energy) and Scope 3 (value chain emissions), and total GHG emissions, with explanation of boundaries and methodologies."
ESRS Standards,E1 - Climate Change,E1.9 - GHG removals and GHG mitigation projects financed through carbon credits,"Disclosure of GHG removals (e.g., from carbon capture, nature-based) and mitigation projects the company has financed via carbon credits (where applicable), including volumes, methodologies and how they relate to its overall GHG strategy."
ESRS Standards,E2 - Pollution,E2.1 - Policies related to pollution,"Policies the company has adopted to identify, assess, manage, prevent and remediate its material impacts, risks and opportunities related to pollution of air, water and soil and the use/distribution of substances of concern and very high concern."
ESRS Standards,E2 - Pollution,E2.2 - Actions and resources related to pollution,"Description of the key actions taken and planned by the company to implement its pollution-related policies, including the resources (financial, human, technological) allocated or planned for their implementation."
ESRS Standards,E2 - Pollution,E2.3 - Targets related to pollution,"Disclosure of the pollution-related targets the company has set (or plans to set) to support its pollution policies and address material impacts, risks and opportunities, including how these targets relate to air, water and soil pollutants and substances of concern."
ESRS Standards,E2 - Pollution,"E2.4 - Pollution of air, water and soil","Quantitative disclosure of the company’s emissions or releases to air, water and soil in its own operations (and where relevant via the value chain), including relevant pollutants, loads, trends, measurement methodology and uncertainties."
