id1,name1,id2,name2,left_id,right_id,url1,,Comments
5329537,MMC Norilsk Nickel+Wikipedia,2786771,Norilsk Nickel+Wikipedia,4817702,3560,https://wikirate.org/~5329537,https://wikirate.org/~2786771,Column B extra data (can be deleted) - leftover from a name change
5469114,Business & Human Rights Resource Centre+Modern Slavery statement+AEGON+2019+values,5466450,Business & Human Rights Resource Centre+Modern Slavery Statement+AEGON+2018+values,5469112,43591,https://wikirate.org/~5469114,https://wikirate.org/~5466450,"Id1 shows a value for 2019 that was not answered. It seems the answer was corrected to be a 2018 year. Currenty, 2019 is not researched for that company and metric. "
5469118,Business & Human Rights Resource Centre+Modern Slavery statement+AEGON+2019+Source,5466452,Business & Human Rights Resource Centre+Modern Slavery Statement+AEGON+2018+Source,5469112,629,https://wikirate.org/~5469118,https://wikirate.org/~5466452,Right ID redirects to Sources Page 
5477813,Business_Human_Rights_Resource_Centre+Modern_Slavery_Statement+AEGON+2018+checked_by,5477801,Business Human Rights Resource Centre+Modern Slavery statement+AEGON+2019+checked by,5469112,846790,https://wikirate.org/~5477813,https://wikirate.org/~5477801,No 2019 value exists for this company/metric combo 
5485548,Business & Human Rights Resource Centre+Modern Slavery Statement+AEGON+2018+Discussion,5469119,Business & Human Rights Resource Centre+Modern Slavery statement+AEGON+2019+Discussion,5469112,130,https://wikirate.org/~5485548,https://wikirate.org/~5469119,
5662137,Compiling the Public Picture: The Top 100 Greenhouse Gas Emitters+Status,5662130,The Top 100 Greenhouse Gas Emitters+Status,5662128,2814,https://wikirate.org/~5662137,https://wikirate.org/~5662130,"Column B is extra, duplicate data. The old named project (column B) seems to be holding onto topics, etc. that exist in the renamed version of the project"
5662138,Compiling the Public Picture: The Top 100 Greenhouse Gas Emitters+Organizer,5662131,The Top 100 Greenhouse Gas Emitters+Organizer,5662128,40288,https://wikirate.org/~5662138,https://wikirate.org/~5662131,"Column B is extra, duplicate data. The old named project (column B) seems to be holding onto topics, etc. that exist in the renamed version of the project"
5662139,Compiling the Public Picture: The Top 100 Greenhouse Gas Emitters+Topic,5662132,The Top 100 Greenhouse Gas Emitters+Topic,5662128,1010,https://wikirate.org/~5662139,https://wikirate.org/~5662132,"Column B is extra, duplicate data. The old named project (column B) seems to be holding onto topics, etc. that exist in the renamed version of the project"
5662140,Compiling the Public Picture: The Top 100 Greenhouse Gas Emitters+description,5662133,The Top 100 Greenhouse Gas Emitters+description,5662128,146,https://wikirate.org/~5662140,https://wikirate.org/~5662133,"Column B is extra, duplicate data. The old named project (column B) seems to be holding onto topics, etc. that exist in the renamed version of the project"
5662141,Compiling the Public Picture: The Top 100 Greenhouse Gas Emitters+Year,5662134,The Top 100 Greenhouse Gas Emitters+Year,5662128,2011,https://wikirate.org/~5662141,https://wikirate.org/~5662134,"Column B is extra, duplicate data. The old named project (column B) seems to be holding onto topics, etc. that exist in the renamed version of the project"
5662142,Compiling the Public Picture: The Top 100 Greenhouse Gas Emitters+Metric,5662135,The Top 100 Greenhouse Gas Emitters+Metric,5662128,43576,https://wikirate.org/~5662142,https://wikirate.org/~5662135,"Column B is extra, duplicate data. The old named project (column B) seems to be holding onto topics, etc. that exist in the renamed version of the project"
5662143,Compiling the Public Picture: The Top 100 Greenhouse Gas Emitters+Company,5662136,The Top 100 Greenhouse Gas Emitters+Company,5662128,651,https://wikirate.org/~5662143,https://wikirate.org/~5662136,"Column B is extra, duplicate data. The old named project (column B) seems to be holding onto topics, etc. that exist in the renamed version of the project"
5672733,M&G Investments+Wikipedia,5657948,M&G plc+Wikipedia,3763442,3560,https://wikirate.org/~5672733,https://wikirate.org/~5657948,"M&G Investments company name changed to M&G plc. It's hard to say whether data in Column B is deletable in this case because M&G plc still has the HQ, Image and Wikipedia links, and they should stay https://wikirate.org/M_G_plc"
5672734,M&G plc+Headquarters,5672731,M&G Investments+Headquarters,3763442,2917776,https://wikirate.org/~5672734,https://wikirate.org/~5672731,"M&G Investments company name changed to M&G plc. It's hard to say whether data in Column B is deletable in this case because M&G plc still has the HQ, Image and Wikipedia links, and they should stay https://wikirate.org/M_G_plc"
5672735,M&G plc+Image,5672732,M&G Investments+Image,3763442,19,https://wikirate.org/~5672735,https://wikirate.org/~5672732,"M&G Investments company name changed to M&G plc. It's hard to say whether data in Column B is deletable in this case because M&G plc still has the HQ, Image and Wikipedia links, and they should stay https://wikirate.org/M_G_plc"
5674218,MC Mining Limited+Headquarters,4516247,Coal of Africa+Headquarters,2318981,2917776,https://wikirate.org/~5674218,https://wikirate.org/~4516247,Column D extra data (can be deleted) - leftover from a name change (from Coal of Africa to MC Mining Limited)
5674219,MC Mining Limited+Image,2319883,Coal of Africa+Image,2318981,19,https://wikirate.org/~5674219,https://wikirate.org/~2319883,Column D extra data (can be deleted) - leftover from a name change (from Coal of Africa to MC Mining Limited)
5675180,"Global Reporting Initiative+Direct Economic Value Generated, GRI 201-1 (formerly G4-EC1-a)+MC Mining Limited",3379779,"Global Reporting Initiative+Direct Economic Value Generated, GRI 201-1 (formerly G4-EC1-a)+Coal of Africa",1381637,2318981,https://wikirate.org/~5675180,https://wikirate.org/~3379779,Column D extra data - leftover from a name change (from Coal of Africa to MC Mining Limited)
5675304,Veon (Jazz)+Headquarters,5675301,Veon+Headquarters,5675300,2917776,https://wikirate.org/~5675304,https://wikirate.org/~5675301,"Column B extra data (can be deleted), leftover from name change"
5675305,Veon (Jazz)+Wikipedia,5675303,Veon+Wikipedia,5675300,3560,https://wikirate.org/~5675305,https://wikirate.org/~5675303,"Column B extra data (can be deleted), leftover from name change"
5684408,Global Reporting Initiative+Direct greenhouse gas (GHG) emissions (Scope 1) (G4-EN15-a)+MC Mining Limited,2452773,Global_Reporting_Initiative+Direct_greenhouse_gas_GHG_emissions_Scope_1_G4_EN15_a+Coal_of_Africa,826615,2318981,https://wikirate.org/~5684408,https://wikirate.org/~2452773,
5684414,Commons+Greenhouse Gas Emissions Scope 1+MC Mining Limited,3431287,Commons+Greenhouse Gas Emissions Scope 1+Coal of Africa,3430748,2318981,https://wikirate.org/~5684414,https://wikirate.org/~3431287,
5684415,WikiRate Calculated Metric Design Group+Progress Scope 1 Emissions+MC Mining Limited,3379532,WikiRate Calculated Metric Design Group+Progress Scope 1 Emissions+Coal of Africa,3150401,2318981,https://wikirate.org/~5684415,https://wikirate.org/~3379532,
5684437,Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2) (G4-EN16-a)+MC Mining Limited,2452784,Global_Reporting_Initiative+Indirect_greenhouse_gas_GHG_emissions_Scope_2_G4_EN16_a+Coal_of_Africa,826629,2318981,https://wikirate.org/~5684437,https://wikirate.org/~2452784,
5684443,Commons+Greenhouse Gas Emissions Scope 2+MC Mining Limited,3432133,Commons+Greenhouse Gas Emissions Scope 2+Coal of Africa,3431550,2318981,https://wikirate.org/~5684443,https://wikirate.org/~3432133,
5684444,Commons+Greenhouse Gas Emissions Scope 1 and 2 combined+MC Mining Limited,3432891,Commons+Greenhouse Gas Emissions Scope 1 and 2 combined+Coal of Africa,3432335,2318981,https://wikirate.org/~5684444,https://wikirate.org/~3432891,
5684445,Aileen Robinson+Yearly Change Scope 1 and 2 Emissions+MC Mining Limited,5403026,Aileen Robinson+Yearly Change Scope 1 and 2 Emissions+Coal of Africa,5402509,2318981,https://wikirate.org/~5684445,https://wikirate.org/~5403026,
5684447,Richard Mills+Combined Scope 1 and 2 Greenhouse Gas emissions+MC Mining Limited,2452787,Richard Mills+Combined Scope 1 and 2 Greenhouse Gas emissions+Coal of Africa,977868,2318981,https://wikirate.org/~5684447,https://wikirate.org/~2452787,
