Old link,New Link
https://wikirate.org/Global_Reporting_Initiative+Employees_G4_10_a,https://wikirate.org/Global_Reporting_Initiative+Employees_GRI_102_8_a_formerly_G4_10_a
https://wikirate.org/Global_Reporting_Initiative+Full_time_employees_G4_10_b,https://wikirate.org/Global_Reporting_Initiative+Full_time_employees_GRI_102_8_c_formerly_G4_10_b
https://wikirate.org/Global_Reporting_Initiative+Part_time_employees_G4_10_b,https://wikirate.org/Global_Reporting_Initiative+Part_time_employees_GRI_102_8_c_formerly_G4_10_b
https://wikirate.org/Global_Reporting_Initiative+Economic_Value_Distributed_G4_EC1_a,https://wikirate.org/Global_Reporting_Initiative+Direct_Economic_Value_Distributed_GRI_201_1_G4_EC1_a
https://wikirate.org/Global_Reporting_Initiative+Direct_Economic_Value_Generated_G4_EC1_a,https://wikirate.org/Global_Reporting_Initiative+Direct_Economic_Value_Generated_GRI_201_1_formerly_G4_EC1_a
https://wikirate.org/Global_Reporting_Initiative+Economic_Value_Retained_G4_EC1_a,https://wikirate.org/Global_Reporting_Initiative+Economic_value_retained_GRI_201_1_G4_EC1_a
https://wikirate.org/Global_Reporting_Initiative+Senior_management_hired_from_local_community_G4_EC6_a,https://wikirate.org/Global_Reporting_Initiative+Senior_management_hired_from_the_local_community_GRI_202_2_formerly_G4_EC6_a
https://wikirate.org/Global_Reporting_Initiative+Local_suppliers_spending_G4_EC9_a,https://wikirate.org/Global_Reporting_Initiative+Proportion_of_spending_on_local_suppliers_GRI_204_1_G4_EC9_a
https://wikirate.org/Global_Reporting_Initiative+Non_renewable_Materials_Used_G4_EN1_a,https://wikirate.org/Global_Reporting_Initiative+Total_non_renewable_materials_used_GRI_301_1_formerly_G4_EN1
https://wikirate.org/Global_Reporting_Initiative+Total_Materials_Used_G4_EN1_a,https://wikirate.org/Global_Reporting_Initiative+Total_materials_used_GRI_301_1_formerly_G4_EN1
https://wikirate.org/Global_Reporting_Initiative+Renewable_Materials_Used_G4_EN1_a,https://wikirate.org/Global_Reporting_Initiative+Total_renewable_materials_used_GRI_301_1_formerly_G4_EN1
https://wikirate.org/Global_Reporting_Initiative+Recycled_Input_Materials_GRI_301_2_formerly_G4_EN2,https://wikirate.org/Global_Reporting_Initiative+Recycled_Input_Materials_GRI_301_2_formerly_G4_EN2
https://wikirate.org/Global_Reporting_Initiative+Reclaimed_Products_G4_EN28,https://wikirate.org/Global_Reporting_Initiative+Reclaimed_Products_GRI_301_3_formerly_G4_EN28
https://wikirate.org/Global_Reporting_Initiative+Total_energy_consumption_within_the_organization_G4_EN3_e,https://wikirate.org/Global_Reporting_Initiative+Total_energy_consumption_GRI_302_1_e_formerly_G4_EN3_e
https://wikirate.org/Global_Reporting_Initiative+Fuel_consumption_from_non_renewable_sources_G4_EN3_a,https://wikirate.org/Global_Reporting_Initiative+Fuel_consumption_from_non_renewable_sources_GRI_302_1_a_formerly_G4_EN3_a
https://wikirate.org/Global_Reporting_Initiative+Fuel_consumption_from_renewable_sources_G4_EN3_b,https://wikirate.org/Global_Reporting_Initiative+Fuel_consumption_from_renewable_sources_GRI_302_1_b_formerly_G4_EN3_b
https://wikirate.org/Global_Reporting_Initiative+Energy_Consumption_Outside_the_Organization_G4_EN4,https://wikirate.org/Global_Reporting_Initiative+Energy_consumption_outside_the_organization_GRI_302_2_formerly_G4_EN4
https://wikirate.org/Global_Reporting_Initiative+Energy_intensity_G4_EN5_a,https://wikirate.org/Global_Reporting_Initiative+Energy_intensity_GRI_302_3_formerly_G4_EN5
https://wikirate.org/Global_Reporting_Initiative+Reduction_of_energy_consumption_G4_EN6_a,https://wikirate.org/Global_Reporting_Initiative+Reduction_of_energy_consumption_GRI_302_4_formerly_G4_EN6
https://wikirate.org/Global_Reporting_Initiative+Reduction_in_energy_requirements_of_products_and_services_G4_EN7,https://wikirate.org/Global_Reporting_Initiative+Reductions_in_energy_requirements_of_products_and_services_GRI_302_5_formerly_G4_EN7
https://wikirate.org/Global_Reporting_Initiative+Total_water_withdrawals_G4_EN8_a,https://wikirate.org/Global_Reporting_Initiative+Total_water_withdrawals_GRI_303_3_a_formerly_G4_EN8_a
https://wikirate.org/Global_Reporting_Initiative+Surface_Water_Withdrawals_G4_EN8_a,https://wikirate.org/Global_Reporting_Initiative+Surface_water_withdrawals_GRI_303_3_a_formerly_G4_EN8_a
https://wikirate.org/Global_Reporting_Initiative+Ground_Water_Withdrawals_G4_EN8_a,https://wikirate.org/Global_Reporting_Initiative+Groundwater_withdrawals_GRI_303_3_a_formerly_G4_EN8_a
https://wikirate.org/Global_Reporting_Initiative+Municipal_water_withdrawals_G4_EN8_a,https://wikirate.org/Global_Reporting_Initiative+Third_party_water_withdrawals_GRI_303_3_a_formerly_G4_EN8_a
https://wikirate.org/Global_Reporting_Initiative+Affected_IUCN_Red_List_and_National_Conservation_List_Species_G4_EN14,https://wikirate.org/Global_Reporting_Initiative+Affected_IUCN_Red_List_and_Conservation_List_Species_GRI_304_4_a_formerly_G4_EN14
https://wikirate.org/Global_Reporting_Initiative+Indirect_greenhouse_gas_GHG_emissions_Scope_3_G4_EN17_a,https://wikirate.org/Global_Reporting_Initiative+Indirect_greenhouse_gas_GHG_emissions_Scope_3_GRI_305_3_formerly_G4_EN17_a
https://wikirate.org/Global_Reporting_Initiative+Emissions_of_Ozone_Depleting_Substances_ODS_G4_EN20_a,https://wikirate.org/Global_Reporting_Initiative+Emissions_of_Ozone_Depleting_Substances_ODS_GRI_305_6_a_formerly_G4_EN20_a
https://wikirate.org/Global_Reporting_Initiative+NOx_emissions_G4_EN21_a,https://wikirate.org/Global_Reporting_Initiative+Nitrogen_oxide_NOX_emissions_GRI_305_7_a_formerly_G4_EN21_a
https://wikirate.org/Global_Reporting_Initiative+Sulfur_Oxide_SOx_emissions_G4_EN21_a,https://wikirate.org/Global_Reporting_Initiative+Sulfur_Oxide_SOx_emissions_GRI_305_7_a_formerly_G4_EN21_a
https://wikirate.org/Global_Reporting_Initiative+Hazardous_Air_Pollutant_HAP_emissions_G4_EN21_a,https://wikirate.org/Global_Reporting_Initiative+Hazardous_Air_Pollutant_HAP_emissions_GRI_305_7_a_formerly_G4_EN21_a
https://wikirate.org/Global_Reporting_Initiative+Persistent_Organic_Pollutants_POP_G4_EN21_a,https://wikirate.org/Global_Reporting_Initiative+Persistent_organic_pollutants_POP_GRI_305_7_a_formerly_G4_EN21_a
https://wikirate.org/Global_Reporting_Initiative+Volatile_Organic_Compounds_VOC_emissions_G4_EN21_a,https://wikirate.org/Global_Reporting_Initiative+Volatile_Organic_Compounds_VOC_emissions_GRI_305_7_a_formerly_G4_EN21_a
https://wikirate.org/Global_Reporting_Initiative+Hazardous_Waste_Recycled_G4_EN23_a,https://wikirate.org/Global_Reporting_Initiative+Hazardous_Waste_Recycled_GRI_306_2_a_formerly_G4_EN23_a
