Answer ID,Answer Page,Metric,Company,Year,Value,Source Page,Original Source,Comments,Correct year
6368447,https://wikirate.org/~6368447,Walk Free Foundation+MSA risk management (revised),Abercrombie & Fitch,2019,"Audits of suppliers (self- reporting), Audits of suppliers (independent), On-site visits (independent)",https://wikirate.org/~5449072,,"Page 3-4 In terms of internal resources, our Company leadership is committed to industry best practices in labor and human rights. Our Sustainability department supports that commitment, and has since its inception in 1999. Our Sustainability department operates with a dual charter of protecting environmental and social imperatives in our supply chain and product lifecycle. This department disseminates and updates our policies, solicits employee engagement with social and environmental initiatives, and generally advances the agenda of Corporate Social Responsibility in the United States and abroad. Externally, we leverage independent third-party auditing firms to ensure our partner factories adhere to their promises in the Vendor Code of Conduct. These monitoring firms employ and provide experts who are knowledgeable in local law, attuned to factory risks, and speak local language(s) to perform audits. Using auditors with this level of expertise helps us to minimize risk in our factories abroad. When we en...",2018
6368474,https://wikirate.org/~6368474,Walk Free Foundation+MSA incidents remediation (revised),Abercrombie & Fitch,2019,"Corrective action plan, Cancel contracts",https://wikirate.org/~5449072,,"page 5 of 6 Even beyond these specific cases, the Company uses a ""trust but verify"" approach with respect to its vendors, mills, and factories (described in detail above in How We Minimize Risk Using Internal and External Resources). Therefore, regardless of the country in which sourcing or manufacturing occurs, the Company's partners and their downstream partners are held to an independent standard in labor practices which exceeds legal compliance Nashrah Tabassum[https://wikirate.org/Nashrah_Tabassum].....2020-10-18 12:25:33 UTC If any labor issues are uncovered during an audit, the factory must take immediate steps to correct the problem. This begins with creating a corrective action plan within 30 days. The vendor then comes under Company conservatorship to ensure there are no recurrences, which requires regular updates on the corrective measures taken, as well as photographic evidence.4 Elly Williams[https://wikirate.org/Elly_Williams].....2021-05-05 09:36:32 UTC During the life of the partnership, th...",2018
6368440,https://wikirate.org/~6368440,Walk Free Foundation+MSA Identification of risks,Abercrombie & Fitch,2019,"Geographic, Industry, Resource",https://wikirate.org/~5449072,,page 5 of 6 under section Risk Assessment -The Parts of Abercrombie's Business / Supply Chain Where There is a Risk of Slavery and / or Human Trafficking and the Steps We Take To Address Those Risks Nashrah Tabassum[https://wikirate.org/Nashrah_Tabassum].....2020-10-18 12:13:42 UTC,2018
6368406,https://wikirate.org/~6368406,Walk Free Foundation+MSA supply chain disclosure,Abercrombie & Fitch,2019,Geographical,https://wikirate.org/~5449072,,"Page 4 of 6 Country Risks The Company aims to not source from countries with known histories of forced labor or human trafficking. For example, the Company has a policy against using Uzbek and Turkmen cotton due to the government-sanctioned use of forced child labor during the harvesting process. We prohibit the use of cotton sourced from Uzbekistan and Turkmenistan and textiles produced using Uzbek or Turkmen cotton. We also exclude sourcing any products from Uzbekistan and Turkmenistan. Further, the Company does not source conflict minerals. Conflict minerals are those mined or sourced in furtherance of armed conflict, specifically from conflict areas in the Democratic Republic of Congo (""DRC""). Conflict minerals may include tantalum, tin, gold and tungsten. To verify that the raw materials used in our product do not fuel conflict, we require suppliers to disclose the origin of the smelter of these minerals. As a member of the Conflict-Free Smelter Program, Abercrombie is aligned with other industry lead...",2018
6368487,https://wikirate.org/~6368487,Walk Free Foundation+MSA whistleblowing mechanism (revised),Abercrombie & Fitch,2019,"Hotline (direct employees), Focal Point (direct employees)",https://wikirate.org/~5449072,,"page 2 of 6 As part of our initiative to identify and mitigate risk, employees who witness suspicious behavior within the business, or in our supply chains, are trained to reach out to their manager, Human Resources representative, or the Company's Chief Ethics and Compliance Officer or Legal department. Employees are also encouraged to raise issues and concerns about suspected violations of the company's Code of Business Conduct and Ethics through the use of the Company's ethics hotline. This is a confidential hotline that allows associates to report their concerns anonymously, either by phone or online. The hotline is available to all associates in our stores and corporate offices world-wide. Nashrah Tabassum[https://wikirate.org/Nashrah_Tabassum].....2020-10-18 12:27:44 UTC The hotline is anonymous but the policy does not mention whistleblower protections for people who report to the focal points. Samantha Wolk[https://wikirate.org/Samantha_Wolk].....2021-04-30 12:15:31 UTC",2018
6368512,https://wikirate.org/~6368512,Walk Free Foundation+MSA Business Performance Indicators,Abercrombie & Fitch,2019,In Development,https://wikirate.org/~5449072,,"For 2016-17, we added a Key Performance Indicator (KPI) of training all employees Company-wide on the Code of Business Conduct and Ethics, which includes training on social sustainability, forced labor, and human trafficking. In the next few years, we will leverage these efforts to begin realignment around a hybrid KPI for our Merchant and Sourcing teams that considers both economic cost and social impact. Improved documentation of product component sourcing, lifecycle, path of travel, and social and environmental impact will also be a long-term addition to our Company KPIs Nashrah Tabassum[https://wikirate.org/Nashrah_Tabassum].....2020-10-18 12:32:12 UTC",2018
6368454,https://wikirate.org/~6368454,Walk Free Foundation+MSA incidents identified,Abercrombie & Fitch,2019,No,https://wikirate.org/~5449072,,,2018
6368492,https://wikirate.org/~6368492,Walk Free Foundation+MSA training (revised),Abercrombie & Fitch,2019,No,https://wikirate.org/~5449072,,"Page 6 of 6 Abercrombie aims for every employee to be familiar with the Company’s commitment to social sustainability and opposition to forced labor and human trafficking. Whilst as mentioned above, we endeavor to train all employees on the Code of Business Conduct and Ethics, we ensure that all Home Office associates are trained on the Code of Business Conduct and Ethics as a priority. Further training is administered to those who interact directly with our supply chain. All Home Office or remote team members and managers directly involved in Supply Chain Management are required to take a training course on human trafficking and slavery that discusses the risks of human trafficking for business, and actions that can be taken to mitigate those risks. Finally, in our Vendor Code of Conduct all of our vendors agree to take measures against involuntary (forced) labor and human trafficking. To ensure the efficacy of these promises, we make sure vendors are familiar with and aware of the different acts, means, ...",2018
6368497,https://wikirate.org/~6368497,Walk Free Foundation+MSA Performance Indicators,Abercrombie & Fitch,2019,No,https://wikirate.org/~5449072,,,2018
6364330,https://wikirate.org/~6364330,Business & Human Rights Resource Centre+MSA statement signed,Abercrombie & Fitch,2019,Not signed - but individual with title named,https://wikirate.org/~5449072,,"This statement is made pursuant to section 54(1) of the Modern Slavery Act 2015 and constitutes the Company's slavery and human trafficking statement for the financial year ending February 2, 2019. Gregory Henchel Director AFH Stores UK Limited Retrieved from: https://www.abercrombie.com/shop/CustomerService?pageName=modern-­‐slavery-­‐act&storeId=19658&textKey=LEGAL_MODERN_SLAVERY_ACT&catalogId=11556&langId=-­‐1On 16 September 2019 Nashrah Tabassum[https://wikirate.org/Nashrah_Tabassum].....2020-10-18 11:51:03 UTC",2018
