metric,company_name,year,value,source
"Newsweek+Newsweek Green Score","China Construction Bank","2012","57","http://www.newsweek.com/2012/10/22/newsweek-green-rankings-2012-global-500-list.html"
"Newsweek+Newsweek Green Score","Agricultural Bank of China","2012","58.8","http://www.newsweek.com/2012/10/22/newsweek-green-rankings-2012-global-500-list.html"
"Newsweek+Environmental figures audited","Berkshire Hathaway","2015","0","http://www.newsweek.com/green-2015/top-green-companies-world-2015"
"Newsweek+Energy Productivity","Berkshire Hathaway","2015","0.00","http://www.newsweek.com/green-2015/top-green-companies-world-2015"
"Newsweek+Greenhouse Gas Productivity","Berkshire Hathaway","2015","0.00","http://www.newsweek.com/green-2015/top-green-companies-world-2015"
"Newsweek+Sustainability Pay Link","Berkshire Hathaway","2015","0","http://www.newsweek.com/green-2015/top-green-companies-world-2015"
"Newsweek+Water Productivity","Berkshire Hathaway","2015","0.00","http://www.newsweek.com/green-2015/top-green-companies-world-2015"
"Newsweek+Newsweek Green Score","Berkshire Hathaway","2015","12.00","http://www.newsweek.com/green-2015/top-green-companies-world-2015"
"Newsweek+Waste Productivity","Berkshire Hathaway","2015","0.00","http://www.newsweek.com/green-2015/top-green-companies-world-2015"
"Newsweek+Newsweek Green Score","Berkshire Hathaway","2012","37.3","http://www.newsweek.com/2012/10/22/newsweek-green-rankings-2012-u-s-500-list.html"
"PERI at University of Massachusetts Amherst+Toxic Incineration Transfers","Royal Dutch Shell plc","2013","2.56","http://www.peri.umass.edu/toxicair_current/"
"PERI at University of Massachusetts Amherst+Toxic 100 Air Polluters Rank","Royal Dutch Shell plc","2013","35","http://www.peri.umass.edu/toxicair_current/"
"PERI at University of Massachusetts Amherst+Toxic Score","Royal Dutch Shell plc","2013","699,441","http://www.peri.umass.edu/toxicair_current/"
"PERI at University of Massachusetts Amherst+Toxic Air Releases","Royal Dutch Shell plc","2013","2.15","http://www.peri.umass.edu/toxicair_current/"
"Newsweek+Newsweek Green Score","Royal Dutch Shell plc","2012","53.8","http://www.newsweek.com/2012/10/22/newsweek-green-rankings-2012-global-500-list.html"
